address,address
0x16974f2ad74d12b3b34439d90d2dc85300066dc5,561
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,930.75
0xaa6d995fe028fae955133b7416fb8ba22c8e6018,29.75
0x13d2a02530e987f68b9df14aacef417525547410,714
0xf4312de489e8111e5009ba93aee0d8484d4f6440,21.25
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,136
0x2b3d820cab9970dcadbbbb667e012b927608d17c,51
0xf620587de38550664b38463a4668ab8ad9ca7d1e,29.75
0x5b345628c40a42bb7baeec062508cc43144f2377,208.25
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,399.5
0x7dd9a5ac18d72a8d697a7eab1bff85790cdc40f0,425
0x92ee02253cdbb2bced749769e7372f9be427826b,280.5
0x50deacde18e4dff71956519ce426471cc35a6059,29.75
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,242.25
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,29.75
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,29.75
0xdc61e516d02204e27509fc8cbb135da2439a3967,21.25
0x0b23260ab68ac0cd8095ffd93243e0571b192b3d,29.75
0x36e729b3107762e51dde266e11803dca28bef030,29.75
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,29.75
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,357
0x70b02d35d731bb8db768053e1f40c3036afdfaba,29.75
0xf3bb862414b59c358fece41c83d562f517e59277,29.75
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,29.75
0x6647136a9b70b274b042e484846580343ebe8421,29.75
0x332bf9a3cfe7d67da15cc774e69697b71d01fa66,29.75
0xecd54be30cda9ca1f2dbd18e1ffb2331cd534e92,25.5
0xd31e2aa2230361c525540f2b148133ead0f509e0,59.5
0x9fd6e064b03612ab4f33306e85ecb15334befe0f,29.75
0x2d5d79e54986dcaccaa1e79c0f9a37e78e8c7dbd,212.5
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,2269.5
0x74389bca806df4276c0f1927fda45154e4556922,25.5
0xff9903661d0611d1263b0e6b5c912a5a4054d21f,63.75
0x9cadc8955d21e0c52af38d67c482acde645d3a3a,72.25
0xe4924a63c14d89c61c2c3f53756655fbeb050acb,29.75
0x4b38ed7c53129fa2d8d766d1ce371d98cb741692,59.5
0x6eb2a22a11bf1ec9f2329a9569aabde96b0bcfd6,850
0x590cb961aff1c2fa489467e81af2bb08b802a402,1071
0xffbe71fba4649e93ce88d2dd6bc15fa253ea7b33,204
0x11c07988f69659172ceac5ce30672680c7bd1baf,2295
0xfa65e65a6321c37486972d71b3f50400bd43f974,29.75
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,425
0x5edec45f90dfd686665b4126e1425758edf6ea9f,29.75
0xc6462ed3db0efbdc26c8a8986b698fad1f1d0818,76.5
0xc69630909c1000d12c2662393a4133acc0477a8e,2380
0x934f85ed1b05ac32f9b87bb3d96102a26a47a6ac,29.75
0x46f35d54a5973de234a4004db3d3bbb5d8d5fb19,29.75
0x5d9f2e17d432844d52673530a0aa8e349e211cee,29.75
0x99a522716057659b43dfca253ba374a862d310f1,29.75
0x641eab497b2f8c9bbca2d71b74da65fe1dfac08b,29.75
0x21ea2c330f1feec12aa8564793b3ebbbececaa72,879.75
0x18515ac82734bcc66406bf7bb1762dbd5a45b8cf,29.75
0x27e12c5f1d315a75337190e23fc85d1590156d30,2167.5
0x9586ab7091c215e843b7860fd196299231185c80,497.25
0x90264e2f501a90eeaf3a0bab597f6a032edfc75b,1062.5
0xfc9eeec3dbbc94255e527b48c5f8ba774ce77829,29.75
0xfe423df83bf7c1b64352a3f586c21895b52c43d2,51
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,29.75
0xc46559d8775552d6a6f64224a69e7d598b82a11c,178.5
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,297.5
0x89177d0318d3935d487d9fb9d1bc5e91e0f00dab,51
0x3ba654f6324b972ca042d785eb66997355411785,425
0x8c60b40a297f9d5b1cb2de6bb8bc6b9b2cd08357,692.75
0x68c81fdf2c21b333495408b83514f4006f6768c4,204
0xe7eed689eb3b47b1959b0f66307d91a931fcd0e3,29.75
0x048054f6e13bb29c6453a12337999faaf8ebd72f,561
0xe4cd718ac8d48f5e87b045d4bb8a38cce0d0dc9a,21.25
0x64d6e0774917bcc18bba2b3051283aad4e20afea,42.5
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,93.5
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,29.75
0x8062e69af89430d0749697cede9614cda80325e0,89.25
0x1414b7eb5752ad28714d4abb31da0402af719486,29.75
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,850
0x09a48427a3063cd57d00c2c62f78b08aee654755,29.75
0x615d5ba85aa09c408501e1519bf18a0e72092c86,29.75
0x8eefae59353a1787a62e8db7c9679d974ebddf14,29.75
0x7f9286b054853dad8cf8a40e30139f5ce744fd2b,51
0xbc57b338d28fe76a06fc9879a69477edae192a0f,29.75
0x6f1342bff21ac9111bff4ef9fd600a3a31f98aa8,212.5
0xd9d33197d42634c6b655975dd688681f4213aa4f,29.75
0x46503abaa46227e489c755cc2b80df6d5ab18633,157.25
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,29.75
0x9dc9597a419bb3d7c727f57a53a45c39937ee61f,25.5
0xcff4ef198b8617672c40199f25aa803768243e3a,29.75
0x7624cd50dcbc3df045066ab578188a765324d61e,29.75
0x35533c5ca870343d05ad214f0ee5a00c8bf94c8c,850
0x329f4435e0f22899b733756c71aa12c1004146b1,352.75
0x9cdb491354086ab189dbb17360c33970b7298d3f,408
0x066fb187404feee6ee7f6cde21697cea1a89ec23,102
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,1045.5
0xbe4aa0296b2b217d03ddfff792675cfca96a95b4,59.5
0x814e01213eea3e30322995746c89e1bfaa3a38ac,590.75
0x4764c04309372aab9cedc7f19606b2e16a39e5dc,29.75
0x8e80711e175337f258fe0723d29e5fa5b57db026,29.75
0x7247345a0113da9b22bee90322875c1b3d9b9472,1304.75
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,425
0x6a46f562ffcb7ff246c5eb6b69cd76b296c0aae7,29.75
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,850
