address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,50
0x5547e93858325b7f1635187246761df3fb7c5ca6,2160
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,1800
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2880
0xf9946aff371c7b8087aec16a9398a0402b8db8bf,4140
0x814816e5af8cf9add0ea705cf23025e886fc94b4,50
0xa22b8674c591cbcc0cd4b244ec00022556babf8b,1620
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,410
0x332bf9a3cfe7d67da15cc774e69697b71d01fa66,360
0x8d203aa15ac7ff8950b4cadc7c91fc1ea9fd1c60,50
0xc6c060c829ffbd36003db3331f1fbd4507af216a,8820
0x0b33725a9ab440aece0a4c9cc3113fefbc332b5e,1440
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,5580
0x590cb961aff1c2fa489467e81af2bb08b802a402,6660
0xa01ca8b9662caa78631ba811396abafe3f20a08b,50
0xfa65e65a6321c37486972d71b3f50400bd43f974,360
0x1e3962b921e9868142d82e7a090383d65eee9bb9,8820
0x28b460e553ce81ea5ea5407ece30bba3903af23d,4500
0x27e12c5f1d315a75337190e23fc85d1590156d30,50
0x90264e2f501a90eeaf3a0bab597f6a032edfc75b,2700
0xc671d41382082f02267e28f979dd096cdd25d647,950
0x8488636d2bbd24f10573d7254e5d2df9f43b1f71,720
0x9244c27c20aa73142c9e7b9fd61c6735f26c1dcb,360
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,3060
0x2da04a2966ed0f8fcf0922be7d3c807446e9bd99,360
0x549da7cd378d27c86f0e403de68a72eb39f4d760,50
0x88555293466895251b1cea7dbe34fb311b1a595c,360
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,360
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,2520
0xc92c2f642b18830e2926a1cf7a39856e8e1cd95f,950
0x68a6139688d905c3d24950cb8ba5adbd9c61eff3,1800
0x048054f6e13bb29c6453a12337999faaf8ebd72f,360
0x7c815f166108f69acab1468e7bb3334e0c5fa9d3,4140
0x489e037fb9bba836ef7868502a022f4d9c68634f,2700
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,1980
0x27a055ac0be1f8104cecb50f39d464e89c944300,1980
0x9cdb491354086ab189dbb17360c33970b7298d3f,720
0x2211deae839844f79d68b384b01fe03e40c5e655,2340
0x066fb187404feee6ee7f6cde21697cea1a89ec23,900
0x3e6ce7a597a53bb9a15940d93c67f7405f49ae98,1080
0x4124942b468473552c44011655bb4fa8ab5e9840,360
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,1130
0x319e289491896e73509fc5e9e2edba5a1e0dd234,500
0xdd22d108a7d270da13aa1565faef5104128fe78e,360
0x0243304f3d4d99bc56a1f58e97793bf94e65301a,1260
0xf083da7eb1a9200ced04d0367786e4b1319c58b6,1980
0x6a46f562ffcb7ff246c5eb6b69cd76b296c0aae7,360
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,1620
0x691fdfd32d67c4d6270c99c6cdebdd5492ece548,1620
0x363c3116d796ed45871f2855111cafa44788ba0b,1620
0xaa4e9ca01011ea77a70560633dc8a10b147367ca,360
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,1440
0xdea061bbe039ea7310886a2efd8f8998b1ef9c6d,1260
