address,amount
0x5C10C47B2D848e06a5DffA45B3bc10860797cDAd,60
0x522A57A9267b6A54ddE2f9a89863304CD0391827,120
0xF527E4fc7D90Dd8266d980D9ACc8B3F0d712911a,100
0x2D812F34B6a421e9aC8fB75b5132FbA9db65351c,25
0x97eD9b2b4bBE0978FdbdC8C342b7d43Ad28Ed874,60
0x0d0B7d8396AcA528D51A9aD85a5aE0E2903f1c94,75
0xB02F829d33eF71bCb5500726bEDff1C03A9674fd,25
0xC58D3876a94DdF168A9D5E470dE3C34d79B5Af09,180
0xAD8EAE37db38b716be099fD74556E9C61C9699c9,30
0xBB0868Dd2909b450612Cc2b64986BD868d018749,30
0x37ef79efaeb515efc1fecca00d998ded73092141,30
0x3169F86536e378110A8583e9F3834Ef08E458EbC,30
0x67D03E55F3057dc0917CAA986BEffEce0B79E9AF,25
0xb380dd81c3abd4b570b29fe728f985266bee751c,60
0xF71754DAAaf2d74291362a101Cc0ff5B53bFaeDC,90
0xd84cD30cCEeA61e6D14D97BdAf22E0a8C55fcF1A,30
0x8Acd65aFAcd8F326F65479515F7e015dFa04d904,30
0xb18D3B20b96D946dfe2879eBC263E4C57b77Dce0,25
0xEcf9d05a427B0f0e14E79001268AFe00821BbE99,20
0xa1D085ec8E4eEa7615644A4e46CFE1095C2bf5C8,75
0xEbb2204B0F92D51D00Ded27f00030f52a7378834,30
0x29D692780509B1c1FD877Ac4996AD9DaD227c28F,30
0x9C8e57B23654B1903ac7253c9deFc219dB31f64F,180
0xB1e302B3a3b0DE2173c1A1c2De19d2868B7C446D,20
0x444AfdF0274b0a004C51A4ab5edAb52696EaC22c,30
0x718Fec11503C8c03845fBde1abb7947cd3208D09,30
0x167589bf67752cCb079151fAC71504D8Bf8Ac196,20
0xf9CE7d54a1685A2edD75a52D1d9b3F7796cAf708,50
0xd7edf807da0429A92Bb66b2531289971faA89298,30
0x77585bD467ceA7B76A6B5C2Aa0ea44F328342134,30
0x7996e5AaeD48b40789c2D53C2eA5Ad2f78aADee4,20
0x4e470bEdFB9543D67cA40Da62795a6179A375595,60
0x89A7172E9a3626C604C1F7435FC737CFFf9ea22F,50
0xD3E86478bF653C77f83737d831d1003ed447958c,240
0x28708B352dD5e083D2e694305E985F9abe89dFff,30
0xF49545D736a8bD0C2856C1d7F523F1C24b849AcC,200
0x86AABcD459587bC1A347aE1E2d15223856354EC9,25
0xa325aC2d571e4B490bAcF13264C285ed6DA61A85,30
0xaF334816d2E7FF3A2ef82AC8C80e9868a154930E,30
0x371b3331c42ae8d252278979Ed41A3De8Ed42Fa8,50
0x028a82892600dd47c271f075560b30076380f7da,90
0xa12bCf1159Aa01C739269391AE2d0BE4037259f3,50
0xe589DfB5D6C782eB1781B372dE8957F5595aD462,180
0x0D1D965aC5B78d36Ce0c490Af9D2514D7107D0bb,65
0x1da949F6e892FC88184645cf46522AABC0510cFd,25
0x5768A7EFCd49D65Cd489BC7bB39122C2E550cA3b,270
0x4fef2a576965aa81A4c4e07139B2f6AFCEd55f05,220
0x343A5C0d966E3F8EA004Efb8939c7D71A60ae795,60
0x6F506e132cbE8dec9480E1Aa50b819a8EBA265D5,60
0x5b22816D2324f7C538Bf6eaf382A0d2F9003F1f1,30
0xA87A6017687F5d7607a4DDE37624FA8EEc9B0D45,20
0x0eea9c5B2156B0083863b5942327B367ACC1d43c,25
0xbda12563a964a731B306B1BfD947F6b30271Fe11,60
0x4278c097a27765f2B2FF585894E2953143078ED5,20
0x3a550BFCE7ec1C5e688F5255424dA6F7407DeDeE,25
0x9b85ee94C25294D5e2BF9c9B9b5fA5b58602FAd3,40
0x3bA17bB92522b0f2d1Ea7dbf413745EFafe9632E,25
0x391A97C97EAd4461a298802349Bb9d43a877807F,20
0x7F5f050d45a8EA62eCFA6bD595ec18a75644d3c9,55
0x0Aff7E9c5f4AA52cF34425BF89C82DB0419b5eDF,50
0x15cFbd3b78d1672858de0664f908F6922D5EE96a,20
0xa3b2A484A3be6eB11cE3e4D1E1837EF32B2FE996,30
0xDA50ECB9793eA7B148128dfbc7630E7DB11Ead09,40
0x9D3afA524B87Ba0a3b0907d3dF879d4b8F044A73,325
