address,amount
0xd75ce0ab93f469bd458312786500e65d2d5aa002,420
0xa307e9d34d48bd4d868714fffd6d55f0b1e2c49a,1135
0x49f356c16365dbdb9729993a2e9b2e84c379f668,95
0x465a084c713e7d0b3dac7f9a503378fa5fe2ab9a,30
0x7241c18533acf5f786c5a0b5f9c2c370620c5c6f,785
0xc5291f7c8a44ca0198028f9739916d230edf747b,5
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,45
0x2b3d820cab9970dcadbbbb667e012b927608d17c,45
0x8331b95e050690240743b53830eb30fc3b2ba647,35
0x522a57a9267b6a54dde2f9a89863304cd0391827,30
0xadb3e19c3f1324abea86574c83fe6eab3b1e6937,10
0xdc61e516d02204e27509fc8cbb135da2439a3967,15
0x03dcac48325951dab6aaf6f8e8d25df266aec55a,100
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,710
0x6647136a9b70b274b042e484846580343ebe8421,65
0xa8669466e420772f7e00f4d58915292228002c22,35
0x8d203aa15ac7ff8950b4cadc7c91fc1ea9fd1c60,885
0x3f67688ebf07286f03eea4594b365baf63d4f00c,710
0x68eaec20871a7825539432f9447b9a341ee1d21b,30
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,1000
0x590cb961aff1c2fa489467e81af2bb08b802a402,15
0x9b93bb0086cc04771d3872e6f5c58cbbf4b46dc2,35
0xa01ca8b9662caa78631ba811396abafe3f20a08b,835
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,50
0x08b38f7103d12c58dc2ab0a51c87525b02e4e465,180
0xff193f888b6f86d5df20dc12aa517fe948ee47c9,820
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,575
0x9187122304b371ecb7d5b7acdad90088eeef2674,30
0xa5135394d563e323e83b5c1b097acdd7a053b40c,835
0x52332ec46bbd2d600dc00825583576b9483eaae9,15
0x3689ce974118ef6bc7a692b420240840995f2b08,35
0x6b3446860e6f88e39c20d50afb94d4e6df884511,50
0x04894e87522562b13a938d1a96233ac83905db5d,650
0xee0cce71ffacc974ff913a20ccfc4fa13e137201,1000
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,835
