address,amount
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,510
0xbb5924fd4291790933a8a44904adad57b5b75235,340
0x99a788474d49a80845ee8b4a1c3591ee9b55f443,1785
0x009f6b54d8b44d84ab63f09ca5f2ab27b2ed0ed1,85
0xeb42994c18dc36ffb529fd849c94441da3832c08,1785
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,1785
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,85
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,85
0x2b3d820cab9970dcadbbbb667e012b927608d17c,1870
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,85
0x4433bc04f4e6dc02086f67fb97fb5b9079144c58,85
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,595
0x13097ed0df040258730e10c4092ff26f09a08911,255
0xe9f659172d39c54ecae31c5f2161115c95a557d9,85
0xe596f45d86c834a1f3d8c9514b95e652a53c52ea,85
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,85
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,85
0x4f0b06adf758b8022ff80dcbeaa5523205fd690e,85
0xa885c5ced05658736659a7e525dce52975a8d62b,255
0x3dd2f96a2a0a9f257c864fdbab6c1cd267d89ca1,1147.5
0xb7e73a115c5fb5fb1aafc64da38bb062acb0594d,85
0x9964a001f3fd643d51244f305f425d2f85e6d06b,170
0xdc61e516d02204e27509fc8cbb135da2439a3967,85
0x7a6e64e49b02ff6b57ed63d28917c0e0d43778ab,85
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,510
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,85
0x901be73c1197a761fd8394486df4e9da30786a56,85
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,127.5
0x4bd1fbfb59e035ea429e40606148b95edab80b92,85
0x231997e20459d6c3900397d49fb36fffc2356670,85
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,85
0xe6fa027868ac1b4dd2780b0027769b0d8feec41e,85
0x3f67688ebf07286f03eea4594b365baf63d4f00c,85
