address,amount
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,850
0xeb42994c18dc36ffb529fd849c94441da3832c08,13500
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,5100
0x13d2a02530e987f68b9df14aacef417525547410,5100
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,5460
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,5100
0x9964a001f3fd643d51244f305f425d2f85e6d06b,1700
0x60c4c2a46979c6aa8d3b6a34a27f95516ef4e353,850
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,5100
0xb14a8a00da10b45d81c589f591e7fcb4587e5e70,5100
0xa5135394d563e323e83b5c1b097acdd7a053b40c,5100
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,4250
0x629a229309a35b166a5f3557995d957ee7f1a100,7125
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,5100
0x4f495dd4144f26cd3d6b5d78c05e8dcdc0e6e5e5,850
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,5100
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,5100
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,5100
0x3bafc6d98050c380bfa1302bfbcb25313598ff8f,2550
0xa2dca4ad21fd58e4ecfb4b507cd25c0b3c71dff4,2550
0x2434a3896ce832932672e9c0f7c35f0f34e04206,2550
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,1700
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,6375
0xb24c1dd85f137bef9615fdc3a7853241ac82b127,850
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,850
0xa458e89dd8d057308283bd9c4a6ebd596e302287,850
0x4e8655b10cf06b09d3ba43a9b51dd428905896be,5100
0xa30ff788ebac2878dc36ec379e55deb02c44049a,5100
0xdd8804e408a21dc344e2a480dd207dea38f325ce,4250
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,1700
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,5100
0xc2933176a9be2116721a2681e042111ad22f8266,1700
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,6375
0xe07673f8c895348fbde720dbea0a967eb1c72f60,850
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,5100
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,4250
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,5100
0x9288ca843e6a6ca3f4b4de35376858dfbd06d6b7,6375
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,4250
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,5100
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,11475
0x55ac30a569805b93f6dd2a286e77894bfce4a01c,850
0xfb40932271fc9db9dbf048e80697e2da4aa57250,3400
0x29ffbcd327cf64c5972f864898e8354bb04d31be,3400
0x23d344a3fe9450753324523425eac8bb6754eb8e,1700
0xe20254111032f19fff333fc59faf2b0d4dd79d41,1700
0xd586faa55f787518b0feeff12788f40ca7d01f74,850
0x920edbcc078e569caf795edf591c0337a1ee63bb,850
0x0b408391120ad0d45f339954b152aaee6904cdb0,850
0x7e0310ba382bbb38b058ac405a16ea4ed91930c8,2550
0xa78b7350e4183ec0ded85a93b8e4022700531e3c,5100
0x97c1644ec56b75f35fe3c46f6a5e3510671773e4,5100
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,6375
0x0d61f0a2b168d38292a6e10d85a2f04b34d65a3a,6375
0xb994b9caf6f81453b02b1626b5ba6b28d733bbf9,5100
0xd3ad47650c020989310f6538bafbdf24eb43b4a8,850
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,2550
0xbb0868dd2909b450612cc2b64986bd868d018749,6375
0xf95e17d36263be53be9a469d7877e84872d561dd,850
