address,amount
0x73d1495912c5a0f76ebd92c3eafe6d7d10da6259,850.00
0x4b7c8b4413a9ffc40a7b97fb931ef88cb0bb21f9,1700.00
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,3400.00
0xb859a2edf382ee65b7e2fbf92a91513f3adf8743,1700.00
0x13d2a02530e987f68b9df14aacef417525547410,3800.00
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,1700.00
0x2b3d820cab9970dcadbbbb667e012b927608d17c,1700.00
0xea5f4e97373eea3386025804630d04316011e814,1700.00
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,1700.00
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,1700.00
0x5999f61c2c7d26811b5f019cde0831e98c6a61f2,1700.00
0x7e9d8a0be535173a18515bb463963e5c8272eb04,1700.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,6697.50
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,1700.00
0x8d85ada666325e3d657d4355df4c7066edbd7ab2,1700.00
0xfe6c17e467329740a12db926a2bcca732f1cad7f,1700.00
0xe7a97a841876c9ec8c38fee297680aacefd121a2,1700.00
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,1700.00
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,1700.00
0x7465f6dce804da639bf54ea8c70ffe5fae8f943a,1700.00
0x62240ed3da5a4eaf22d1ae84472634f247474551,1700.00
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,1700.00
0x0555cc1f7f0976ea1e020047f6df51b06778864a,850.00
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,1700.00
0xeb56dc6d1fd14172b38a777cba01302018585fc7,1700.00
0x1744b94fcc98f514dcf242e7b03a719aa162e246,1700.00
0xdc61e516d02204e27509fc8cbb135da2439a3967,1700.00
0xb12431bfc7b475359b733cf7f29d542de7ddb048,1700.00
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,1700.00
0x1117369f20ba3e454920f1b84c4b19bac4b34a2e,1700.00
0x8e203f2cc647e3da61070b79136b0fee0300f61f,1700.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,850.00
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,1700.00
0x83d363b18ef6472c2cc0f0829f81edf2260acbd3,1700.00
0x7e6cf03ea6259c32e5e959fb4b4aba136dad3348,1700.00
0x70fb9bba7fc56b320744026d0b8dcb38d266343f,1700.00
0xe4924a63c14d89c61c2c3f53756655fbeb050acb,1700.00
0x06f6750938f7fb8d42202bcfa432a358c63cb8e2,1700.00
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,3400.00
0x17a6b7fc4d460a9533b38d4e91955702e6323998,1700.00
0x52332ec46bbd2d600dc00825583576b9483eaae9,1700.00
0x12782892e8c8fbf09c545b318f9e41009cdf36d9,1700.00
0x14456194ae93e6ee45b7bb69c46c32d7a4358faa,1700.00
0xd41baee497423d54204cb0e8f65ee581b513b153,1700.00
0x4fee4075c4c13cf850592e2f1c9be8acd7e8a1e7,3400.00
0x6cf70c4d4517a107614b75611c8c67130e50adc6,1700.00
0xccb1e835ce8a05fe0411bee60446915978696438,1700.00
0xb65934bc345c5372d1dfddfc67b1206cf11bfbdd,1700.00
0x679eabf28e6189a153c85f358cb1df254e1c443d,1700.00
0xa2ef3caa37659d3e0fa9dd7488909a413e33b02d,1700.00
0x0f48f968372c5f081b97c1d7b5e85b4d4b74a33e,1700.00
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,850.00
0x2db917fc525af711c987d82a91864a31bfccfa7c,1700.00
0xd9d33197d42634c6b655975dd688681f4213aa4f,1700.00
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,5700.00
0x8f1b2c4a52a6f764656e2213bd202809c65ee8f5,1700.00
0x693790ef7a20e805a24ce9da6dd608b57194392a,1700.00
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,850.00
0x29fee80d92f4fd6ea74ab5e4d1df324f3386deea,1700.00
