address,amount
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,170.00
0xdff438dc9655355cf68b1346b29c791120abccba,425.00
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,170.00
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,170.00
0x06575fdc938114069e22c31e2125520b036a9a0f,170.00
0xd894b25119f39aea58d786329619f0f564a99a5a,285.00
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,170.00
0xe728d9911874adb8e6a56f35e23a3670671a3901,255.00
0xd3c33047c8913dd6179e355e054efed5db89a699,170.00
0x63db64c96747a5386b801840a3e3fa4360e0427d,85.00
0x5a398d52f412d97ac5852fa327ccd425737d3633,425.00
0x5eada99777f4b3df0d5b499c7912a480cf66e7d4,170.00
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,340.00
0x0f2512feb37c0765a8847f46e0018db30a79e746,85.00
0xbb0868dd2909b450612cc2b64986bd868d018749,170.00
0x7453703e9cf96532fbe1cc136c6776c5294f6f06,255.00
0x44c1626309417dbd6a81e91a212897b66f6202c9,85.00
0x69da8d3d02d4fd51cb2d436b5d00268a2157416b,170.00
0x68462009b80f3a50febad68c61890f4927a7d5e0,170.00
0x222197f6ef2798d319965dbf7a0374f5303e5b34,170.00
0xd937e80a04079c7e291aa92b3af9b63cb9738bd2,85.00
0x59d24be241ab2a98516f5d13c3f4cc1b6c29c2c9,170.00
0x67f6a2622770c535ab8a893bb0137db86a29cde0,170.00
0xf6d1fc47fd46df22eb2dff06851b7c902e123f10,85.00
0x216cb84fea07eb219c27ae40d7049fd627344abc,285.00
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,285.00
0x0e61259052f600381be60b35877f2573c25124e5,170.00
0x4873cc334b21d973c0708336db50d3668dd462b3,170.00
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,380.00
0x9554bb50725fdb30357ff045843468b70b21880e,425.00
0xd6a398abf19691890e6691290a9c92367468c782,170.00
0xa30b9fe39d9983df6a94b53c12ef6e44bcf1631c,170.00
0x401d3b307932a4a96feb2fda9878a9b5eb91a554,85.00
0x04dc948863fe21b097b8752b115a1318a2a1952c,95.00
0x88453574485540a80c168bb80930ca40c1627adf,475.00
0x05b109cdce4f374406d8b5fa9761e3f99e9ebdf7,85.00
0xd22e7705594bcb21fe7f34e473c0fc75c5247828,85.00
0x5312808e015887baa8193548e32522269ed59481,170.00
0x91d774685eba2770c22c2bebae2315ddd78587ac,85.00
0x24506719d70801d3c57806bf8934538a963c65b2,170.00
0xd91a2d9ca4c27a091624c3d7efd4762c2a3d2898,85.00
0x4fc686b34dd377ec39b98d8fffd84a1a9f998090,170.00
0x990050bf1c94ceb00cfdd0237181bb1a87456d76,510.00
0xf1df898304cdae45f69489e6889b763e56c8d577,425.00
0x7035a8595b95937665760ab000b8c83a247bc6ef,42.50
0x77f684b6e0359210527046cc592a24d60cbd8f5a,170.00
0xb19da4c8718238539c0224e72e12db6907879daf,340.00
0xc75534ded4fd4796aa215a96e8e89ec58dfcf78e,170.00
0x2205222844b1cde8c325ad7c5d23b1eead889066,85.00
0x6198fBEDd148812DEfA01a3dbE96e78204Fb2c19,255.00
0x1bdee38c11ef162d76269a174488f2be5bebcef2,42.50
0x41f58409ae9924d88ce1a5fdea9504522591dff1,170.00
0x7c9fbb39702e271fd28c14a7871030fd109f3411,170.00
0xa91ceef3a5ef473484eb3ecc804a4b5744f08008,170.00
0xbd4d7e2926fef21709f02256b17600de97b1d46c,475.00
0x949d4dd9288440babe3334923f5aeb60495892a1,85.00
0xe43861dd52c182e6162b10688c0589ed698c1a82,85.00
0x9209a4118c9ad4e6c846156934fd2f9d417cf3e0,85.00
0xec6f0cc7a9910e0a48ae57df041fcc4ec99f1746,85.00
0x8e5db21f95cb6fed5657be01ee19f5072befc6e2,170.00
0x1593c5a24444b69c3442ae76dbfbd306ec1b6e83,85.00
0x85859cf901ef6045c50fc745d4b651f2d6a13194,255.00
0x58bcbefeca7294c6c3265736f6253119758559e8,170.00
0xca457eac6c181019c445a63f2a7661384b61e1ec,255.00
0x9d09d934cf88694650dd335879a7e33114d78013,425.00
0x583ab41a1ec8bd6a4be4b9df9437daad9dfd30e6,85.00
0x986372dc5c1205083dd10501e22a48c246157c15,85.00
0xd0faf9a5a816ba3509bb08ea11f47ca57adce6d9,0.10
0x3403f3ab218a8a3a10d8ddba90d6cfeea326fe33,0.50
