address,amount
0x6f7ee840190d6205c347eb75290d276ac31f9ecb,2550
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2550
0x085f6968857291a29b37cad3ec8ff33f1fe76102,1275
0x767c3de6f91291f4ad6766c0d73391090ff2fe1c,1275
0xc71700859bf03879d96002522f11c5e2dd860346,3825
0x574a428af0e89303011173869585182a7052e874,2550
0xd501e7de3e76a7c479b279743e5183bd75df675f,2550
0xdc61e516d02204e27509fc8cbb135da2439a3967,2550
0x5a33c65d47e1a6e17dada1f27798e4a41e893de3,2550
0x0a761bd040783ec52ffb5eb080bf38fad2db0e67,1275
0x6647136a9b70b274b042e484846580343ebe8421,5100
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,2550
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,2550
0xa5135394d563e323e83b5c1b097acdd7a053b40c,5100
0x52332ec46bbd2d600dc00825583576b9483eaae9,2550
0x1ac2f41e724a4d7b52028959ab64249bd4db3d8d,2550
0x4f312fbe4be9c99fcd5edc502e0519cf890c86d5,1275
0xcc26dee043336ad0e224fb946ee07940bac4f886,1275
0x0d60f9da37ac046d521d823eff4fe3e42ac0e600,3825
0x048054f6e13bb29c6453a12337999faaf8ebd72f,2550
0x11129c98a269742177141de456733e9f977f81d4,2550
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,2550
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,2550
0xea718df698a8622187a2920be599396c93f76667,2550
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,2550
0x4294cd90ef1f47ea3d6c68ceca3139725db8fb0f,2550
0x68a35016408faec91b25881c21f4ddbc27b5b0c5,2550
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,5100
0xde59dde7c5428ba29c7461338f4a6f45637c792d,5100
0x153421a5ec98702238c5baa8a18b4a53fc059d41,2550
0xa30ff788ebac2878dc36ec379e55deb02c44049a,5100
0xdd8804e408a21dc344e2a480dd207dea38f325ce,5100
0x4ba41029737db36290021d2a898b495fb1a05e23,2550
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,2550
0x7f92c5420b4a4029ebcf1a02bbf47dd2cf707312,2550
0xa73ffed36bc22ba6ed70bd3878baf54db8ad767b,2550
0x8af76bcb6dddafc088c239eb118355feffcce0b2,1275
0x50d1f2a1767d6adc6801ce7f303944eaa7321af3,2550
0xe01bb9ff9216739934e3d79881b3bc5caa4464fa,2550
0xd1743ffe7be923a1236de03c40e26ad51d6c2762,2550
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,2550
0x28fc7f38abcb63ccaf77d77cd2cf33d10f7c7a35,1275
0xa517f6fbfc95cdf1918c82c28dad10af101e18f5,1275
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,5100
0x5b6374158552480655ca082e4ea1135f87d3bf47,2550
0x4eb8b63f94e49047aea2b5803fed62b501e322b1,1275
0x1e3591d186c08fea3e933bc106b4052588e473bd,5100
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,5100
0x46840f2e27fc2de01eed59dffa87f462312203c8,2550
0xfb40932271fc9db9dbf048e80697e2da4aa57250,2550
0xa27150be5bdd61ca992b3f5aaa4ee492c3960d63,2550
0xeae38763c2be9cc964bccec647c290a3dafa9a73,2550
0x823567869888d6cad6388fa0cb81955e4eb99269,2550
0xe3b605b41167f24862dac6784101521efc0814ca,2550
0xd586faa55f787518b0feeff12788f40ca7d01f74,5100
0x70ba4c92ca2edcbf777f0b9274904fda7f1270f0,2550
0x03b371e360515047689ba468b530353dfaf7c9d0,2550
0x797d13e3c2ec89caac0248f4a373b86eac8a8dd3,2550
0x7b1130198fdac69d34229c68da8d0d5b650cfc79,2550
0xbf8f8efdced05b6a264dece8612dd719a86ca2d3,2550
0x4f4407a4c08d027c8a4fa272c614e1c1d81f891b,2550
0x3eb4b506a839b33a4e5d8719a4150e478083d550,2550
0x18477bc6e42c740ad1192996353bbcb762a46794,2550
0xb7f838dd68f82a58dc03ae8192f83c6913c0b9a9,2550
0xb8ac425dc04418cc01b26a7f90ef14c3f5a9cff7,1275
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,3825
0xd671f3c3a33a2c57061f7ca889f6819540c3d017,2550
0xfc2a6dc28732e507d64b381b121a0c395859050c,2550
0x707ce7d3b2f1c77006bbb918d1d3f5e928032424,2550
0x71c79210bd47997a6991a6bc1b3e8b6572a20b85,2550
0x4054964fed1763cb0226dabd832ee3bdf4d367cd,2550
0xfc06ce5661450365b5881796b733395b35806a62,2550
0x7c65d8bafabd5a347d6b174923bfccc53187abd7,2550
0x2e8e4fcec14ad7537e3c04f8a3727d0e756bcd9c,2550
0xf58f7f1af2614d64103961e53ab6cd65e9fb87f6,2550
0x3e4b6c64430bdd00ca1b9863dab95140978e8105,2550
0x97cc8d35e866bbfc8c1db5d25c3a846298221701,2550
0x91a27d80ada89564a4121687c6666b9f6d649147,2550
0x228beb19215e5a7edb46f1fb7977f41a81653466,5100
0x7b25efac0ef6aee2837515144e8db4493d9ff625,1275
0x2c25a6cd94fe71002ca711874a54e9becb786d10,2550
0xc3dcb4b176b2fd76ef2d7069e4b48a9a0918c417,2550
0x8fb8ce9e6e48646a995a8eeb1248a15f206473ac,2550
0xfb3d00114578f77326540a70c7c4ccfdbfdc7110,2550
0xe5ac17daa14b3677374e7ef69dec67faa5ca06df,2550
0xb2d1c6dede88695beab115afefa8e21425dda153,2550
0xffc2cbb63baba0f8aa337839a3f5524651d7ed71,2550
0xe51acee5937e1d9bf2c14b94d5ca7fe99d110c0d,1275
0xa8f3d46fb994985de34a794fd208651e93e284d7,2550
0x4e50d1dd6d5477b0e2d859e0423364f2e7ee4ebc,2550
0x9d42587d137998af911644aee93fe633c54beab1,1275
0xfb959c714d1ed3e8b4c92e361f1818f31c01a0fd,2550
0x6483ad0b99d6432620e1c226d1301d7aaefeebc9,2550
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,2550
0x6d8777484fadc0a0790b00a8787275346c003745,2550
0x3c9f94a51bf53236fba6d2a615e6a71a5e93ba5b,3825
0xce99e81912fee351b1058e822b1aa41745aa55f5,2550
0xbb088b60f8acbd24051cd982584e3af06b58596b,2550
0xe5d64d8ac035bf19b6efbd40813ee8df74365cbc,2550
0xc356ac859538c9f33c750642ed4dda0ae31b17ef,2550
0xa83549c7b0f1661f0f47ae4cb0045103f8dd811d,2550
0x5bff63d0341948837dbc30b33eb04df64aff06e8,5100
0x8e1101a6c1a407cf7b66cec13aed02e1848f0e83,2550
0xc47cecb01e88a19feda5169e3e0aa07e39fab037,2550
0x34d04005fa3dd096e5f3cd78d2f6cb337f9f2e44,2550
0xa136e8f1e5a8e13cbec3d5d04ea494a86d6c257b,2550
0xfb111247da9032485ae0d9a9050ffadc779a8bcd,1275
0x6fe8e540c2ac55d3214bc0f460dc80de74ca8709,2850
0x1a6d78e04a7559e6ffda93dba7edfc7fd13543f7,5100
0x3bdbdc1cd6aaa1f26b74ad678b7cb5fdf6e99956,3825
0x4c6065648578df58138f45a9d48f9dced902b76c,2550
0x9cb97b5f8be6a304aee06c7a515d45b88c4de2a3,2550
0xa8a48a6e3a42e76a920e4cfca912cb931c4aabb1,2550
0x29e37a43ae086ee3f8c759b2dc1c54cf0681ffac,2550
0xcca911ba606ea0ceccf600e55569c1d407ccbc21,2550
0xf1e252f2438cd85cf84b747da7ac149d602b04cc,5100
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,1275
0xb077cb4454786ab5d80ddde605c4d34b2789c011,2550
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,2550
0x711523c5fff943ddddab2e1ae03b857b7f832b4b,2550
0xdce689d43b730540da3791d60f8c5823252c8257,5100
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,2550
0x66c10bea53a048418348a163c2f595f56cc7968c,3825
0x8faf0799e9838bbd8863c1a7d186e72ac5d68155,1275
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,5100
0x17dd2ae71c1abe78b9c9f16756572dc7b6d563ce,1275
0x7abb5bd20569acd659faa3338b39fed8b6ac7b60,5100
0x4ed7b18310130ed390f7d436ac66be1509e11e07,2550
0x551ec9b5d484ec5407edc4731060b980a8839ac7,2550
0x4ab8b006dabbfdf89d430d10f9795f4633a7beb2,2550
0xa5afa3b17e24f8f132a68721baf0a1a42146d87f,2550
0xafa7497763b5a18206ccd57fdde012ba03ee077d,2550
0x4a37d959c99c7687fd867f40f8e2c558c94c2cb8,1275
0x4b9a6192babda524ac6d8a5e4d7095033ca57045,2550
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,4275
0xa9c7ecc8d3268a9ddae1689890394a019ddd8477,1275
0x0fbd9e7a2e297b284b64f0808d281cb6803c5352,2550
0xc8fb5186dbf838f9abd2e78e430ef1f6ed6c2213,2550
0xc8929d3bc62e3b42404aedb618d1a89b84ff0ce7,2550
0x67aad3dbbcbb0ef7d72deaee72bcd8015a158996,2550
0xdb6d935701fe0ad7b8b5b3875b392ce86113f455,2550
0x0eb0cfde514793c35514ea23307fa3d8998fc73d,5100
0xd7458cb7bc40abd3dd915416c971b33f311c5172,2550
0xfe590ac9e3df4bee04a72378d619aff9fdcf27ea,2550
0x12b3f779d0293f94644a1f19daafd79500407ecd,2550
0x742a34ceefabed24dd43e8f1226769cc4185fff5,2550
0x6870b661135710b0943c14fde05c666960973c6d,5100
0x2c3d3b094e5d35b3b4d400def72931a1274ffdb0,3825
0xb7e0a5570599a71d033216cc1a43e7d843172ae8,2550
0xab08cae8b94436f56163e74f1b1a566a97088de8,2550
0x27a0a9bf2916685ac00c2abc735eb9048a1c3ba4,1275
0x4a735c8e15b59bebbeb764c0adcee62591512799,2550
0xc65f4770c0c1b75a3c5c9098f770c7d17a565bbb,2550
0x9cf8bd9cbacc7c2675f884ed19b1fdedd04736f5,2550
0xfd525ca646af3816a44ed7939ee6d4f59ee1229a,3825
0x05832669f5a44c90b095e525983feddec806a133,2550
0x01fa44972f6b62ce546eb13fc753618a825d69d9,3825
0xcf2d737ada07b25825a2cecb6519ab68de2868ea,2550
0x275f739cdd7dd41efba5ea481047ca952539ddac,2550
0x9525088af38b520b8d3bb960f97af584823e8fca,5100
0x9f33f80cdcce696629164c5e0bdbc978c46ac951,2550
0xfb580003538ecaa8117132132116649e1adfbb32,2550
0x9c0ff565272cef43253b46ed7d67bb402466a01c,2550
0x082e3127cdaa723486c5d095bb00c8fcca8bfdb3,2550
0x8fc1427ae72cc2c1c333af012c92218aa78ae9a8,3825
0x0e8002b1e3e9a77cec5198b53eb7d5d2384b87f3,3825
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,2850
0x82d68784ea2bfcad326fc7053df752a74ab41b72,1275
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,1275
0x75cb226f67c124dba5688d41691708cc282d4124,5100
0xb6729a4406df3be0239e3f7def85370c8963403d,2550
0xf58ac855a43ee867ec7a9463fafc54a846bd891c,2550
0x88a02ce96955891fda16642f7d19ae61ac04c3a3,5100
0x4243306a10c6179deb93e7ab909557d283631934,2550
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,5100
0xcc556dc27ddf11626c129373c99570a3eef29245,1275
0x2e4cf6c81858af880b1747c0d1b384ce7450b512,2550
0x7f20349795be58ae7461df05a6bbd9df91491a2c,2550
0x76f6dffe322e1dd689a924acfcebe530ff8b5868,2550
0x87ae9047f7879a229a929ad5ee026a5aada15b3d,2550
0x33c368fe3f02f3dbbb45a9777741d4955daa33fd,2550
0xa1e4ca1ff1ad59d7bd00ebf0598d4d6e36d20768,2550
0xb32015e8accac8de4d5eafbb4cd26283803fd52f,5100
0x3c2280676b0a47525ee7c66c31f121957578b8a2,1275
0x5a4a5a5fb1ee97e28dbe6b1fe0bfd31c9cf0f8d0,2550
0x5f039e9f522ce69df8af59f0f47bf4102caa0ee9,2550
0x0a02aba940df956d18035daf4e0e8dd24b4dc1ec,2550
0xa9aca0855999623af54989218aa1399a2925ce06,2550
0xf3643eee09c684e34a71c221af75d377d8769aa0,2550
0x2a523f5d2f94cd7b99e609ae0c060e52643ee319,2550
0x63afd5fd8abe2edea7e60bdcf5cef9e8a24f8e30,1275
0x6f14144989a0da2469dbcb7a85623a287a7cab19,1275
0x495704e516dbdd569064c77bcdf976c1ddf4c65f,2550
0xf63120d1f587b5ff28a63acf2c89041bdd86221d,5100
0xdddb1b0ad7eb1e92d3f4fd1519633ae202f750db,2550
0xddacdc6e3dc94255a466b2d1b0d46235cda7573f,3825
0x75015750c5576fd2a69fc2b4069184977f4d285a,1275
0xebb166e1e8c3b4e9c51e4463cbf5c59a5899dab8,5100
0x3c0a2ddc8da83f5b52a7688a2881215535881f14,2550
0xa74b47088858009e470dd9d2a2915e0cdc38337b,1275
0xaf815ca9e4cb2f2dba2894c142e3409cf8aea4fb,2550
0x9a8bc9c6d9698471e284bfe2fdaed484d16bee5b,2550
0xd679cdd3ce9d724a748f649b9456e6466026211c,1275
0xe7916da58516db5decd9580477a0fe902874c15c,2550
0x161534160aa26a05a3d7d12b80a37b036d9b48c0,3825
0xb88bce9b6590ee19c6185ace40ab24857f516a44,2550
0x8c84c98f880c9d4f5edef097460e645208dd47e1,2550
0xb01cc67c905f620f66188e531bb1eefe53df9f6a,2550
