address,amount
GC4E4TY3Z24O6PLNV56PQOZJW2LZWW3X4X46OKUW4T27AWQAWU4ZZC47,296.00
GAO44IYDYPMZKG2PEMKFWGQRRV2IMQO3TMIHDG4CKYNWQHCDV56E2IQZ,204.75
GD6DENEJJRCNK2YQNF6XVDQKXG2TNQP2CA3BY3JXCIUIXLPMG2V7AHGV,27.75
GB2GOJ5R7PRI7SZ5B7EPCETBMDZE4A7PV4ESHOUCXHFOTH6XXUJCNOUQ,107.25
GDDJ73MW5NLTZF5YJ736CIUZRMFXS324EQAQDRYWIZK47NFDC5WSQARY,58.50
GBOQPEN2KUB4MBWCUZPA3EV6XGZZLGXUUBI6ED4YBOP7OCG3CSXEZSEU,27.75
GCZ22UKBWU5VCCBEBAKP7ID2YYN2AU6V5LK7KOJUHI4QJUVFO2MH2NY2,55.50
GDPYTNJWJ3LD47PTSJ2KUMPLKWOTO2EAF5277RMPGUK5O7CAVSR4TJH7,37.00
GB3TRRBM544U3UBCZ5ZVUDH5UUP5EBFFLE2JOEQUEFA6L3EEA23MHK75,27.75
GCM62TI6LTPJBVHGM3UWJS6EPUHWJQJLXYZNZAOMLNZNHB3RL5ZS2XH2,27.75
GBUZ3WYFAKLD3U5YS2QUDGVVTQGMZJK3MHHLFT4ZEXVT3CMFJCBSJ7BQ,27.75
GCCA3NVGEITLPW2IJMNLVJTMDQJXSKC2T2V7HJCPT6S7CNDH23WDWQXN,148.00
GBHMFNBPBD3G2CPDSYUYGVQJFZAWFATMULP3S7DU5QAQE2Q64QUMUG3I,27.75
GBCUGJVO7VCGBDDZCOXNOXQ4NEC5IB7JVZCMMISILKQ5SA2OBWYYAFXJ,27.75
GDDVPVWADA2JJCH2XCOLFA3LKQGTHKXAY73GF6RMPG7ZITFYZ5UVFROX,27.75
GA5ZU5IR2K76YQO3VV7OV4C56ZYL2TMAMOVRAKFDG2YAHTCAJAVRDKJS,1850.00
GBC423MJYE4WTDGA2DVSTKQ5R6CREMDFUBOA7QXKMLKZZAFGJWFNRIQ4,27.75
GDQUBHQJ75SEMCVTAO23NVH72XLZW35XIH3QM32SOKKZPE7D4NMIVCCI,37.00
GBNWDE6MLZZKXIL6NVDODAYDKFOYWPX6G6MPQPQXYWE5MPAWU4ZKF63L,27.75
GBTH7UK3W3PZXQQV4W6LOOLBX3AHEKTUGHLOUJ2M563BY7PFMLLJDUQD,27.75
GBMQM6TZHOJLDCC76KKQ2OGIAXU44Z4TIJRFKFTS4ES7JHBJO3RZMXNE,27.75
GB4M2OKJGKC3IB7OD4LZKS67RPYFTQNCA3AWJ6IIULMDSTU2KYFDPNBT,27.75
GCXZHV6QMMLWCK44I3WQYW4Z7EVVFUXXSS5RIIVOCB5OIUBZSOINGQZE,111.00
GCGBUXRUWLZLCYFYPL7MT2DGYHSGU25SCVGPBF5OPJZOCZBFIB3A5NE5,27.75
GABHEZCSDJROWMNGTER3JFYS2I6ZY2X7ICC2OXJUHNQNDWLKENO4KPWL,27.75
GBEP6Q4XZJ4QESNTLE3DLDPMZTSXYGAKZU7GGBNP2DQEPSMVHHOFNXRO,27.75
GCZXOKLXWZH7VUS62MOYCVXFK7FP4AYGZ3KEMITCTKAXCSDQGOPYTAQP,27.75
GBRRROZMNKO2GJYSG5KDXZRFCHD5P27YESQS7G2YBRI3QWCQFCPMEQB4,27.75
GABBYTHUV2NMFLIEO5LXT7QQ2QLWOEWN2SZV43ZLLB5DIBACCOGFIGQN,64.75
GDZMEWLOOC727YMC5ULFCT4PJJREH2AXKWGXEF6OH3ZS5J3YOYMS6E37,92.50
GARFTCAC7E7ORA4UU2ASK7EJGS36724HBGWA5XJXXWR4363WI5SY5LTT,46.25
GCA5BFJA4NUIBFVBF4ROJKD6WEWT3XBBRCAZDMNOLUAWTEZX427SD6KD,68.25
GCVKWU5P7IUDH6XR4KVPTL44OZKTDOLLEJZILLB4IGKH55U4ZZPWQS74,9.25
GC4ECOEP2K2UAXYBQUB3HWJSMTPE5WGCCGKGQPZTZRUSN5UL2FW5XLLR,27.75
GAI4M6KR4X73YRBWS27LGKP327UKUK4DURMUQR2OXIJIRBWRZCOVJ27L,27.75
GDCASVDKSTPW2XEPJSZVC4VGAJ7XV4GRQ6VXYYICH4PDNVUJK7R72APO,27.75
GDMFADK2VFLHIF4GMMY7SFJ7D4BPVEGPEWS4AZWW73I76ELPQHS6VSGJ,27.75
GCUBU4Q4PGS3FVT246E7XIEYF363REMEJVCTB3J63TZOXE4KNYJULO57,27.75
GBE23YCO3K2JBE73TGVPXLCDMTXBKJ57BCDPJGWU5MA6AZJXMOVUKACV,224.25
GDY6C2TUXDHJLDI4BAO3IPXGU7AHB455CBQKCGH7RR7ZHRSLQGVBOUSJ,27.75
