address,amount
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,500
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,425
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,500
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,2550
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,425
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,1600
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,850
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,100
0xa885c5ced05658736659a7e525dce52975a8d62b,500
0x0555cc1f7f0976ea1e020047f6df51b06778864a,85
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,500
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,100
0xc51b529faa096b19cc48769eb952e61364975ef3,425
0x048054f6e13bb29c6453a12337999faaf8ebd72f,500
0xf811c7cda02d03012577d45d9cbfad4358d5390d,425
0xc813e4bda8b0582bab22957cc37cf712d6b5bef9,100
0x09f213953d92f865b949b3e39b9dcfae687d4966,475
0x2434a3896ce832932672e9c0f7c35f0f34e04206,500
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,100
0x3410b04c2362496d0d06a0be58658e7cd5b50e31,500
0xdd8804e408a21dc344e2a480dd207dea38f325ce,500
0xc73dd10548663fe3a4766537daef00f547d352ed,510
0xf2c38389029df15bac7d81c9959b67787218202d,500
0x8af76bcb6dddafc088c239eb118355feffcce0b2,4500
0xfa8b015689033d4faafe2dfacdeed5460a1d6ee5,2125
0xc2933176a9be2116721a2681e042111ad22f8266,600
0xe07673f8c895348fbde720dbea0a967eb1c72f60,500
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,500
0x5c216d7f402b3f41eab91df35732c8994348536f,100
0xcd4e2a95ef38a5f10bf66d512059778e8af8bc6f,100
0x10716aaffd2097228c78fb8a7d844eabc85497f5,1000
0x2282ecc111b7acabe470053d4a09472bc07b8d00,1000
0x2479478c31a50de37fda3596f92ed557f28451a0,100
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,500
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,14500
0x0d2a233ec7a8097baca8959cac17c4339954d25b,425
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,3200
0x55ac30a569805b93f6dd2a286e77894bfce4a01c,500
0xc9dc408fef73a7d3bba132f1313ab6a058d06394,425
0xd5a43644f7d718d0c81c54628f38ed88dee29332,100
0x205efe6d7a2bd0867492a0f1f00f68e16a71ddaa,85
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,500
0x169a6bb7f2a8e4df6abd410414a3d427ba1e2f25,85
0x0829032ba968c222c9442d0d58ad00bc1611ea71,500
0xa9740c509f10bdb4908507345cace1288875a7de,500
0xb994b9caf6f81453b02b1626b5ba6b28d733bbf9,500
0xd45d1b5da77939929a3791913ceac8682917073f,425
0xfb5959e3f9401033273ce1009099df6f0f972030,500
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,1000
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,600
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,500
0x22a291ca29dd1e854eaab9bd3dfb5322d39ed9da,500
0x7df67073c591dfe102295a8492dde45f9b0a112f,100
0xc202a9c0443f160c02b66fc416277ba490b91978,500
0xca72a3d28ae138057de8af3b4dfd0c964161853a,100
0xbb088b60f8acbd24051cd982584e3af06b58596b,500
0x1fd9e491a921a99646ce4b71f3dc98dc5a4ea5e1,850
0x729f6405527fbaa18d73c8c163a20defb2668d9e,6800
0x5e914f52c830e817ef4b2b9914c08ee312121d6f,500
0xa9c11abb2b10834a2b2ddb8bf1019557ffb02b81,850
0x48962bcd8b903e2f46a8a0f0300f12944337cbcc,500
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,500
0xe51428fd97681e59ac04a39d180c00e126e2283c,425
0xa5442966da959820058b0c1952b0b5746b65d318,850
0x6b2dfb8f1f88a400e3aad648d9d8a1a5e1820a7b,425
0xbe555c3e3f9f2fb2677e1eab7e0cb303a86d5af6,3825
0x0c4bdfe0aebf69de4975a957a2d4fe72633bbc1a,500
0xcba5c83951c9b8c5d216702d18e754ca2ce6b8e8,100
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,500
0x357953836feeb9a7934645422bc5406ce77be91b,500
0xa78733d3f8dbd47fb543bdd3847c55af85d03150,1900
0x3bfdeafcc713ea8c9e4da63a00dab713d247acb2,425
0xedcaa27960bd503ef68651c32922a567e87a3607,425
0xdf7deabfb7bdbc5b71e42e3ebbdd7cf2b07c273d,425
0x68d872fd051a8c6cb3dcb1ecd8a417e508dd3959,100
0x821101f0704cedf3a32194fddd1a9c401495d59b,300
0x8a15e42672c1161479939ec6c1299ab1e481055f,100
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,500
0x9306516710d956c068f98fcd3b54a54881fe2770,3187.5
0xfd525ca646af3816a44ed7939ee6d4f59ee1229a,1000
0x8b4c795d64a79f355432518b81e3c6544324352c,2850
0xc6a265dfde65d5cab98375e75c5881354cd6566f,500
0x1099218cb10d92145e5e3b44398494993cd34e54,100
0xe9b5061530da4ab7cd267a9ddbfa5635b46c9911,425
0x79cfe43df50568e74417838ac6bc6a8e07d956b7,85
0x69f721482ed8d6fd2d67846837def6dd4464176d,510
0xc2d70ffe112d9b18c8e093b05c2f785b1ce7cff2,500
0x544b0181e16bf55ef971ce9ffe1d78ecc536aab3,425
0xd67bea641952c1e920c122108bde1d36e1c9d388,100
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,500
0xa7f58bfcc07f36ff333463cf8878d393b41cdc28,425
0x8db196e246de3137d5c02bd2018709b1f3b8e123,500
0x933066f725d2d6be37a7ad6d1deb5043a9ba4565,425
0xd29ca31e881d699e09e4e41c58c32d79b8ba6466,425
0xb95408bc17fbb8b4aec4ba4862900d40ada03553,3500
0x4243306a10c6179deb93e7ab909557d283631934,2500
0x02709df42141d7dcb3e63423ef147b494382aeda,8500
0xc70af712b25dfb8228c79a87f29332a9c39b4104,500
0x1eeae4e295cf0d367b488debd96ea56a7a661c3e,425
0x361742b71a4d18285560ce105d131c39ba3cf4c7,425
0xf6a591a2c96ce9f577b5fd87d1ac1dc4e3a53fe9,1000
0x00d06b3d094b0d8c604242167e6045c2cc736db5,425
0xc96f70172d16326395525e154c7c868f98e00e5c,1000
0xb1ccb6ad9e44a1198531a2e9ec338c6cb4d4e3cb,85
0xdb3aba66da08c1bc770b9b764048f7fd9c3dcdba,500
0xe3927162bd747946eae330e6f8db4f0121d379de,425
0x17bf34a8ec5d087480de409986b95277b3f1ebe7,500
0x2b11748284e7953dd0810d4bf697db8c90347a1d,100
0xd193466c05aae45f1c341447e8ee95bdbea8297e,600
0x9f5cfdb271da1100df86caa10243f3120ba4c6d9,500
0xf63120d1f587b5ff28a63acf2c89041bdd86221d,1000
0xcfad591ff4b9f2c6e10376128eda7028c6e6535a,500
0x5537a92fcafb46dbb404caae01034e025fd25f8a,850
0x1e05b60e7bdf8d583b3a6a9cd613056552bd7b1b,3400
0x03fd3a6ecc4a093e4484ef2373d75584109a7eef,425
0xe40878b2268297282e83fccdbd70e4e23afd3dd0,500
0xb35d36153ae886f69fe74372cb186802fc4d46de,425
0xa5a251ae6a06899973d40eacf777f950c7e4236c,1275
0x1736a6acba76c1990afd339d70c17b9ea0bb0569,475
0x667c5DEF22003b28fD1F172097e7ebbAE4080753,500
0xdce2ccadec91d0c2097edef8f18b5ec4217bff09,500
0x03d279c1b95725562fca79a6562afc5904aef9d3,500
0xa42a317e1d9ad2a29ef0047b5dc307ee5988b0a8,700
0xd8dc39b6e8f46a9359045306da61eb325ab5ee92,85
0x92b12c72ada95f23c1d8a10f72ba51238e442676,425
0xc03815b70cd64f73fc986e70d4663ed3e5ddcd98,500
0x0f2ae9fd94d2068a6201dbf6058125973c08ae94,100
0x15ff1369fbccf1a041c3fe292ba1c45d1184bac4,500
0xfb35f7777ce58511842f1399bd05aa09876d4fff,2500
0xa325ac2d571e4b490bacf13264c285ed6da61a85,500
0x164ab5c0c28611b97173026bdfbd7eb47de3fdb7,600
0x14b51dbaeb36bab0465fb45cfca569eb41802735,1300
0x46a1527274d1059c91c0e131d537fefff2829c40,425
0x2c068d142adfce1a17f862c7e0de93975b2d76c3,100
0x6ea35bb7b426a1bb4788c4d73d3c8b73adf0b9d3,20000
0xa970c50976c2687cee51caa52e99c1b9ac8d0bdd,100
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,100
0x694f01944514e9d598ba5b8e636f8e02dd4b88c8,85
0xb84b3850eabf40264c45ff1a5b5ee3bd64f9983b,425
0xe18a1e459293eababec1477fbfc7291fdcd4ff8b,425
0x89edf22df2672b4ac72276c00ccf54e73516dcf1,200
0xc555042245a1d5edae04916665b59165ca16f58d,850
0x682f11e8d2b01653f468914859fd33b5fa624522,500
0x7a9a10a03d67d074378fad196ef83c34e9972c1d,425
0xdea01eba80a2d6f49ab691d109b1e91f421a8c6b,425
0x85a004287520fe5436babaa326ba96e45d1bc480,500
0xd8158aa51229ff8b8014946db41d1ebae21ee3c6,85
0x33afa84374ab8d1c566f1bf0d30f961c5b908e19,85
0xab868ac6da9172531df31afd181c9623de5831b4,100
0xae0bc183ff3dfd2022142c2e914cd55d56eda438,29500
0x0b3181786fe6ee88f2d27ee3a9ebd51c1318abfa,7000
0x0cea67067768a6d908626322f0e0cf10e43a314d,3500
0xb1ece6597e82c6518b796cbf1fabeaf487f3f550,425
0x385a1644c68944bba8e9ae866f510137b5360451,500
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,10500
0xac1b2469d1b46b6290dcad11b7f0d57bca55e18c,500
0x86aa07965b08a0d1c7a633c808d4461be956e1bc,1000
0x1e854ebd74fdd3894629f057d7be821fb210af5f,85
0x4a29214393ae5cf3977e84b452e7f96333dc4f85,500
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,500
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,3950
0x24354ef7ca981643076adc7a89f4e3adedff9d28,2000
0xe7e07f085fd876d3619af686dcb3a295778bb01d,500
0x4817e02efc9131a8d01f4745721d1e5048b9eb45,500
0x72ebc1faa79e473ec299611fa32dabed8c472f03,850
0x23e015c60b98df74ce55b9883a1e02bc8b0533ff,600
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,1100
0x9b448cf7dc9e69509cf9e7066cd97060568c68dd,500
0x9722567b2c92538e8c4ee23ff671ce63e440c33c,500
0x3a663169d2f7fdb3594e8faa1afca38047abc262,1000
0x3a4aa2089d9bf4c39f33bcd44f049a90f2eab182,425
0xc7962b984bd27fcc98885a3f937b16ddd0bd3ab7,425
0xa0d7b7253289fe5d8d8d00d97a8477a0ec046718,6000
0x8b190a162e643760d91a02fb35dcec858c4e51dc,500
0xf73da1bc4582e21204d14ed904e80e2d01b7f71c,510
0xea2df024977f01d850990804810d850d44ef007a,85
0x3fcb3018cbd53e0a6c93048eb5c7199487d7b7fe,425
0xfd5fda2f0367479044f691a0e7c9ef2aa8b0a707,85
0x717fdb68633898d4318a74e9243f5fa69e662389,500
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,500
0xe9cc7db7b419742f35678f39f07e3b28afd70a87,500
0x08d4ea15a8d5f96dddc67c28d2ba1da9ca912c3c,425
0x2526665dbefe9ea1357899e91744d9b30ab4c475,425
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,1200
0x2d79b193877391ef4856c0c7cecc7dd54435c44e,500
0x522161fc2070c425c4253a5cd1f4dcc5da57f0d9,1045
0xf5fc9cb08df9d1d32b85d7cb513b459821e572cc,425
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,2400
0xdf65d5d0e5b91d1c56d3ee57c9d2d6de5601f4cf,1000
0x57b1f8bb6e2b5353cb42868436920c63094e6929,1900
0x638d31299f1108ddaf34145cdb5676b875022a9e,85
0x3bd568cfbd2d4e16017570fac8816da10a31fc79,4000
0x1e63684d6f82554313e45143c0819d04235e270e,425
0xf9b77ebd60fbff486dbb352358456e5e7cfd72ac,600
0x7e6f0db6d9b78873a7f619e014f317cd997d75f7,425
0x30AFF1d3795D0a529A32c7CFFFd496d004078482,27625
0x68e9496f98652a2fcfca5a81b44a03d177567844,1700
0xa5254e3e5c3dec8ee1e3fc983716b17139b3cf55,500
0x79d23655d74aa26f9fbb14745817d2d480cda351,425
0x494f205fd1a250888c714d99b48db56bde9881ab,500
0x8717e32e2bdafd91c0f1821bae3869ca79ae9dc9,2000
0x3b62017e5cec850a4235636dd704409961d9bfb2,425
0x079c8c038096e246c5c94a400ddcdb613a5f5f14,500
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,600
0xb764113ac0c2d8e1a99bb2a69149503d9bf4f614,500
0xdac1cf9297125413358b6e58e82ea966ec1549fb,1000
0x7d33d403fea03505a76f1e06ec9b36e36ca390bf,500
0x6d4793ecab20bc68e13f776fa2add2f0dc69d8c1,10100
0x192513387b1bc31597ebf9f858e19bcb410ead6b,2800
0xf4959235de59d72e1a75be19abe7791598fa3081,100
0x08769c2ad7912a3b5e16bdbd877da977df0cc95e,1000
0x1b7723fdaed03327b1885c012f2d27a79eaea24b,850
0x6a8ba907725743d298ed148e9c5f008e3fae070a,425
0xd907d10c79cfee4caf60602ee75cdd23eabc0df9,5100
0x2c11464dca0149a64516dc1986d1c4a2058782e5,1000
0xb67d81bd489a1974b0010d48c81e47a7d7e4db0c,1000
0x55048f7dbd65d5706095532f2193c452527ca8d6,500
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,500
0xea888bd24d38dd22b79aaf1d173aa4ba9f1049b0,475
0xaea261e76acabc90a9894a645015ca471af960a0,85
0x6e9da8bb41c0cb662802aeef9d0e79bdf54424fb,500
0xdb630687349206932e066b4c9df15c6542add5ac,1000
0x18d447df74017a79fc518418438618c2d0923e02,1275
0x8c67d1e6fdda4b572b82a2aef6c37ffcaa27c168,1100
0xfa4e7035b34294407e5df1603215983d65e5a773,600
0x33823986a5c7892298bd794d4cee5f77e7676b38,500
0xD520D01a6D2820464D8B2a19F54011b05237D44A,3167
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,3167
