address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,0.85
0x2db838aa256edfd0c1d2e23981e112fee582f3ee,0.85
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,0.85
0x3e9c3dd2fd439442936cebf9b5909291f1b97074,0.85
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,0.85
0x522a57a9267b6a54dde2f9a89863304cd0391827,0.85
0xadb3e19c3f1324abea86574c83fe6eab3b1e6937,0.85
0xba95b4a5b130c4c1d27dc9e8adcf7f087cdb4c52,8.5
0x69276fada1552f650cd18bd9388287e22f16126c,0.85
0xd61eac6ebc46c514050e2b957ecd9e020d9d3d5a,0.85
0x4a85637987f5874b8eaab3fd288500fd4fe663bb,0.85
0xdda4ac0d5a21371f6ca7935a8991cb9010f62118,0.85
0x4c5aceafecb3e251b744dcfcf62a62ac0cb29d69,0.85
0x728e3d647eda829e20d61dda5b7e32b05eacab14,0.85
0xc748ca9d0f39d94686fcd9fc3d8257462ebcc5bd,0.85
0x066fb187404feee6ee7f6cde21697cea1a89ec23,0.85
0x145f3dfeb18cb20b8ce4a33fe38a2be532d40ae9,0.85
0xdb6a07682ccc75a52199240c7e517ba148af043b,0.85
0xc0e31e9712024fa2205e414b94d2846a27116f40,0.85
0x55be777df5aeeb9375516e6a28a723034e09f399,0.85
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,0.85
0x7dd385432be1c700b3455ec00d3c1c288cb99687,0.85
0x5c216d7f402b3f41eab91df35732c8994348536f,0.85
0x49ff3cae1cc3a3408f95d6773d5a60950fafc24b,0.85
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,8.5
0x81e21f4b5e3ff6b38e372b0e7626fda0883b6a97,0.85
0xc493bf47f6624aad016c5110f37ffc77d34b30f0,0.85
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,0.85
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,0.85
0x23d344a3fe9450753324523425eac8bb6754eb8e,0.85
0x36d10badd98b60119c2c240aca947535ef489c4f,0.85
0x6221d0c7e8715eb6fd55acfbe400a85f936a2ed7,0.85
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,0.85
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,0.85
0x0a6d93f4f0a88b18c86b3c42fe98d4b211165c0f,0.85
0x87577e9004052dd82ac00c243651eba4d646c7b6,42.5
0x99301683f8e308338de01f1bae59a00b2d43d40d,0.85
0xc61a5372666267eef5a2d59789c9b1eb1a0565a6,0.85
0xade1683f0466c4d748a22cbcd4b5443a504400cf,0.85
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,0.85
0xd71b477d5dea0a95b11ed8df997f3b2f6e3cd4dc,0.85
0xfda77411e0c12df5224d2c958caa111ea5b45329,0.85
0xfa6a8be47ab4327b6294b5218870985296ad85c3,0.85
0x061125184d535691b87a9560db30902b12989370,0.85
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,0.85
0x4821b932a244c333c77c29421a909b4537cce5d9,0.85
0x6a78a6c2d578eff62f2c8e3a9e4c2d32309e9a9a,0.85
0xceccde1c3e7517bc66fc9518b0e5e939520ddcd1,0.85
0x7886dbcc7df67665c4a89807d8794d91dc5d59aa,0.85
0x094608d51129f3caa352827c5941ca0a7fa904f5,0.85
0x2f8431950629e87f759ab0c7b38c612f24ec6939,0.85
0x05481f8665fbd1ae0d178f2c90f20fab6016b3c6,0.85
0x55517bc1ed2c655a7ba72c41313c30bcb3cacf7a,0.85
0x224bee7082b2d92a77816d47cd7a9158f2561085,8.5
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,0.85
0x9efa3ed06522da7329fec9ae8978264182d3b9ba,43.35
0x2e23a041ae4a7d7c72625bed2ac74d0fabc66b8e,0.85
0xe2faa637bc3742f97e98d002044bdb3b35383162,0.85
0x99b221efb68ee3351a546870997f0e0178e43bc3,0.85
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,0.85
0x942b6e0ff58cf04f51078d7ed7d96b0d9f585d31,42.5
0xe7f360f862ae973e1f3aa1f17559ba85d7844df8,0.85
0x7fb2670a7bb7dd6a8bd7faec113e3ef3714c2275,0.85
0x3fb2fdec2cdd318d099dbbc75b0f645a3a1bca78,0.85
0x24a5721c67c3803a97fccc55f1433ffd462de5bb,0.85
0x72bb9cebc8b9f5117d40dea16297c20c3c98d8ee,8.5
0x4c57f217c8cbf9c5dc400880e27fab1795879a72,0.85
0x21f9c471d06fe8207fb0f4415b79ddb80228b92d,0.85
0x2d323631ce230a53b677854fab56ded5add5f264,0.85
0xdd897e1c8e76d90b343aef1491fad93780890f82,42.5
0xf6247f1c935d53f7f1ac16f6fcd529f58ca3f15b,0.85
0xa4381da40843128243e326aecde5da53378c18ff,0.85
0x7ee9e061cc53aea18ca6bab38a273429e9d530ca,9.35
0x4a96deeca8038b54eb672cae4775f325398da3fc,0.85
0x6b9a93eae6af9d01519c0e99af31be24f80a47e5,0.85
0xadd5386854e73f45543136730faa9c27fe529d64,0.85
0xd67bea641952c1e920c122108bde1d36e1c9d388,0.85
0x625fd287840a91abff98bf86a51dbffaa5364f0e,0.85
0xd22e3e8dbaaeafe4dc6a94c036fd6b05d9df823f,0.85
0x4cad6443c690c9d6fbc22280f676caea99468fc8,0.85
0xd193466c05aae45f1c341447e8ee95bdbea8297e,0.85
0x4c993c8cfe94e12e4a4c068f19d60374f5e1781e,0.85
