address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,5100
0xeb42994c18dc36ffb529fd849c94441da3832c08,136850
0x2b3d820cab9970dcadbbbb667e012b927608d17c,12750
0x522a57a9267b6a54dde2f9a89863304cd0391827,1275
0xdc61e516d02204e27509fc8cbb135da2439a3967,12750
0xe80758ba730e9bc6fd1a1b6071cd0fe03b205233,1275
0x70b02d35d731bb8db768053e1f40c3036afdfaba,850
0x84075a25c91299f0a33465d1bc2791b5064c14fd,42500
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,425
0x0eed72488de71076f950844096d8febbadd501ba,21250
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,1275
0x52332ec46bbd2d600dc00825583576b9483eaae9,12750
0xbaddc83e3c4d7ccfc1d7559696054afeaa13d7c4,21250
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,425
0xf34532b4f17e0ff4b3c1b814e92c061922804801,8500
0x066fb187404feee6ee7f6cde21697cea1a89ec23,1700
0x22326ca40911e2f5638c2c71be73cbdbc4077fbf,23750
0x319e289491896e73509fc5e9e2edba5a1e0dd234,21250
0xc651a2a185b783de2a04be06be11ad9fb2a94d6b,21250
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,1700
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,12750
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,9945
0xedaf1a6f518a5554697ffa8481dcbada1cbaaf26,21250
0x3eb4b506a839b33a4e5d8719a4150e478083d550,6375
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,95625
0x5fb96642a4b5ee74433557d27421071e245e76de,63750
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,1275
0x87577e9004052dd82ac00c243651eba4d646c7b6,8500
0x49956445596030192034483b81892795b77a69d2,5100
0x92bfd9a019c5b21c7acb3391fa60dd24d85ff1b2,34000
0xae74399237e02458aa42283e7c3ef2929ad4896c,42500
0xc84c12e1fe81e9eec0d777899eb2a74b0a884587,191250
0xf2325e101eaca833670ab75d846406dd482e3078,136850
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,21250
0x67d03e55f3057dc0917caa986beffece0b79e9af,42500
0x1330355f5181e5a865b35063427648a5aba9096e,12750
0xbfae365f6d420ea1c86f84489a7dd58402edc8ad,425
0x1f235a06d30d30f59a17fb0244937158e9ed721e,43350
0x7886dbcc7df67665c4a89807d8794d91dc5d59aa,10200
0x25ae330057508edaec2dcc51c721d712f6067036,850
0xb9344fa4a0b21e572534c3e3c2923d9b39060ad8,42500
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,12750
0x295aca7dda69533ca78410da4fcc5ee2bafd1545,8500
0xce99e81912fee351b1058e822b1aa41745aa55f5,12750
0xc38e638025e22a046c7fce29e56f628906f9d040,42500
0x55517bc1ed2c655a7ba72c41313c30bcb3cacf7a,850
0x26a74e056eb4e3607792dcd87070e468878d14e9,8500
0xfaab9425366cf3137c19967a7446860d2b5034b4,1275
0x2b6561e955965db87f48963e1573f819c31cdaf0,71250
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,12750
0x584213211706148abc3bfa6c5ad6424c43411461,4250
0x970b359b647b311e22733a0abca43a4299dc7c8c,6375
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,12750
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,475
0xd841f014e9407312bdf11a4308997f68811d1166,8500
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,42925
0x4ed7b18310130ed390f7d436ac66be1509e11e07,12750
0xedcaa27960bd503ef68651c32922a567e87a3607,21250
0x65d66a9418f3c149a55f8cbdaa2861cea1172677,191250
0x551ec9b5d484ec5407edc4731060b980a8839ac7,12750
0x8cd216a447fb0da80c56c29612e91849404be20d,21250
0x49f98bb58b412e564c1b560d223eab8627f08558,8500
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,33725
0x18d6234969bf7e3edc6635c110a54ccd0a49a490,21250
0x42de502e0f78bb7e7e546c6d921586b1def491a2,21250
0x401d3b307932a4a96feb2fda9878a9b5eb91a554,8500
