address,amount
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,425
0x96e95a1f40cf5a50178053740ade18046815362d,850
0x13d2a02530e987f68b9df14aacef417525547410,1700
0x1e4c331d8dc510622f997b55520d877349741256,425
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,425
0xe9f659172d39c54ecae31c5f2161115c95a557d9,425
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,425
0x522a57a9267b6a54dde2f9a89863304cd0391827,1700
0xa885c5ced05658736659a7e525dce52975a8d62b,3400
0x7a6e64e49b02ff6b57ed63d28917c0e0d43778ab,425
0x0984f5ca4ddce991835b1a831cba2ff31b40ea00,425
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,425
0x901be73c1197a761fd8394486df4e9da30786a56,425
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,425
0x3956396472c96e04925b7a416f0996ce5ed30645,2125
0x6100d6420a80b4f73cdf9460350e07f2e13f0d72,425
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,1700
0x25631a17411d1cfd620e3ca58bcec0fb98e7ad7d,425
0xc4baa22875102821bd01f572d63679f5f1cd8046,425
0x9df7b698115832857df445d2da8ca936fb399fb9,425
0xdefd145504caf5c43e728b01f266b6a07bbb15e0,85
0xa5135394d563e323e83b5c1b097acdd7a053b40c,1700
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,2125
0xe8abd18f97bb13fdce53dce0090a3c7acf383fb0,425
0x28b460e553ce81ea5ea5407ece30bba3903af23d,475
0xeffb62efe049a72ce5794d6a14ab77e8ea53d27f,85
0x8c0a4f4e6c63854f2b360bed46f64cc86c891801,425
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,425
0x4691fb5560bdf4fe6292e72e1928c9116e2a574e,1700
0x71a9d702eb192c6ff1a0efdfb06cc643d2af32bb,425
0x42ab6a8813a00af942714870327b4bcb71c3d871,425
0x5e870b8c04f2bc246c71340bb3f7dc3ae95becfa,425
0x011305a6fb1e6cc7c9f5b0ec1bd13308445c23bb,425
0x213d9c4fb38329af0d63d8982a7c54258df727aa,425
0x0d60f9da37ac046d521d823eff4fe3e42ac0e600,1020
0x048054f6e13bb29c6453a12337999faaf8ebd72f,425
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,850
0x6995480bb8144c5e59c3b8c45bcf6fcb8a2eb5ce,425
0xd894b25119f39aea58d786329619f0f564a99a5a,1700
0xca768c2323c7d04cb2afe8e1c9d602341508013a,850
0x8da0583ebcdf983d34ed49568a836f134607a263,425
0xf811c7cda02d03012577d45d9cbfad4358d5390d,425
0xad1f27ed67363342d090f9be994ac849bc3e62b1,935
0x6c644bdee6e5b1291ab98155e294a8bd60e4abe8,425
0xd60d90acd08d2343064d0828d4fdbd1a9391a19d,425
0x27896bf9976b4d1aea4ddc24280df0a2be6d675d,425
0x83aefe167d325682f8f02fc9b96a5df4c39ec840,425
0xc813e4bda8b0582bab22957cc37cf712d6b5bef9,425
0x066fb187404feee6ee7f6cde21697cea1a89ec23,425
0x09f213953d92f865b949b3e39b9dcfae687d4966,1900
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,850
0x4abd7276c53279b3abfff2b5d8a47c0afc84833b,2975
0xde59dde7c5428ba29c7461338f4a6f45637c792d,1700
0x818c39aaeee8e7e719921829508e033ddd01b3aa,1275
0x3410b04c2362496d0d06a0be58658e7cd5b50e31,1700
0xc941b4bd79886898f93d679facf56d5fe2a43a61,425
0xa30ff788ebac2878dc36ec379e55deb02c44049a,3400
0xdd8804e408a21dc344e2a480dd207dea38f325ce,1700
0xf2c38389029df15bac7d81c9959b67787218202d,425
0x679ab85568de50d8ce71d7fd4c327ad8625e3d5c,425
0xcf49ab9f2838921530c294c943050cde54ebc016,425
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,1275
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,425
0x26d1284ce3eb8ff3cd90a882378c8b4c3fc9d1aa,425
0x8af76bcb6dddafc088c239eb118355feffcce0b2,1700
0x485cca2b19af0fbb53a79af3314a3f82a367396b,1700
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,425
0xc2933176a9be2116721a2681e042111ad22f8266,2550
0xe07673f8c895348fbde720dbea0a967eb1c72f60,1275
0x19d6e982e884fd8006f50dc3a306bc11b2541bee,425
0xbea48ed996bd35296886dd1fa7f14c455b77ccac,425
0x965c76ff9a5550e5b015f6e224392fd2a06c0239,425
0xa2b4be559db08800b988932b88b27d026bb8aa30,425
0xef39460c379407888a0d7eefc17a8930a5ebee18,2125
0x5c216d7f402b3f41eab91df35732c8994348536f,425
0xcd4e2a95ef38a5f10bf66d512059778e8af8bc6f,425
0x10716aaffd2097228c78fb8a7d844eabc85497f5,850
0x2282ecc111b7acabe470053d4a09472bc07b8d00,850
0x6886f33bc57019890ef08a6056c966b5b8fc1676,425
0x2479478c31a50de37fda3596f92ed557f28451a0,425
0xe622688951c465b4bc09412a0adaf5c666beecd3,425
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,425
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,425
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,1700
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,2550
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,1275
0x8faec06879b2bf88c564c9ec23420bc857619be4,425
0xfb40932271fc9db9dbf048e80697e2da4aa57250,425
0x098b987a34949ed61e9dd99ebc7ee926e2352956,425
0xbda02bdf817d45be94bb27686f0747467343d40b,425
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,1275
0x23d344a3fe9450753324523425eac8bb6754eb8e,3060
0xe20254111032f19fff333fc59faf2b0d4dd79d41,3400
