address,amount
GAKV4MCTLCZNIOQGMXUBGTKVJTWUEMXFVI5VX7YPVK2WG2TNTP3PMFAJ,513.859
GAXBUR56BT57DFAK32QBYDJ5KJ3RMO6BARB6KDW3LJPWE4HUCF45TJRV,21726
GB4WSXKEXP3JYXBMNZOQO2LT5JDPITTCIYEJJL2A3KIKQWIG2PVR656T,180
GD5Q4QIJ7XYMF4SH4XIOV6CQSJ57XHUD4MMCWAFP4AWASH6Z2E23D5K2,23375
GDT4ROS2FSMRGDBNW4WU62ZPMJFUBRYP2PK2QQFMW4EBJZAMYZ2Y5FSC,16320
GAOXCAXT74LQH7NQIH42TR25JLFORCTNKBGAUTQY6PTMC7LBY3V4XFSD,57.0945
GDK75FKR2HGBSE3NHVFOABUWHDOSN5EZVGF7X3QAXVUUQHCHXBXICMAV,42.5
GCGUB5ZC4R3HGPCV5HZYYXNU5CSCBFAIEK7ST2OXLSSPQCY2VY7PWNOH,27837.5
GD2ND4RZ5JH2XT4M2T4YCZSWN7ILC7EZA4LXFYZWBNQF66N2NDF35QRL,9697.293
GBUUKKTEF2LGMYGZB7EQ74GXWBPXVNOXWUBIR4B5U34VBIUFEFNQDVJS,2797.18
GDFDEASQGJTK3YY5RI2D4ZZG2E7DHC2CF33FJR3WAGH6LQIFIOD4E2QG,3612.5
GDA4ZX5GES2UDTV6TYOHE5XFGND4PWJLANZWWPGKDN5WEHT7REWBVZFT,850
GBFVJQ7WRAVBL66NI7CDBBVKFQXNJ2ZDUTOVIU437WKESK6MD2GEQPHV,1275
GDZ7N4M4XSS5WD5NAGP2RA5K3SI3KAMLW4SG623KY2KYKBZZTWAR2DLV,11900
GBAAIXWRA4EJIPZBBRKI4XUJNSCVZMGQTTOWVWU4R2JCWAIVMONWTO32,815.694
GBKXMFQBJXVTN2UYOIJCPPPKJZ2BWKIEWRYG7TUJN47IP3Q7E7YWPFGY,510
GD524ZA55NWYOV7J63P5FULK7ARC6ZR3TTAOUAOKJW3CFOVUSNKJ6FFW,314.5
GCGYESO47FM5MYAHL57BNMAEYHECK6RMC2UUXL6C5BJXSZU3HCQELZ2Q,357
GAXDAXYIKLP4CXVKHLD2FQGA4NO4I3OI7G7TYFNXRASH2S52POSAURIE,8788.3965
GA7ASZBBTHGMCUPYXWFR3736S4XTNSORG4I7G5S5CZ3RALPVIRVSLA25,314.5
GAJPPJX3SPLGFKJWVQZJAO3GLXKE7A5JVYHCRO7MK6DYH24TT42DQJCC,42.5
GD6MG4UJIZBZTTR23WLNZEP442Q7BV46E7SBAGYLWZSTRUN3US5P3GMZ,10650.5
GBAAIXWRA4EJIPZBBRKI4XUJNSCVZMGQTTOWVWU4R2JCWAIVMONWTO32,815.694
GCQSEAB3XPFT4M45EDMWBLKIXDNFM3CZ3R3YCNAHOGD3RIBU4D3YJD6Y,10808.991
GCZBUXEQIXFOZECE3A4FVRSIXKESE3EEZHIRZFV5ALQJONJONMVEEDY3,285.481
GC6CGSAWXGT2FL2EHAXREUFIUPOJYYW6INB6WBGG5ZSNQXUVJPP3BMZX,314.5
GD7C2PABB2OXYKGAQWOSAC6OSLKNJJ5N6PUTQMRR4JJZWFBSIQVM76P7,314.5
GDNYURFLQBBOVWT6HVMAUER5SHC3DKK7DMVSBVAA54QH3CXXPEJDLXPY,212.5
GCYLT4Q2XADNHJM4BXZWTDFLGEIXD22DCOEYXWPZI3F5LEJ2DTJAL2TT,314.5
GA6DJRGGMUOGDAE3XIKAPX7V3LGW5L4X5GRK3QFNLSRA6EEFA7PVUEDO,314.5
GAQK2Y7HPWNAQ42YYR5DKY3RUO22HVETL6MPQZZM6XGQAPWMZEOFM2Y3,314.5
