address,amount
GD6DENEJJRCNK2YQNF6XVDQKXG2TNQP2CA3BY3JXCIUIXLPMG2V7AHGV,102
GCJ6E3425PCMC3OOIZNPPHENS3HIDWNLTL5U62ZEQW6FMFDNENEX3V64,2040
GAYGBBNXJDKUG4VY2B75AAOILKXFJJWOXACFVFVY5SAAN2Z3KKSXP5DI,212.5
GCWEXTFLGCSTMH2AQBR5YXYYW22XUMX5ZQB5Q6R2SDAKAVETSZATE7RG,850
GCAT2Q4AD3X2Z3C363GPMHDSIZECIC2M745C6C4DWFMXXTNFTJG5IJ4V,1360
GCPYEHJWWXQD24TMQMZA23VQ6YJYDLXIWPAQGWNKIZH57ORRK4IRL425,939.981
GDBN5JGLCRWE6L5HPNKWLDAZ4EOCSCFNP47NK2HEQ7PA2FRLRPXVHXNT,4019.8965
GCKD3PGQO3DR7ICCBIZIRJSAISVAMSRNI6NSNTWK3CCBBO4SX2FU4P43,1802
GCXX6NS2LYCQ6E7J4KTLIQB6TL36K6POXK7CVSCJYOALUHQRMOOR37JA,5100
GC3JUUEQGXWAI6Z63PGMY722EKML7Z7CO5ADE77CAM22PCORGMZXWCY4,6444.802
GB2E5C3P5THB3HC5FIV7W3V2MN7BT6FZUKCSG5ZOHZFNJFNPBLGI5MKA,3594.8965
GAK5OSTTUBH6X73X7MRVFS2KB56HNY6WQ2IV6Z322ES277YMGNFUWKQT,3125.5945
GCCPXN2GMLLKRZ7RNYYPRMC3S72QGNVVWK7525P24RTZ56IIYN2DEYHW,561
GDFUORJVNAVIQA3NOICKJ7QUM7UC45YEWSMCQGHHDD4RNDE7JMKWIWRJ,285.481
GB2XFVWN7HYJIJ7SNFMVS7ENPDLH7CIL4EHKFK5HB6I5OHQNV3NPSHHP,1700
GC5MZRE5HOKVCVOE54TQBWAZBGVQGD6TTQ2GUWZVK3PUZ4DKLNPZNHEX,255
GDHB3G4TZH2SMSO2MGHBEN5AEVSHBKPQCXDO64E6Y6JELITKKDUDPBKN,7937.793
GBEEDMT43QFZ7IZRMD5ZI7H4YXA7HD55LLSUKW67Y6TW57VVXBPFHQOP,24179.4825
GBSXFM2ANHOGHUG56ACKIZ5EMNW2TPVFWUFHNVEQ3TIVNXEWA6MIM7FH,1147.5
