address,amount
GDIH2TRM5LDAJSJVUTJX2ZEIOLRNYB7MITHPZIRYNPPU5XSSGYEB7EJG,1526.99
GBF5FIVVZCDTPJXRLQTFWGFF4TQAMBPHOKZVRJ3TWQDKUUGMVGQ7Z6XS,3400.00
GAO44IYDYPMZKG2PEMKFWGQRRV2IMQO3TMIHDG4CKYNWQHCDV56E2IQZ,1223.70
GBSXFM2ANHOGHUG56ACKIZ5EMNW2TPVFWUFHNVEQ3TIVNXEWA6MIM7FH,11854.23
GAGM7KBOXZAQTEVT5BQMSPUOC5GTZJ7FX242KMJ2HL7UIPFHT4YNX3LZ,42.50
GD6DENEJJRCNK2YQNF6XVDQKXG2TNQP2CA3BY3JXCIUIXLPMG2V7AHGV,2196.26
GB2GOJ5R7PRI7SZ5B7EPCETBMDZE4A7PV4ESHOUCXHFOTH6XXUJCNOUQ,102.00
GDDJ73MW5NLTZF5YJ736CIUZRMFXS324EQAQDRYWIZK47NFDC5WSQARY,1712.88
GB2QU7PYKQHJ7T5XNZJ3KZAF45YNZJ63ZBPUZTO4ORKYHYUHPJNQ7I32,425.00
GCJQ26CZQC2KIG3JBOG47HMSVJWDHCI6SOTFRCG4AKVWF34ZHKWOLZGR,42.50
GAXUQSXKTMROYYJC77FJMOUI5JTW5DF7M2WH4QHYRQNVCQ7KRWG6ODIJ,42.50
GCM62TI6LTPJBVHGM3UWJS6EPUHWJQJLXYZNZAOMLNZNHB3RL5ZS2XH2,212.50
GCKMOUQ45XJVDCQGGZGVWKMQF37ZMM2QW32A7QKMEZHV4T7I4TZ2YICQ,2167.50
GCCA3NVGEITLPW2IJMNLVJTMDQJXSKC2T2V7HJCPT6S7CNDH23WDWQXN,2097.95
GDCHBHFONSNROCZPIA2EO3V3VCTKUI33AZ2YMZLPSSCL2IK7ELY6Q47W,935.00
GCP6LBJPADJNQXVDHHCMKE65F5CQOTMOHUO5S4VB5IDF3VWZDT3X5PP7,2125.00
GA5ZU5IR2K76YQO3VV7OV4C56ZYL2TMAMOVRAKFDG2YAHTCAJAVRDKJS,2854.79
GBDUZYX35SPOA6U73YZVJNBLJJQSPGXFLKU6CVV5HHQC25P5YAG6JVNN,1027.73
GB64AH4UMH5HAIE2NPRXZLSCRJPWPR5XL44FLTPGXEY5NPER4SQDDW7J,42.50
GDM75W64BRW4YR5YSHXPDOAE3L3PLKOJNJIRHA4KSDAX5BHA2FUONDDT,42.50
GADUWSWEDBJB6TFBTUFPHUJWB4N7BHW7LUUGNX7HEZV7GLZYGUEGE3BO,2040.85
GDYUB7D6DEJE67JIHQHUYB2M35AALGDAGD2XTOHEMNUMYU6GC3ME6F2Q,2626.41
GDPZIYKSPMF3NPRUPNY3SNTJ75ODSSA65VI5M33TL2L4UEMZYMN5JXFA,385.87
GBC423MJYE4WTDGA2DVSTKQ5R6CREMDFUBOA7QXKMLKZZAFGJWFNRIQ4,212.50
GA26G2U2U72TD3MLCWWQBM3BYWDZN53JJUL5M7NHP7EOXHECLH6EUZ5Y,613.46
GDGRCCFFJTJXGQH7S5EXIEC4R36U5BVNEWR5UQPEJGXAPUCI4N6CZXFM,3401.97
GBUMLGHYCPDUYLDZR6PTE5F4NUJLJIHF4YUHCCXHMW4V47HYZBUSVPLX,2939.79
GCJOMNUQKUOBZWD3ZCCK47TXD7VT74P2YJDT42U425S5R5PQT7Y7VJLT,425.00
