address,amount
0x45291103Ee841992f23031f305d66ADccdFb486D,2.83
0xef6103de90208f3dface661eadb120cf8075f9d2,0.6375
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2.9750
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,3.1875
0xdc61e516d02204e27509fc8cbb135da2439a3967,2.9750
0x52332ec46bbd2d600dc00825583576b9483eaae9,2.5500
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,3.6125
0x542825ff7372a297dbac8570370bae9a05fcde28,0.6375
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,0.6375
0x7a52f357732da1265067120d3de0795be1ee1bc7,2.9750
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,2.9750
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,1.0625
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,3.6125
0xfb40932271fc9db9dbf048e80697e2da4aa57250,0.8500
0x23d344a3fe9450753324523425eac8bb6754eb8e,2.3375
0xe20254111032f19fff333fc59faf2b0d4dd79d41,2.3375
0xd586faa55f787518b0feeff12788f40ca7d01f74,0.6375
0x13b50cc2fd78e6692c0acfd49bae9ff37ef094e6,0.6375
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,0.6375
0xfb5959e3f9401033273ce1009099df6f0f972030,4.8875
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,0.6375
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,0.8500
0x47227de01e55ff9db11b8c193c0de3f216d52ddc,1.7000
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,2.9750
0x6d8777484fadc0a0790b00a8787275346c003745,0.6375
0xce99e81912fee351b1058e822b1aa41745aa55f5,2.5500
0xbb287b63978370776321e2280bf072b4b8a59f90,4.2500
0x2923e92f5eba96dd750367ac9327c34a6b19e0db,0.4250
0x972978353e8054e4cff24dd7348ea2b2ec768d55,0.8500
0x14c78df591cc60d8a0b5d5f62593523456ad6c18,2.1250
0xe8a718296edcd56132a2de6045965ddda8f7176b,0.6375
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,2.9750
0xbb9206be2ced850b7bb0632097ec7a82e246bf88,0.6375
0xcff253930778f3cfc606a79565b46a79b215f7e4,2.5500
0xad78b4fcce8498108234a4af9d5b348328bf55f2,0.6375
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,2.9750
0x4ed7b18310130ed390f7d436ac66be1509e11e07,2.9750
0xedcaa27960bd503ef68651c32922a567e87a3607,0.6375
0x551ec9b5d484ec5407edc4731060b980a8839ac7,2.9750
0x08e5ee59db9bbeaa060134ccacb561691d60aed3,0.6375
0x8a15e42672c1161479939ec6c1299ab1e481055f,3.4000
0xb2aff004457681a286748e331f13dc57728d7ddf,0.8500
0x8f96f00b06f8cb309cde4fb82f6cd562bc473833,3.8250
0x098e414537a78c322c7ffbb66068e3411b4b981a,1.2750
0x004d9c456b5a8f3ad9ff1f524e416663040c995a,1.4875
0x9f33f80cdcce696629164c5e0bdbc978c46ac951,2.9750
0x9c0ff565272cef43253b46ed7d67bb402466a01c,2.9750
0x726356cf0ed11183a093d5c454deb6f9543831f7,3.6125
0xb6729a4406df3be0239e3f7def85370c8963403d,2.9750
0x79540877dd50db2d120f2c4bc3049f6bacd27783,3.8250
0xd4743d70669ca8bd40998e651ade5cb119c1280b,1.7000
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,3.6125
0xa73fa2565c18218ac6510c8cd3b220f5794f3b84,0.7125
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,2.9750
0x76f6dffe322e1dd689a924acfcebe530ff8b5868,2.9750
0x46c21baddca835f4c6c51fd3a20eef2904f6836b,0.6375
0x33c368fe3f02f3dbbb45a9777741d4955daa33fd,2.9750
0x17bf34a8ec5d087480de409986b95277b3f1ebe7,0.8500
0xd193466c05aae45f1c341447e8ee95bdbea8297e,0.6375
0x3d37dc6cfd4e64dbb772557fb02e468eb948dd19,0.6375
0x73ddb14abf93ec0fa0e9d55df0f14ed4a7228dbf,0.4750
0x9f5cfdb271da1100df86caa10243f3120ba4c6d9,0.8500
0xfbede12ee9f4f58ac0d47ec2fab53d8771c9c71a,3.8250
0x9a8bc9c6d9698471e284bfe2fdaed484d16bee5b,2.9750
0x15c3c2b63b098a31a4a50e27ace26dbc0f9fe3f4,2.1250
0x1c9ba78575a468df6e90fc98b263c0cdfad2d430,4.2500
0x2677fc9aa7e3734a6e8619fa238e09356e06c6f6,1.7000
0xc39a66d503fe0e9955521a3acf6a7dd67cc5906a,2.5500
0x14b51dbaeb36bab0465fb45cfca569eb41802735,0.6375
0x58dc347e960eb2ea2cf9d7ef865ad655121c8930,0.6375
0x3164f60c608e30ad8bc8d0179eaa3a8289145740,0.4250
0xc0f98e28e7f479aeb86f29d27621091144e90291,0.8500
0x200ba9a73fb40d4bd4fd7ebcbdf2ca888a385fef,3.4000
0xab868ac6da9172531df31afd181c9623de5831b4,0.6375
0x880b880ab9bbe19a80c2bf65155ea51290b5444f,4.2500
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,4.2500
0x5d6ea86334d8cf9ecbc2adf1ca837d4e6fd2f031,4.2500
0x35c6a7e6fb58017a6d90e16ac6620ce3e849a08b,1.0625
0x11e3ddd9922b0d4b8b2da958125b29b518ee8e1b,0.8500
0x32b757621a286104fa0b045ebf2ebd34b495a5be,0.6375
0x46856891dd8b6331e783559022e3f721bd06afb6,4.2500
0x7cea6612d62d82f9558355133e9a648f09234d1c,4.0375
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,4.2500
0x1430d679b872a94dab5e4e0f1049675e471cd02e,1.2750
0xced8389398510bfbc25e6d2c7a44afe06d3a158a,0.7125
0x7d334d22f5bcded7ac7219ec537c7d5448bd1e4c,2.1250
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,4.0375
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,2.9750
0x87f94e1fda93758a4523f53e76f04117500e4464,0.4250
0x9a5902bfa254f67a5e46fb92112a9e38247f2999,0.6375
0x7b11897546936824ce912cc6002129c8137f1b43,3.4000
0xc70fdce789d59d3edba8c3efb5da283ff2f54eaf,4.0375
0xc05ef673dfbb15b0e02f58971b2dd9088b43fe99,0.4250
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,0.9500
0x3bd568cfbd2d4e16017570fac8816da10a31fc79,2.5500
0xe41295b7fc46fd3dfc4b16e0846db63dd290a962,0.8500
0x68e9496f98652a2fcfca5a81b44a03d177567844,0.8500
0xa5254e3e5c3dec8ee1e3fc983716b17139b3cf55,1.2750
0x494f205fd1a250888c714d99b48db56bde9881ab,0.8500
0x59e45131e64bf57e71fe8c86421664337f28e9ab,3.4000
0x2fb8fbdfda724931525f96cace0d435d8cd9c4a0,0.8500
0x24aaf3a6d56915931f6c1d16b9d6340b37a8d986,2.9750
0xbaeeb7333db39a363474f912cf630e65f72f7155,0.8500
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,3.4000
0xa50482f0a7bda371b3f3e887cd5d35d6c20b82c0,2.9750
0xd27c855be090e331b8ebe50197d54ea7b615f413,2.9750
0x7d33d403fea03505a76f1e06ec9b36e36ca390bf,0.6375
0xff51e940d457387a7acf5aecfb04e1e33f69e869,0.6375
0x7d6b8819851ef3cef84c1c2945880610ee68c078,2.9750
0x44d7fd3d7496ac4bb9447947a10c33358519c988,0.6375
0x2c11464dca0149a64516dc1986d1c4a2058782e5,1.2750
0x220644283403e90109840b548b784f4b6ff398eb,0.6375
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,4.2500
0x78b033d78091775a802345b7b301dad45fc37de7,2.9750
0xac0cc42e99a1ed5f3e80e0e3aea4ec53c77cbf27,0.6375
0x60acb441be7fb967e40072b8f3492586c3b32bbe,3.1875
0x81a6865c1fe14de669af737e1efc329e44d6c6fa,0.8500
0x33823986a5c7892298bd794d4cee5f77e7676b38,3.8250
0x1ffcd7c539dd7ca862e12e6ca1f4e5cdd7f7c944,0.6375
