address,amount
0xcbb095581afb4bf89c01bb01e6cf698fd3600659,470.9
0x63e73058e65ba0fe3f925d2948988782d2617ab2,470.9
0xeb50aa72db4857ed6e4270bab05cc97f08906aed,470.9
0x1606508b460b5f932cae7be4446563b6865bc34a,470.9
0x2249974d3f501f731ba8b2ab64800c8af80f3489,470.9
0x56db32b4cab162aabd057a852ba616b017a79790,470.9
0x0ae72609b7b6269bb1a289761120d490150b04a3,470.9
0xad7c14184dcbff3ca3b3340b3acf9f8eb5fd07bc,470.9
0x34045c937742c8ad6222a10eb21c7cfff8bf870e,470.9
0x522161fc2070c425c4253a5cd1f4dcc5da57f0d9,470.9
0x2fb8fbdfda724931525f96cace0d435d8cd9c4a0,470.9
0xdac1cf9297125413358b6e58e82ea966ec1549fb,470.9
0xe1475e1665d9588f76058aba06ed862c390751e7,470.9
0xd27c855be090e331b8ebe50197d54ea7b615f413,470.9
0xfcd9b8af4dc3921ac4296ee8d91d3b9f26323986,470.9
0x0b36256143261f6cc826ab9578e0c510c602987a,470.9
0x44d7fd3d7496ac4bb9447947a10c33358519c988,470.9
0xe4fdfbed1fd241883fb2a19f65aa0fddecab8702,470.9
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,470.9
0xf2b6623fecb00d42a6da8ef2a772a4bcbf99e38d,470.9
0xc554ac1e958c842e88ce2b3a0ade1b1b126995a0,470.9
0x2249974d3f501f731ba8b2ab64800c8af80f3489,18471
0xad7c14184dcbff3ca3b3340b3acf9f8eb5fd07bc,18471
0x343a5c0d966e3f8ea004efb8939c7d71a60ae795,18471
0xe1dff72b704ee6a0d3f447747006597612034076,18471
