address,amount
0xaa6d995fe028fae955133b7416fb8ba22c8e6018,2.65
0x42c50596681a2b52d7bddd60a77683162c2a3087,2.65
0x2176aae23d3439bea98bfce93e156784e8d094d8,114.21
0x737e5f0fbbafa9b98eb0251e9293c51221bb97c7,26.56
0x8fbc85230ba297f2ccbe572c320ec6c23e570c56,2.65
0x49be3a42a970f10ed294934b0422ddd7f2501e1c,2.65
0x16064bc98e8fc2a2929942cf4f35970600a45566,2.65
0x03c041db905e0f8de0b7ecabb92c775e2b8de7ff,119.53
0x34e7d36e683583143d9ce4c1a4afcfb8d21d518b,7.96
0xf3ca6ed911ae6375e0c025f0a73f1cef024e3ec3,10.62
0xea9c21c3aeffa36a6e5a6bff7420ba2fdb0e7bd7,2.65
0xf964b013c1e96061ae29a601472a45bfe46fcb39,5.31
0xca735a4ad5eecbd4e154faa01bc990c306e6979b,108.90
0xc0243063a510e525ad1afe8e536b980f9525af6a,2.65
0xa9fbff99e9c9001badb9a9fd6a20abcf0d777606,114.21
0x866d89048105f94fce4012a29ba9b87b779f0e7f,108.90
0xe675f71fec8301d327767c91a0c1236dd5e7504d,2.65
0xa97a223cecb2f663c60e5ea0d405d9bc001f70c9,212.50
0x7663750d3bd8f7c404b3dfac39229eca133bbb6d,2.65
0x662534965e3eca816c3399a29d417d9216a3d716,10.62
0x4ab2ffa7a3abe44dd2869f2563f681ca48ade5aa,2.65
0x3d9af9d99156ab061f68bf8a07a2201abc3283bc,2.65
0x059576e052fda76df317771ffdfb6663d1509e04,5.31
0x99a7e1d8d276eab5952fe9c2f8fb6b6995832cd1,2.65
0x6cca74d58d3f9c20d997068ebe8f825bfd9ea5e1,2.65
0x6236598ce6c4e6b67bc1ba2768a909207a4d1751,2.65
0xabd6693048f96af93d5677ad44e84cf62a41c0e1,2.65
0xdf3f65780df8d4b788e3ff2150f996093d12956a,34.53
0xa1968d44405ed17fee3cd0b4944f7d34f8b19c54,37.18
0x34dccfae06202d1167797870679fc1fb9ef7a523,10.62
0xcb429ab8e5aa61d877a5dcee7756e00a3bbc3ce3,2.65
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,83.125
0x1A0b0b5bCBd12dD2A4FaC9AFf3DC43857395f6c2,533.90625
0xAe031c423c52e9eC475fDC92CF73aA3270249702,406.9375
0xbd3764abBdF66a72fc83eD69B48b67040395ab64,223.125
0xE41332a6A7b42383Bc49DcC68AFFFdC662512999,231.625
0x7538Cb85EF86Cfc469eA03a6eeA664477c20fEc0,223.125
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,63.75
0xF1d66A7fa0331784325a9B1F8f8d4a9b02a55308,453.125
