address,amount
0x1d284616f4f6d1f35c0f6db11252529077ade937,188.16875
0xfb7dc25626f7fd4dc61a0ea928e8e9fa40279aa4,2.65625
0x9b9977d825bdb0db5e1e31e897d3839a6aeaa5a6,126.54375
0x4a0d641b14fd60614ed8b9af2972d0d19da91f1a,2.65625
0x7a4e70ef56151972330e94f87dad4e29e8bd4675,2.65625
0x2bfbea421018a8b0174d843503f67b28a8599d43,31.875
0x71eb26d839ddfb6667e16e2fe8c65737a9e619c0,79.6875
0x88b8135796bdc2d807f034e0633222da17f6b151,21.25
0x818255104e6453a48816cf81f8e9c8ce5055f7a9,29.21875
0x60acb441be7fb967e40072b8f3492586c3b32bbe,29.21875
0x81a6865c1fe14de669af737e1efc329e44d6c6fa,69.0625
0x0e8576b2d04dc454424af890aaf388c2f6984e67,18.59375
0x86628f5c3d6321176199cd5df9506f126fe9fe5a,53.125
0x8b319ce60c359a1482b03644d530faa4b9706102,31.875
0x2873179c727b6ceb6379c8d1fd441af977efeb12,5.3125
0x27da4777b9a62598a973c5c4d593accac31718ab,2.65625
0x137ceb7e3e8b719a55c73cde4d4048613c81e587,23.75
0xbada003839ad79067d6c860334c5dcd8add1ef69,23.90625
0x145f23b0ec4049e3eb8b50d14c8da24b479134fe,26.5625
0x5bd5d826e4275a2180e8c5fa3c80a66ca461a375,2.65625
0x25e6090806d7e9e1a22ad7ee0513915b699273e5,24.65
