address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,42.5
0x1e973341166e98072f7e560cc2fc832cb5353697,212.5
0x7241c18533acf5f786c5a0b5f9c2c370620c5c6f,2.65625
0xc411161a8b24eddc670a0064faf2d88a64d73d91,2.65625
0xdeb17a18c8fe6bb8d2b845f9d2ace6dc4c9fd7f1,106.25
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,8.90625
0xa0ed53f726f9374275287e57144317764eafef54,5.3125
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,29.6875
0xe044684384431c994f587afb8d552c8a0877a945,19.3375
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,7.96875
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,2.65625
0x36e729b3107762e51dde266e11803dca28bef030,2.65625
0xa981e5da41492afa1a22151ab19789c310cdae21,2.65625
0xe1694c327d6bc1974491ef2d3f5706afb90670fa,37.1875
0x70b02d35d731bb8db768053e1f40c3036afdfaba,2.65625
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,23.90625
0x8d203aa15ac7ff8950b4cadc7c91fc1ea9fd1c60,2.65625
0x3f67688ebf07286f03eea4594b365baf63d4f00c,26.5625
0xc701389c0a8738c8e81fb06ebb1732206ef3183d,5.3125
0x0b33725a9ab440aece0a4c9cc3113fefbc332b5e,13.28125
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,49.5125
0x590cb961aff1c2fa489467e81af2bb08b802a402,42.5
0xd61eac6ebc46c514050e2b957ecd9e020d9d3d5a,2.65625
0x52d0fc347560cc997f87984200f4a9344ecdc597,2.65625
0xfa65e65a6321c37486972d71b3f50400bd43f974,2.65625
0x5edec45f90dfd686665b4126e1425758edf6ea9f,2.65625
0xb94bb90dc822405481cfb083da7f9c194fd90a30,63.75
0x5d9f2e17d432844d52673530a0aa8e349e211cee,18.59375
0x52332ec46bbd2d600dc00825583576b9483eaae9,2.65625
0x28b460e553ce81ea5ea5407ece30bba3903af23d,160.3125
0x081979b27b6622c5cf4327b51b057c470413705d,7.96875
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,13.28125
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,38.59375
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,26.5625
0x3ba654f6324b972ca042d785eb66997355411785,53.125
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,5.3125
0xbaddc83e3c4d7ccfc1d7559696054afeaa13d7c4,2.65625
0x048054f6e13bb29c6453a12337999faaf8ebd72f,26.71875
0xdfdef59b9c42bf2f48c249ace22eb169b0d308ea,2.65625
0x1eeb61e3dc7b86c00a3636c3366b4131caea040f,13.06875
0xbf5dd50ecce6104a6f9587ef17237aa22a1bdfdb,2.65625
0x64d6e0774917bcc18bba2b3051283aad4e20afea,389.5125
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,2.65625
0x8062e69af89430d0749697cede9614cda80325e0,9.45625
0x7bb46174b467a4db28eebf4ae0642400b2689d40,13.28125
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,69.0625
0x09a48427a3063cd57d00c2c62f78b08aee654755,2.65625
0x615d5ba85aa09c408501e1519bf18a0e72092c86,2.65625
0x8eefae59353a1787a62e8db7c9679d974ebddf14,2.65625
0x6f1342bff21ac9111bff4ef9fd600a3a31f98aa8,5.3125
0x46ee1a36b2195e22464964fc1bfa4407106b487c,106.25
0x1341c112e5ea249213c73f1c60f2d4ca099926c9,2.65625
0x2fec29742f0ebdcb696c72df67b88d96d9dee3b8,2.65625
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,37.1875
0x9dc9597a419bb3d7c727f57a53a45c39937ee61f,47.8125
0x7624cd50dcbc3df045066ab578188a765324d61e,2.65625
0x329f4435e0f22899b733756c71aa12c1004146b1,64.49375
0xdddf8967d7418d0f05cc99556dbb048e49dc13c2,21.0375
0x066fb187404feee6ee7f6cde21697cea1a89ec23,13.28125
0x8af0225f987122e7ba6438b9579f6ace5a1b58d7,2.65625
0xca70f8da989c70388298ccfa37aeba380c7ef583,2.65625
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,8.7125
0x0243304f3d4d99bc56a1f58e97793bf94e65301a,2.65625
0x7110149be0631a7b99940b6387433dfbdb4700d0,2.65625
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,2.65625
0x363c3116d796ed45871f2855111cafa44788ba0b,90.3125
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,100.9375
0xc941b4bd79886898f93d679facf56d5fe2a43a61,29.21875
0xe9237b25b212a9235b091da148b40deaf4b7363c,5.3125
0x70318c610b8f6307f1a1b3195bd08f3442ad6c7e,2.65625
0xbe14fe7706ff387848d42c9d63ed580f4272f338,2.65625
0x75fb57291d1c90398ed85d37de829f06aacc7587,2.65625
0x7aa6fc0ecec21138a68d4beb6541156be38aa36c,5.3125
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,90.3125
0xc2933176a9be2116721a2681e042111ad22f8266,108.90625
0x9caa391c7adfa5415f3fffdba483f7c20a0ecd8f,2.65625
0x5b66434754659402cd24fb74f84999b33315fa19,159.375
0x2be250612790d1df5ebfea46c2346654cd7a0afa,53.125
0x5e2c20cee241f76d471ff2e1ec014a3bf76b399c,2.65625
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,26.5625
0xf9f2d4643d1dd151fa71a88bb41241b588e7ce5e,57.26875
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,37.1875
0x6c11c151adc437db6b95968997ab8caa0d7188d0,37.1875
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,69.0625
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,13.28125
0x7b370171964beb5a97dd8a24bf35e46287daaef2,2.65625
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,32.65625
0x5c216d7f402b3f41eab91df35732c8994348536f,2.65625
0x75cdb5d1ea94c79d77a8aef3a2c67fef80941fe1,143.4375
0xafa7ad4dc57fe55d98fac246062fd75b0901afff,2.65625
0x60324ce537ae426503e832e174a0deb3db06e330,8.90625
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,2.65625
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,71.71875
0x01d8c2a236d8ee96ced4711a4650fd5433a95d8e,622.09375
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,2.65625
0x47fe1d33cc44133b48709ce5b5dfe87c381a4cd4,82.34375
0xf7fc3d17b899d8e04ff084b44c8854a666dbccce,71.71875
0x8c88ee47c818611f3841e8bbc96b615684afb96b,2.65625
0x0398a9e580cbeb376ea7c52321d6a303e4d575c2,47.8125
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,90.3125
0x5769cb1ed566d63530c10637db1f2f5c8017c982,87.65625
0x4c94a2c3b47c66207f8da083e70ffdf544191dd0,114.21875
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,430.3125
0x79b6c947559cf9865517d78a456ba0ad0350084c,113.2625
0xb9bea0554b3ca76660712d6b525cbfbc101fec1d,2.65625
0x0d2a233ec7a8097baca8959cac17c4339954d25b,13.28125
0x4e2c3ef488a49d973c15e5bc4bbacea896fcd747,162.03125
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,90.3125
0x8c9fb695c3336ed9507d738d7b229c34c29a84ff,2.65625
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,17.8125
0xeae66818cc2d0e09b1bb557121aed10d635f3013,2.65625
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,2.65625
0x6eF22CaA22d08D09082fFAFFa3cD051296a78a17,945.7284375
