address,amount
0x09b97e045bb76bf33525dcbebfc401745ea9e020,20
0x7a0adb8d368e44e0efaf479ee9c8d962816490b0,10
0xecd54be30cda9ca1f2dbd18e1ffb2331cd534e92,20
0x2d5d79e54986dcaccaa1e79c0f9a37e78e8c7dbd,10
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,30
0x590cb961aff1c2fa489467e81af2bb08b802a402,30
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,20
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,10
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,30
0x4a55a0bb2008552cb4efb0f14d5d23565c77cd95,20
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,20
0x329f4435e0f22899b733756c71aa12c1004146b1,30
0x066fb187404feee6ee7f6cde21697cea1a89ec23,20
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,20
0x363c3116d796ed45871f2855111cafa44788ba0b,40
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,10
0xc2933176a9be2116721a2681e042111ad22f8266,20
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,40
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,30
0x4647191eea8e075443e1a3aeb51a35603a3dbf29,10
0xd78576e1f671d1add3545b7ccf85f808a03a34de,20
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,10
0xbe3259a615284a34271de569c43540afe8d8a731,20
0xb9bea0554b3ca76660712d6b525cbfbc101fec1d,10
0x8417ba4ae10899c74000dd0de87ba83b52d929ab,20
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,20
0x85488513dcc04565b30e711bbb876f9ef9152e82,10
0xd5950ad9501e3afacdb1f570f1a6d35b67a21f4f,10
0xd77ecb82aba7f0ddf2041d052cad309e0a599e16,20
0xdf7d8e7f0556820593aba352fa860fe8711f0c9f,20
0x902a559e7512a541b5137f447dd7a43857c40695,10
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,30
0x6824761cfc26ede8c56f56521d61b8b566b3de5b,10
0x7fd3ada068ec8f213f6c7efcd060b31eebe4c3cf,20
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,20
0xad8eae37db38b716be099fd74556e9c61c9699c9,20
0xc61a5372666267eef5a2d59789c9b1eb1a0565a6,10
0xf68cd0faf47d562a762cd65f6a72cf1da1cc1c1e,20
0x9a7032e4518d12b296d8ab1efb6b44098de890f6,20
0x248994471594c56f844335907f46f9a03e5df54e,10
0x37ef79efaeb515efc1fecca00d998ded73092141,40
0x9fde84a9cb566ca48429848c3ad8d695d0540254,20
0xef4491e9047c039eba2c82d1389e14a184352b78,20
0xd1418cebf07eba8123b6e75eab710554a1367ef0,10
0x3628960a43d7341a7dd3427058b76da1265fb649,10
0xbd250c4a15692118e017709b80ddf5ed037899f6,20
0xe35bcdd3984d62520f30141bd5f436a0e8b26c4d,10
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,20
0xceccde1c3e7517bc66fc9518b0e5e939520ddcd1,20
0xf71754daaaf2d74291362a101cc0ff5b53bfaedc,20
0xbdf0c6d0721428da6ca74a1727c54122497caf65,20
0x1539483142c4e960263d1c1db9791bf17ed67a34,30
0x13707522372ce29decb5a10b73a4bc8dfbe758f4,10
0xa0685bf25491b0bce86049c1adf65b77f4b98e0d,10
0x7e27407c8f26b9bb9a32d73524bd0124a5702128,20
0xbdfd4f31c55ccb866ab6ff9ed2863f1a4ceac8d6,10
0x988236e5a0a27c62124d131c2b8de67189532100,20
0x261ba726668e15b002271ed672548ef1b9dd96ee,20
0xf86426b09cc1cd4dcd0f687327de8bfe6151fb12,20
0x7049d10d42847397b0e52408f8f8c6c23f619b47,50
0x972978353e8054e4cff24dd7348ea2b2ec768d55,20
0x26a74e056eb4e3607792dcd87070e468878d14e9,10
0x923128bd45ffabc7f1606c48dbb2d7248d1224b1,10
0x99b221efb68ee3351a546870997f0e0178e43bc3,20
0x6aa6a776bffb55adf6e05f205de8923b639da173,10
0xa29245f2b6df1de1330dee55a0fe17704c07e17d,10
0x8308223f29964f5a76cc1bc920e93143c3332695,20
0x092e0baa2047010fb279e40b3a2a34a31b2ddbbd,20
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,10
0x942b6e0ff58cf04f51078d7ed7d96b0d9f585d31,20
0xa39df82b607abf79652e5fa6aba691cd7e129535,20
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,20
0x9c8e57b23654b1903ac7253c9defc219db31f64f,20
0xcab1e42a27a0c1ab16c7e2d366b572f31e3adc9c,20
0x2d4d80fbf80b38a229ac6f70ad09f0a5e84b57c4,10
0x941647c19a43ba7f133d3d9855d85028ee5141cb,20
0x41cc54a6e8ccf33789698c9ea08d7cd16a1952e5,10
0xb1e302b3a3b0de2173c1a1c2de19d2868b7c446d,10
0x774270df6df960b0582b35dcd44f34c804dd192f,20
0x1ff67ced24baecf9025f98206747736e2f69fd20,10
0xc29490f69fd2c2f8df1bced7db5bc95d3010ac04,20
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,30
0xee0b6b7047fd4aaf23e66cffd5261f3a7fb4ab29,20
0x821101f0704cedf3a32194fddd1a9c401495d59b,20
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,20
0x718fec11503c8c03845fbde1abb7947cd3208d09,20
0xb1d1e2ca111550ee7b5261e47092ce094edd2986,20
0xba1e1627cf98228f93fdd4e862e0a07810e4bb92,20
0x01a54f876eada32a14a028950ca4a5a7f6f93627,20
0xc6a265dfde65d5cab98375e75c5881354cd6566f,40
0x6c11a71d1c4d5ac70181185f9babcb99ffd2e2a0,20
0xbbcd2921e31295f2a6e191440697064a67d8953b,20
0xe3e7c6e43f31e55f6c8c3c50e7832d47550f42d5,10
0x435baaaee9a310ec92a58cbca371a4cdea56f6d8,10
0xef1c6d6ae70e48030b0a0b0d97346105e94d41f7,20
0xd67bea641952c1e920c122108bde1d36e1c9d388,10
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,20
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,20
0xb426dcf08ecfb5316e72708554b5b1b1c0c447e2,10
0x09d6972ba03c874aef39db5cec4a6e0a248fac7c,10
0x97c2a37804f8368f344abd76e37f357942c79cc1,20
0xd7fbd3388ad58e183229f9328c7acfbe7dda1001,20
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,30
0x361742b71a4d18285560ce105d131c39ba3cf4c7,20
0x471f97a4729bba55393487e8e8ad71a3b640483e,10
0x37cf41a0a641d47d9cc4c45f3b1818903d3510e5,10
0x404935e6b798f82ef4e4c0c7d435a5e75c4618d6,10
0xc96f70172d16326395525e154c7c868f98e00e5c,10
0x87379c15810e77502e436ab8f06794cc662d39a5,20
0xd576b29870a145dde8b2b39a4531626b8d76f42f,30
0x532a157b6e88551b6e668fc874dc204064511b64,20
0x3ba6f6e1561eb6b2d7a833b82cc4d0c4065d71c7,20
0x3898da2d8aa1790d72c8885333af279aacf88e7b,10
0x1fa7690c8d71c7885779c4b3ffc6a6533dd089e4,10
0xc1532b2b6067ec4f8a9008ebbdbaea4048f2f18c,20
0x8460b752d49de926c8c623b4a836eb7bd402930c,20
0xed17d4f0d0a75da9069af6ba5986b9203e655560,20
0x78f6286ad8405c4251d404245a080df0b63ddbea,20
0x76b3026a49da56f4593559f60336909b99ee2a23,10
0xcf7be6fd41f1e6cbd1ecd39c1f2ea442320e4ef3,20
0xc2362bbcdd85c0214f17fc79fa4bc83fd15ebdfa,20
0xf49545d736a8bd0c2856c1d7f523f1c24b849acc,20
0x86aabcd459587bc1a347ae1e2d15223856354ec9,20
0x18f03838261debae2ed9b4119a70f8ef0ace4a3d,20
0xca7b74cf4b1b004dc23541b5d68083fd8c9016a2,20
0x6eeae31935f02d1be7fb9ed7f9d4f58d57c601a5,20
0xb9998b5c1c442cdcef967874f1e5c5d5dac57c47,20
0xdf47c64232c16ef4cc4b43987b84437839d2a51f,20
0xa970fe7163a53e37f62a36d50b5b22eeaa849c2a,10
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,20
0xb89bfe33458c2b739e4e7eee87d29db3199cc33d,20
0x4658d5e66f9cb8e02c6c1d90b104b17e100db51d,10
0x845b4b32a3572dea79ab456150ab268e1145790f,20
0xb79fe3fd0fe7bd7de93bce93c6a3135a3571ee72,20
0xb5f0851f68b1ab9ec8701cc86a7b9e2f2461ac48,20
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,10
0x9952350cceb40a9729e51c20554667c53413d353,20
0x99693d8341dc52c343a31ce8a926d88dda8494c2,10
0xd1a4ea7f8c4879d59e5f2f70c2d9624af002dccc,20
0x0b7cf19ed5cc26acafe4317cf0e331a004f570fd,10
0x85c1b055ca858ee180b3712617e1d874a296119a,20
0x4603b895d8c12e86be4a0ef84292db7a0e3b24ce,20
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,10
0x4084824bdcf5373249d086ac8441b36c4ab3776f,30
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,20
0x307ec421d5c597e43f27e8e826734f0b7809fc14,20
0x772461ae4847ee00492910a20fa971b09b69844a,20
0x73d9cba9fb38b0be51f4779b72ee853b56f388f0,20
0xc7557805ccbb50f005f2dfb5e595a7303f0a1f05,20
0x9c062fb6187cb591c0ebb26be9a971047e9c0f2f,20
0x9042396d6feaec95ec9dada7dfb9b2c8615f9e72,20
0xade7e113cd57b8a34f9f9fac24e6fe8ead718a7e,20
0xe23c5c33857db798a87ebc50142c43e39b6edf34,10
0x2dae190bdadcfb1c5c68f2001cd756b0f00795fc,20
0xb2a92b4898be5ecae0d62d3792574d327ed7c873,10
