address,amount
0xB0c2534e85791dB968D0A1cDDfAF8c1770A80954,19480.52
0x4b73F6FE40d102C916b561742DBc8a703A21b79b,221311.48
0xc1011bA858049fd1B6802FA81faE7dCD376B46D3,237306.74
0x82549741b162cD906714998422AE4eab9B867C96,15995.26
0x2860B4a5894D1026Ef35E36fdcbdFf3859aB7371,18109.63
0xa08f006e479790003b802cff8d4074d2732c0794,457043.11
0x109B29E94071749Be7F182869b5dad52D169B7C5,4370000.00
0x678Cd73F961BCC9D118037ECb9aA20890021637a,89189.19
0x8f0f1A0D86aa1645534Eba0746275c6176856C8a,261622.01
0x6Fd27eA25FBaFd88A690A74559136C3b1B38F6c6,152636.54
0x93Fa4467eE88839F14324374FEee2Ea75289BB65,246736.33
0xef861497C04D3D2f7b6EAf8A000C558f117e1676,257580.14
0x178C9D1895A748eFdBD6e036D80430cE90ee1FF7,221311.48
0x2860B4a5894D1026Ef35E36fdcbdFf3859aB7371,18109.63
0x2088F9922d15BB78bE38cfE0B40e689BCD7E337E,85000.00
