address,amount
0x2C5aea373097D040b33661F6D0e032f40745FE05,114192.98
0x0034B313e1014F7c3286432625587FdC55720496,78717.20
0xf849F5D18A5735D0670B84C9D0e60618F33e1c95,116043.06
0xc4393098f5F6bF41200B92B6c009eb7C1741cf47,69579.07
0x9d91045e5856Fafa92D5614f002Fc46e9014F847,15995.26
0xa1EE676b376024933bA0430F402E6a746011Dd2F,37061.56
0xA7f8468f64170cD4bB387adc71A4c0D24AC34B97,222104.36
0xDcc3F7F6B485a96DeA2AB445e8ba0304A80390d6,44641.07
0xB1e75F782081F3c5F4d017Bd6714293b0CeF7B56,80330.15
0x8201f153a9eF2d2373b685449EAEaaF6fB1C055A,116556.86
0xb2E85Ee2Be45D7ee9788Af6Fb58bf2DBF493e5B7,267346.61
0x6d3f932D8f0d4C1bb71d2A1EA670fAAB142B8231,454484.01
0xbb06fEC4D68CE5fe5415e3A7881600483905fc74,538169.43
0xC2D432F554eA284692dd7a68aAa04F62CA913f0E,16788.15
0x47609D05b22E81f3BfD5e1B31e0FE66c57D74d2a,15995.26
0xFcdf9C705994583fef914629fc17A704C87E3eCF,19166.82
0x1529e5983235F756BDCde4376878d2b6155E3312,15995.26
0x9710e5Be3ddDe6aF76571624dB865111019F031b,15995.26
0x93DF3c5937902525905f552C659Aad5B1d1B7627,35475.78
0xD24e0D4DbC39eB550a0979031E8a6C3CE7996711,37325.86
0xA07E19922dc189ff537202b8dDdFef19F3E3606c,19480.52
0x04562BC198fa5771D82d5F1517D46F2fEE6aA425,15995.26
0x4cC7f3DB100bE4ca0a0B0eF740425d20772Cadab,641340.58
0xC216Ca9eCBE2Ed61130568620C2e419Bb40FcFE6,29210.08
0x4eb20E7e86e0BD21893225C34F37b9fE6488f64a,216338.25
0xf80CDF0540b4a55B292ee1aA9bBA75aEfe26CaB6,222104.36
0xdfe04095AA18F2cF1494B79F962ABc86D16de71C,221311.48
0x16B708fb536826cCb8CF28B132DE1eCFB17B2D2c,83919.46
0x668eFEF4158c35FBB1b9998c443E904f9e9cED81,36268.67
0xf6d186CBEfE5B400a622483CA2B42B8E0a2FB575,84106.33
0x1AE23507E678b954fada3537fff6273ABe5e00b3,480116.23
0xc272Db8b466fC44b92926a0a7baA385e82CC501B,19480.52
0xFB4E509e34567c7E1562D6F7a37d09e4f494472A,222675.11
0x304FBB936FCdF99B3DDcC782Bc05b28a38556e7D,280488.86
0x230D88F8B07e2EEb3A3ac4A678f80B200CB011EC,35475.78
0x3442c7202D4553E07CAE01193e1C4CE80BFf50a8,25509.93
0xc6A0461bdAEeC231340a223999eB70C60085c00c,47182.25
0x0f04A242e90DAa68efd568062aebF357A01b8fF9,131358.85
0x629DDb995Ef1c93FD6493caF4C85a1649ACC127F,33882.34
0x73f95526114F1CEF2b37D6237F041d52bBDa96A1,44376.78
0x6d2Db86c52Fc13F6ebF6E29106AeB84718FbEBFE,15995.26
0xB6Dd64DBa17B9811885CF73f7E26cF7a5907a550,264962.55
0x018aA59458f8CE03C5C44210a91b3E8b1CDD10bF,15995.26
0xFdDb239d4CBe81ebb50033A837Cb3a9730798134,15995.26
0x2905933f00a5d89F44d3BB6562cADDE936d8C0a1,832768.48
0xE0a336b43C7B616Db02CF1703f1E7D677c2c8D3F,256336.08
0x08B34f1066b844BebA988236B5fa0Af99e275E26,17845.34
0x109B29E94071749Be7F182869b5dad52D169B7C5,1528042.08
0x6bb975f41d42E6f70b8C2299B63F87b0f094bfb8,17845.34
0x59a3564899d1cfcdd5bc86a920c8259750c33945,58385.88
0xA671A9AD7AC98d1918e51f60d2C0dfb4F971dAa8,83440.27
0x4799B71dfe2a09a8E1db77c952B62b7a99b5AACF,15995.26
0xf68cF3F6Bc6d7900B24F303C048814e14f774050,89571.48
0x074750dC783E34e9DaC10caBe2164C7e90688b6f,298979.37
0xb78795AB286562964878Db102FF7BC931430ac49,8108.11
0xB11c150E58A215713bF691b0C0996629F646062D,15995.26
0x87Ba41929CdBBa3E3879f8d3373463C6f26de72B,113971.84
0x3D0505354aACb81F03185ef1c2713ed12Ba3e21e,15995.26
0xF946C2390aE4C51Fe9dD034135fc9b62498ae6BD,43311.93
0x7154b7AAA0D64c9F1840b1629F4c6F0bb4CB896a,154937.79
0x511cbe99104e134739fcf24564bf6845bf35ee0d,114985.87
0xCA2886512FdF00D494CCEbEE29706A5126303e6d,885138.17
0xD87A20080C79eA0bF025DB4D78260E5dc0e31Cc8,276293.00
0x0C646C878367d935fbdAbD4370DED70F221C5E35,478098.73
0xE37747d0b093e7B56a552359ead028350C553C38,38118.74
0x2a224Eb5a70367baF69669c72F0FE74654D2d148,36004.37
0xc3D4d7eF1bAC7fe80B12f388c422Cfa37d3792b1,443861.17
