address,amount
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,1120
0xb7f65d0c4c48f128f56da8c5e15c48278b2bc62a,50
0x4724a07c42474a7ffca149b3f6af608572dcfeb7,2050
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,1150
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,3500
0xaa6d995fe028fae955133b7416fb8ba22c8e6018,50
0x13d2a02530e987f68b9df14aacef417525547410,1150
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,450
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,50
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,3100
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2000
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,4300
0xc334cae02cd1cfa088f04fc74387c3c7d6fb6bfd,3000
0xdff438dc9655355cf68b1346b29c791120abccba,1050
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,3000
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,50
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,6500
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,2870
0xa39f29ea0933c9016994c2a31d10b572b466df0b,1000
0xe7a97a841876c9ec8c38fee297680aacefd121a2,50
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,50
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,3240
0x71123e62201060fc3155af4e4c752ac3659ddeca,100
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,260
0x522a57a9267b6a54dde2f9a89863304cd0391827,5000
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,400
0x7444d31d053ff4c3105497a32973750ca538bcb8,1600
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,150
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,50
0x769ee350b0083d00e0e090ed7679188dd69ab8a2,1000
0x9964a001f3fd643d51244f305f425d2f85e6d06b,560
0xdc61e516d02204e27509fc8cbb135da2439a3967,2150
0x63024c26854517257ff15e58c7b4cf5b4482b026,1000
0xe3829ea06ebe16fd68a0fdfc61464a767bce9447,170
0x107bdb48ac4401be6cbbd7dca364d13184222bae,300
0x103f4523dd640e18bf9975656b5c8c198ab6fda9,1000
0x57863155e9e46c9b8d2422a8aa77435e1ef7fe15,1000
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,1030
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,150
0x9d83c58297b6307a4c62830efe16da9470990f7a,1320
0x3ed13073d328b58feadf2e5ed172b8e647a76cdc,300
0x8d203aa15ac7ff8950b4cadc7c91fc1ea9fd1c60,50
0x827249b18066c2b611762952adec33a5a7779ee6,30
0xc4baa22875102821bd01f572d63679f5f1cd8046,1050
0x0bee04e8ca453e99c343f993a7bb1317b1e2717f,150
0x9b488714b50e3881e00d8456656555826ecb098b,1000
0x34ba228704864d4627b290edf32486d2da367fd1,110
0xffbe71fba4649e93ce88d2dd6bc15fa253ea7b33,700
0xdf225f0720f23e3c2773915ad3182bfc5346a32e,1000
0x5136d9d074a180def91b118d954eb950419ae1ba,50
0x811ed603c229f14224b44f27053a1b024cc5e65d,800
0xcb36f1dc1143750f34497c774314226b829ac3de,700
0xced9d737989f82902a2ad61b66575af23f7345ac,390
0xe7e7a9c2901e05b3314f679c1325d2fa0f68578f,50
