address,amount
0x2b3d820cab9970dcadbbbb667e012b927608d17c,42.50
0xe7f9e7cee863543104033b85af8142803f81daad,3187.86
0xe1a6227856865efd0cb27f7c626fce94892fe004,170.02
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,85.01
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,85.01
0x45291103Ee841992f23031f305d66ADccdFb486D,11393.63
0xb1307c7941b1494e086340b896de9d9fd9d7ae94,3187.86
0x7e0310ba382bbb38b058ac405a16ea4ed91930c8,170.02
0xd8d90f95083b34d136d243bb1adb6c41b9bf8962,3187.86
0xd65ad039fa1041740d19f86816a844d78a6dea2c,3187.86
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,212.52
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,212.52
0x14ad7074ffce47d8ba842ee6b3af8d44c6182119,3187.86
0x7158765bd9208def77e1274a75a600aa886f4db6,42.50
0xa6bc725ba6200805bdfb16d2372b6967ff54bca3,3400.38
0x3db30c630f97f3439de0fbedde29cac81edc3a6a,42.50
0x3e51a700e0b786a35a0bc67691f56b0f07ce7c23,42.50
0x5e914f52c830e817ef4b2b9914c08ee312121d6f,42.50
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,142.52
0x14cf01598ed303240d73365ced552d7fa0314807,212.52
0x7abb5bd20569acd659faa3338b39fed8b6ac7b60,170.02
0x345fde546325162b4b53409c895fbde6af02bf2d,127.51
0x4b9a6192babda524ac6d8a5e4d7095033ca57045,127.51
0x5834d42398bc99eec704412bae021a46905ba335,42504.80
0x2f0d5918af0d12631df3fd45270ac3153c48f38b,3187.86
0x726356cf0ed11183a093d5c454deb6f9543831f7,212.52
0x1ac99bf8e9ae03d7f8dad8153cec12d764baf030,212.52
0x57a901ca3688d505234241d2d6f5a02ab41c0762,85.01
0xea96485322d0b9822a66563cf470d94a9a740efd,3187.86
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,170.02
0xa3a7c3f4416af427cb763d78e92d3ba201392c7e,170.02
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,42.50
0xb7a2e6b50994e51324e3ce6082d25a3644c3202f,85.01
0x71cf5413c0a0525681071726de7c21e5059c2f04,42.50
0x52f6542085d27f6beec09d751d9011ed8c4bf747,42.50
0x475bb623442d19d6b1cb62faad773cf326a23914,127.51
0x147fa5a933674447e430fa73e37d239cda91a0e9,212.52
0x1c9ba78575a468df6e90fc98b263c0cdfad2d430,212.52
0xcefb6d3824ae14bbe7ecf5774222785706b46a40,212.52
0x57c1e94ec10573b9da09ecfd9287a87acb179705,42.50
0xd78bd85e5546302bbe8536dbdde68f61eaadd5e9,42.50
0x85df2ed8296a60867c5a6604d3c41d20fe9fb905,212.52
0x65aa70fc515578410598f3812a18e02c88ba6aa7,212.52
0xa97be0186c016bfe4e4b34b62cb81647194788a0,42.50
0x612e86e40ac3e40a2c0d33808aeb2cc28251b61f,127.51
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,212.52
0xe0a36be0365fc80961eda97db50e9d45bfadf3a3,42.50
0xac1b2469d1b46b6290dcad11b7f0d57bca55e18c,212.52
0x5d6ea86334d8cf9ecbc2adf1ca837d4e6fd2f031,3187.86
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,170.02
0xd110a0298fbdb68b9f3b937b3a04cc65b65559b2,3187.86
0x88d915603905642fe46824b877d0d436b42239c2,42.50
0xe70b8ab9d51e48f05d73823aa692a054c3fbee41,3187.86
0x521905d31bd460b4543a24cab151e90f3bd916b2,127.51
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,212.52
0x9f2eafaad26804af467165058926cbf756c73580,212.52
0x1a69d8a94e179bc59c6a9b263cbd69752ebd066b,85009.61
0xebd9b1eff4f87d2b9f33f307d7686b2b72eb47a3,127.51
0x9c0e8585bc3a195b3943ec4be29705f017aadddc,212.52
0x6c145e536b2344c8908bbdacd89b8c29d6ee3f37,212.52
0x4ee50df9f2af08111eb839cbd131d840d853b124,42.50
0x717fdb68633898d4318a74e9243f5fa69e662389,42.50
0xdb28eedf4924dd6099dd4a2e65da5ecb2ae6890a,85.01
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,170.02
0xe68f0a1a1f9e5676cac9def5a864edc3234a671e,42.50
0xe845308641cf1d612a9a931de8b25d58494bf641,148766.81
0x533d726d09ec59eefb65c86a093c89127b059895,170.02
0xf7c44aed8f560e31f3641131866722064dca437a,170.02
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,212.52
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,85.01
0x1fe14b55bd1109f2a8c9b322eb7b93a14e17b34f,212.52
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,212.52
0x5d490c4a0b5d12c317e24d5198becfa304f72929,212.52
0x8168cdbeb26874b668cc73a15294868ccf6a8d02,42.50
0xeb319f877a1f5a70ab273aad63d0a9da8c36491d,170.02
