address,amount
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,600000
0x522a57a9267b6a54dde2f9a89863304cd0391827,600000
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,600000
0xc64854f770c2c0a36cb9e4504db3f5e44181e3cd,600000
0x8062e69af89430d0749697cede9614cda80325e0,600000
0xc2933176a9be2116721a2681e042111ad22f8266,600000
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,1600000
0x1abf3ca0a7f95fe60f8673a22f91ba82d3f9359c,600000
0xad8eae37db38b716be099fd74556e9c61c9699c9,600000
0x397a412e236e1cdda72d917a7e0d204a515f1c4a,600000
0x83fe5cba8042253603f40a23e0b58316fe188d74,600000
0xd3e4d8afe7b910fd51c7ae85e92ca75fa59be605,1000000
0x372c4d929939fe133b98ed9f56533eac7c73014f,1600000
0x9cbbc3a2d333ed26d5edacdf737434a412375e85,600000
0xceccde1c3e7517bc66fc9518b0e5e939520ddcd1,600000
0x295aca7dda69533ca78410da4fcc5ee2bafd1545,600000
0x26a74e056eb4e3607792dcd87070e468878d14e9,600000
0xb28a184084971ec50366b47305afa103b9753f4b,1000000
0x88db7628f124fb389d96421f48d351e06ea30716,600000
0x247006150e7cb0343165587a1c5df4adb58a1642,1000000
0x74d6e9da87d413d579ea61578615e5387f08a572,600000
0x9879ae1fcdf06912b076d301a301cd5e8da8b629,600000
0x63876585a9f36b1d30551ae457463cdcb4c05af9,600000
0xd9fda530ae9188e75586acd7a6eaf5cde82780de,1000000
0xbaf2f9426521c8b4e955dc9e8f888095dd1322b5,600000
0x668c12bf2abbabcfd0f0f8ac179fa3d4c05c3080,1000000
0x136daab54d4d3ba74fb6391a33e5d29691a40f1d,1000000
0x7622f6d63de5bf942df254d8f604e93810d8a754,600000
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,1200000
0x5738ebd3ad251bbd5eff7e2237eb166b53937402,600000
0x15e09502fa87915c78c28fb974cfc678d4957c24,600000
0x433320ec655a5c8caa811d24006c1ffc80a23b87,600000
0xc48c83b4b6ee992c2105438fd3681d9f098b19d3,600000
0xc7850eb9d8f3fdde9a6ad675733b2abd22446e61,600000
0x2c67ac8d745d61900a6f72bc15f21f96eb3c7014,1000000
0xc238b8957f5f6bc819f71c792183b1dad88bcd84,600000
0xe9929dc51426db46474775561d1351a58714251a,600000
0xd7d68bca30b206dd7a5c2ed0367d8fa708d0f2f7,1000000
0x146e7c9a64d6f1e91e2c3d058354a961181e881d,600000
0x4228c171bc3ac9d2074ca7780e1be3d149bdc73d,600000
0x2b46aa285217418234aa9e9bb108dbf186eb9dd5,2200000
0x0d61ca6c13d90d714d45e44c6e48d65ddf549af7,1000000
0xb7dce1b36b8e57b9c9160cdb9daad16a9935319c,600000
0x35b5676573c398fcf59a90bc2ff817b27ad14e97,1000000
0x9dd55bb2b6869f14e6c8fd40463ff0b8f8fa5a19,600000
0x5936243909E906De3f92E600BdbDA0eCE048B649,1074000
