address,amount
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,86
0x6967f0b127f51afb3493a37823b9e87e4a05a906,86
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,86
0x4fcf8116d11ea928ff07f738c0030236ab97a5ca,86
0x23d5d2223e741206aa0778585dcddcf29852fdb1,86
0x8df5dff804faf108aaf4baf97cc3c1d60a5162d6,86
0x4d4791e9dd3f58d767c3d4c43510a4ed0bab143c,86
0x119a5e7b1ae24c8586865e139ed9a4af6e9e845f,86
0xbe51186e1eb190ac62f373f29763c907f229c7a9,86
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,86
0xb4406ea153eff4bd04e373994c059ef808dfceef,86
0x3e4909ef77f6eb49b2cab7303bf45dd7f264c1e9,86
0xdb3f27b3bc27b33296ba15d46b55ad01cfed8f48,86
0x396ba2eadfec9101f2990977a7de341eca745738,86
0xf2af59a132f4c9a156c0110cc6fc41a372abff5f,86
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,259
0xc8a4e7379168d19d76aefe081714f3605c8dbc9c,86
0x048054f6e13bb29c6453a12337999faaf8ebd72f,86
0xaa74bb44eee371791bae35692ba2011ae65d0571,86
0x7f9286b054853dad8cf8a40e30139f5ce744fd2b,173
0x6c3fa6511e067734d02d3b760bdba24c2817b5b6,86
0x09f213953d92f865b949b3e39b9dcfae687d4966,193
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,173
0xde59dde7c5428ba29c7461338f4a6f45637c792d,173
0x41b5fdbf07dce3d5e44aded2092618b538ae8404,86
0x818c39aaeee8e7e719921829508e033ddd01b3aa,86
0x9565bc6d7943a973e6007e8f908df81e40b3ef8c,86
0x2e51581acd479686d0baf43bedfefa201fe64f08,86
0x30f0f8e95dd0cc51cc68d89e5595de6e03836c29,86
0x5f1d87f0b9752cb2d78124e8de6418905273434a,86
0xf8d69724a982d794c4730c93cbf9e5ee8626e12c,86
0xd354fd7dd6c6e726fd10d1315e6f28c04f248fd1,86
0x6068c54344d1abfeb3f9a131b86e02ec7bb972fa,86
0xcdf55a7118bb2200b91f02fae3f7926d47734ec0,86
0xe35bf75ea338d9849ef8205deff675769b2f0117,86
0x1e3591d186c08fea3e933bc106b4052588e473bd,432
0x67d23446aff47ed9a0eac389cce3ef5f12102edb,173
0xc1893334f7364ae828d3a4a4eed721bf4de357de,86
0xce4b6cf6a1e782482235477fd106c357e5282060,86
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,173
0x888d49283317b12bd79f509e55822b1c3c9b7e7b,86
0x37d372eca094b8cecf6abd0f453478cf9e25a2df,86
0xb405c70c00e5abd264f1879da11680a1ee7ccb78,86
0xfb40932271fc9db9dbf048e80697e2da4aa57250,86
0xd3199ac8623b669fe17e60913950fb7dfb04262b,86
0xc29969b398ff2a42e0280e783b83be3557c38b1e,86
0xc9dc408fef73a7d3bba132f1313ab6a058d06394,432
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,432
0x0db9b985778fb83bd96b4cdc3937dd94cb04c4b3,86
0x55018e937bb8d1d81100ffb737c9985919482169,86
0x8cdea7ae321297903d114fa9956b492172fab550,86
0x4950ea8c999824e7dbe041de55edc29ecea25e47,86
0x5fc4cab922277424a613b585e6c42d6d964771bb,173
