address,amount
0x13d2a02530e987f68b9df14aacef417525547410,1330.00
0x1e4c331d8dc510622f997b55520d877349741256,425.00
0x9cb4f96ea7e45348886ecdda29aa726c7c428f2b,1700.00
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,425.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,570.00
0xa7568a767cc138114341a454dac6e03e2ff968fc,475.00
0xa885c5ced05658736659a7e525dce52975a8d62b,2550.00
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,510.00
0xc98e6da9554eed94ce90a98ec0a2430897180e3e,425.00
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,765.00
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,170.00
0xc4baa22875102821bd01f572d63679f5f1cd8046,680.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,475.00
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,85.00
0x28b460e553ce81ea5ea5407ece30bba3903af23d,665.00
0x17dd155d2e814e2c1c58b1f12fc21889b2816166,1700.00
0x048054f6e13bb29c6453a12337999faaf8ebd72f,950.00
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,1020.00
0x38c271c9fc3a0e244a752b25a31d93a63767d567,850.00
0xb3642c12273dbe50bba5d2df47ead9500c6a0dd2,1785.00
0xa557e8e101ab2cb563ed904871015637d97eae0e,2550.00
0x3bb127d57540e3d2be0bb6ac7425e6219e0aec43,850.00
0xa2dca4ad21fd58e4ecfb4b507cd25c0b3c71dff4,1785.00
0x786e4850cd0c961cc28695c872cfe4ba3f74f150,1190.00
0xa458e89dd8d057308283bd9c4a6ebd596e302287,2550.00
0xdd8804e408a21dc344e2a480dd207dea38f325ce,950.00
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,1700.00
0xc2933176a9be2116721a2681e042111ad22f8266,2550.00
0x5dc259ccfe757591fb51d6ebdcff6696db208086,42.50
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,2550.00
0xe728d9911874adb8e6a56f35e23a3670671a3901,170.00
0xdddfba98691e31ca04c2d7e0ca44d4118639086a,425.00
0x10716aaffd2097228c78fb8a7d844eabc85497f5,1140.00
0x2282ecc111b7acabe470053d4a09472bc07b8d00,1020.00
0x83b22acfb60d31a3a12370bbcc0797c9dc488f6b,425.00
0xe0bd2c9c0ccdbef8fcfe94f85c88efe2a6610dc2,170.00
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,1700.00
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,1700.00
0x23d344a3fe9450753324523425eac8bb6754eb8e,85.00
0xe20254111032f19fff333fc59faf2b0d4dd79d41,170.00
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,850.00
0xd586faa55f787518b0feeff12788f40ca7d01f74,850.00
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,510.00
0xfc124af7754b453dc00b774c26f499cb4bf32b91,425.00
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,2295.00
0x9f77f69848852c1a2fc529d2663b05af30559ad3,850.00
0x5b49e0c97edeac0a5df30b8c12120cedc503ec2a,425.00
