address,amount
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,813.73
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,9769.33
0x13d2a02530e987f68b9df14aacef417525547410,8594.92
0xacfe7a0cacc6a9e9e6b68318f9fe809d3316359a,850.00
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,10094.88
0x2b3d820cab9970dcadbbbb667e012b927608d17c,7812.63
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,348.53
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,5861.60
0x522a57a9267b6a54dde2f9a89863304cd0391827,683.68
0xdc61e516d02204e27509fc8cbb135da2439a3967,7487.08
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,12373.73
0x107bdb48ac4401be6cbbd7dca364d13184222bae,618.52
0x70b02d35d731bb8db768053e1f40c3036afdfaba,585.65
0x9d83c58297b6307a4c62830efe16da9470990f7a,2669.85
0xc4baa22875102821bd01f572d63679f5f1cd8046,5307.97
0x2abaa959113c0f59f9e6071e3182ca9148ebe239,3806.58
0x4a85637987f5874b8eaab3fd288500fd4fe663bb,195.22
0xced9d737989f82902a2ad61b66575af23f7345ac,1367.37
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,4884.67
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,195.22
0xa5135394d563e323e83b5c1b097acdd7a053b40c,6284.05
0x52332ec46bbd2d600dc00825583576b9483eaae9,7910.38
0x27e12c5f1d315a75337190e23fc85d1590156d30,1139.57
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,4884.67
0xe99ec2bfd1293d7df747d086b3a286c6ab2f5220,325.55
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,4884.95
0x048054f6e13bb29c6453a12337999faaf8ebd72f,2442.33
0xc5576e7c082271c761762966c90ac2ab0ee35f25,325.55
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,325.55
0xd894b25119f39aea58d786329619f0f564a99a5a,16283.45
0x2fe2b21e1fd83947baaef67dd4e8716f6882c93a,97.75
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,4884.67
0x38c271c9fc3a0e244a752b25a31d93a63767d567,9604.43
0x21e6606bcbcfe1a4154ef72277e7d138452cb024,325.55
0xd9d33197d42634c6b655975dd688681f4213aa4f,97.75
0xb0f39fe7c3e21000ebabf5709127753cba670293,4884.67
0xbf0c76ee0f726de3174dc40bc2fa39dc6260122e,2800.18
0x329f4435e0f22899b733756c71aa12c1004146b1,3580.48
0x2211deae839844f79d68b384b01fe03e40c5e655,1626.33
0x26be30e807985ac821e752ab8baafb9e24ff5bf8,488.47
0x066fb187404feee6ee7f6cde21697cea1a89ec23,10027.45
0x2434a3896ce832932672e9c0f7c35f0f34e04206,11721.50
0xe4e01e5f6a9c306ad7ebca53beb943cf6b181045,488.47
0xe29f21f462576bb4566f1920eada02a45693c7ea,23769.12
0x786e4850cd0c961cc28695c872cfe4ba3f74f150,6511.00
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,10746.27
0x45291103Ee841992f23031f305d66ADccdFb486D,26886.57
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,26886.57
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,97.75
0x7a52f357732da1265067120d3de0795be1ee1bc7,8170.48
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,651.10
0xc2933176a9be2116721a2681e042111ad22f8266,4884.67
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,325.55
0xccada9ccccd6defaaadcce4885a9763f17f2afe4,3906.60
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,9769.33
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,64.88
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,1788.97
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,4884.67
0x7b370171964beb5a97dd8a24bf35e46287daaef2,325.55
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,4884.67
0x5c216d7f402b3f41eab91df35732c8994348536f,423.30
0x4355834ed1a8c48652afd66e1f535f5aab408932,390.43
0x10716aaffd2097228c78fb8a7d844eabc85497f5,9769.33
0xae670e5249a1550ad31f912d58b595f5d1b74ab0,6511.00
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,4884.95
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,12211.67
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,1737.97
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,715.98
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,7097.22
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,325.27
0x45713cca0f932cd705241c1ef708363155f88a0c,64.88
0x23d344a3fe9450753324523425eac8bb6754eb8e,5991.08
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,423.30
0xe20254111032f19fff333fc59faf2b0d4dd79d41,13121.73
0xd586faa55f787518b0feeff12788f40ca7d01f74,7162.38
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,17094.92
0x3eb4b506a839b33a4e5d8719a4150e478083d550,666.97
0x0829032ba968c222c9442d0d58ad00bc1611ea71,341.13
0x9f77f69848852c1a2fc529d2663b05af30559ad3,10288.40
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,12047.05
0x5bf54a3e37eb1974b64e7257241d6a53faad2354,325.55
0x2249c7eed5cf914d391916e2736774bfb5db4905,4884.95
0xf2f0f4401805f8ad619d20ceb096f61149458abb,4391.67
