address,amount
0x7078943ba34c0064f8e7ea40c368520e002a4575,17
0x5547e93858325b7f1635187246761df3fb7c5ca6,100
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,100
0xdc61e516d02204e27509fc8cbb135da2439a3967,1
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,6
0x491cf7629a2397eb738a120fb13fa44bdbdc0e44,12
0x590cb961aff1c2fa489467e81af2bb08b802a402,11
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,4
0x52332ec46bbd2d600dc00825583576b9483eaae9,1
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,16
0x35700c4a7bd65048f01d6675f09d15771c0facd5,20
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,6
0x73a26e59338d5a0759f31a83e30a54c689fede2c,2
0xe4cd718ac8d48f5e87b045d4bb8a38cce0d0dc9a,5
0x64d6e0774917bcc18bba2b3051283aad4e20afea,4
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,70
0x46ee1a36b2195e22464964fc1bfa4407106b487c,7
0x9cdb491354086ab189dbb17360c33970b7298d3f,2
0xcc755b7a0fc7d21d3001c3e67bd899c97d46b648,100
0x363c3116d796ed45871f2855111cafa44788ba0b,75
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,64
0x9d3afa524b87ba0a3b0907d3df879d4b8f044a73,37
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,78
0xc2933176a9be2116721a2681e042111ad22f8266,120
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,80
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,1
0x313fda29134cfbba6682dfeba13778a871aa588a,66
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,1
0x75cdb5d1ea94c79d77a8aef3a2c67fef80941fe1,462
0xd78576e1f671d1add3545b7ccf85f808a03a34de,17
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,1
0x5e605b73d155634a46e0ab1f02db40aed59c976a,45
0x6296a31f0dda20c389d8e07939f5c534dfc4f89d,2000
0x1f3562fc215f9fca22d4dcd1a7c16a6f1e623f9e,10
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,468
0x4c94a2c3b47c66207f8da083e70ffdf544191dd0,330
0xe038076a4202d0fad0a103beb372d1bc974db55f,16
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,558
0x79b6c947559cf9865517d78a456ba0ad0350084c,1
0xeae66818cc2d0e09b1bb557121aed10d635f3013,1
0x9a849a108764a5ce2ab4cd3208071b304a9ac99a,27
0x36d10badd98b60119c2c240aca947535ef489c4f,6
0xb046c5db96924ca5ac4222b8acd50b427374a24b,11
0x1f5d9f5eb361df32098e623b9c36b36be07a9819,8
0x902a559e7512a541b5137f447dd7a43857c40695,3
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,15
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,56
0xad8eae37db38b716be099fd74556e9c61c9699c9,60
0x09c2daf764d124e4154c61d350cc9a5e841584db,45
0x403e1b01dbedf1ffeec16a43e5e0dd91a74d88cb,2
0x37ef79efaeb515efc1fecca00d998ded73092141,266
0xd3fe56d107667781dcb58a881883172a03fb3b3c,2
0x6c9b488adb261f16cf8ef5b445b7ff3fa31668da,25
0xef4491e9047c039eba2c82d1389e14a184352b78,22
0x7eebe2b7966616d52d7777057b16360960d2e220,48
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,4
0xb380dd81c3abd4b570b29fe728f985266bee751c,1
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,1
0x460afea78a398f78476593d0be4e95fad3795fbe,35
0xbdf0c6d0721428da6ca74a1727c54122497caf65,29
0x68a4cd0f8e9134951109355dd5481cb9c1012aa9,3
0xc04df29424ee49395e962858eb0babd29b2c14e9,25
0xce99e81912fee351b1058e822b1aa41745aa55f5,1
0x831dea9e5d38f4ccd4dc5998e94009f9fb818362,100
0xd6886aa975a7422b576ab379294746934b6f7f76,1
0x06dc0cbf44eed256c5975210095be703504a4541,36
0x47334fb105d755e199dfdcb6d0619a511e44b5af,13
0x7049d10d42847397b0e52408f8f8c6c23f619b47,1401
0x8b9b0d1bc97c7b9101af27150fa43268c109dab1,8
0x20a91b6f1ab28badabef5f80497ffa5ec56bf00a,4
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,7
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,4
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,1
0xec08eec7b51ef562999565d148b636802fb9217a,31
0x13917942d857a1c06b0d56beb6616d3c3780c9f3,4
0x55dcc5fc3fbcc90ea95999c41268d8910c6606bc,12
0x9c8e57b23654b1903ac7253c9defc219db31f64f,62
0x4ed7b18310130ed390f7d436ac66be1509e11e07,14
0x551ec9b5d484ec5407edc4731060b980a8839ac7,1
0x0338b3b0f84e52a00483f5e373a90cb003dd0be6,22
0x1316fb4d258e6e9db929144f2c05fe80d7fd6368,9
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,2
0xb5421eae7fd3164197fa67ef906a7bb597cb0acc,372
0x3e7f0d9032d93603f829497b82151841cd8fe60e,1
0xe857a766811d24843a96ca419ba9491a1ed637ec,33
0x742a34ceefabed24dd43e8f1226769cc4185fff5,1
0xd32b3f6b78229eeab6b97d14d3e241e633270939,8
0x5d9ea9b11d434c0a7e5dba59220700f31230ea6b,3300
0x9c0ff565272cef43253b46ed7d67bb402466a01c,1
0x820e22d6bfa09c270443a58e1a1b4ddc307bf951,4
0x9acf6c165ea78b4150eb41243bef59f287cb51a7,2000
0x9c8cce14b054310420d042059028e2e90a381f22,28
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,10
0xb6729a4406df3be0239e3f7def85370c8963403d,1
0xe2b17b822ac373ed1ed5a0b6f06ff8fa878ed836,1
0x2cc8a2cb8b8261df1b03766e4461a3ee90a916f4,68
0x404935e6b798f82ef4e4c0c7d435a5e75c4618d6,1
0x7f20349795be58ae7461df05a6bbd9df91491a2c,1
0x76f6dffe322e1dd689a924acfcebe530ff8b5868,24
0xd576b29870a145dde8b2b39a4531626b8d76f42f,228
0x87ae9047f7879a229a929ad5ee026a5aada15b3d,16
0xf3d861bd80c3b56af43702224515404cb8908d17,3
0x33c368fe3f02f3dbbb45a9777741d4955daa33fd,1
0x4be0d62fc296136326f1a6bb6e3a543472c41820,2040
0x8a00563e2659c49c51fe696ccf242ab593f9870e,5
0x5a47268615dfe8b6f4fa471ae9b62d0405586786,72
0xc1532b2b6067ec4f8a9008ebbdbaea4048f2f18c,44
0x153e83d38c8bda401254bde703be3ee79cbf4396,6
0x6da832a56df09726ac5e98541109ce6c9c31d4bd,62
0x4e470bedfb9543d67ca40da62795a6179a375595,312
0xcf7be6fd41f1e6cbd1ecd39c1f2ea442320e4ef3,25
0x475bb623442d19d6b1cb62faad773cf326a23914,9
0xd9fda530ae9188e75586acd7a6eaf5cde82780de,15
0x788d246033801babd91033eea09152bce117f426,10
0x6eeae31935f02d1be7fb9ed7f9d4f58d57c601a5,38
0xdbf9ebc6082d62194f3cf99a303da134587e900d,1500
0xa970fe7163a53e37f62a36d50b5b22eeaa849c2a,5
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,40
0xb89bfe33458c2b739e4e7eee87d29db3199cc33d,61
0xb5f0851f68b1ab9ec8701cc86a7b9e2f2461ac48,3
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,13
0x694f01944514e9d598ba5b8e636f8e02dd4b88c8,16
0xb84b3850eabf40264c45ff1a5b5ee3bd64f9983b,10
0x05c3ee3c1a8aea63b0d6a9efeaf5c0e60c4ac3ba,153
0xec15490bedb90b642d44120cfe0781d94b8653e6,2
0x6eb2aabb488d0f360d196551ceac0435d00ccc5e,1
0x55b9492a3201e4fde0ecab8efd9b9fbe6da5bf4d,25
0xaab0224011faa96e4e6fb888b6a954ca8962c431,77
0x6274e4b8a9ff8cf9ce0a6b4a379b93a8efb494a8,6
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,59
0xe589dfb5d6c782eb1781b372de8957f5595ad462,15
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,6
0x772461ae4847ee00492910a20fa971b09b69844a,48
0x7254543573af637aaf19cc4abca46153236c5569,8
0x9c062fb6187cb591c0ebb26be9a971047e9c0f2f,4
0x4fef2a576965aa81a4c4e07139b2f6afced55f05,87
0x343a5c0d966e3f8ea004efb8939c7d71a60ae795,51
0xa0204536df63524882d16c6eb1519687ebebd0c4,20
0xda6ac37aaf4bd41dde0a84c38b27e4764a3f7793,85
0xade7e113cd57b8a34f9f9fac24e6fe8ead718a7e,54
0x168a3d20c057633efcd6ef29abfd4795690fbff0,15
0x93019d42bf00826fb40b5724e4bbc495678c70f4,29
0x5b22816d2324f7c538bf6eaf382a0d2f9003f1f1,3
0xdcbc6a36ef551e8a00f24dd3883c7530efed77ad,35
0xf50a8e11b263bcdc889ab059cd7adb11be2074f4,8
0x3be2326ea436199d051fef1f230b15cd01c4e388,2000
0xebaf22eaaa7d24685afb821d1972605265e31323,32
0x51e4aae33514af854591bc68d0052b670ad54698,30
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,753
0x7bed54d387ad18b98ff09a7428e533dc2adb8734,11
0x82894eee7964cbb7f7233180c668d9886d7252ab,1
0x41a6ea29118bbc191f76d5e898ca7ea331de2c34,20
0xafd77adaa6cfd8480dccc9f2428b20323526700c,2
0x3bd568cfbd2d4e16017570fac8816da10a31fc79,13
0x0d61ca6c13d90d714d45e44c6e48d65ddf549af7,2198
0x5a0f4eaac17c09bf59454f241d69282ac1a35e2c,1
0x494f205fd1a250888c714d99b48db56bde9881ab,15
0x3ba17bb92522b0f2d1ea7dbf413745efafe9632e,548
0x24aaf3a6d56915931f6c1d16b9d6340b37a8d986,16
0xdfe029aa14d7cc4f5340787b9b1b6ffcab967a12,30
