address,amount
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,425
0x561bbbbfc0fb061ee03507334fc178ecdb478d31,510
0x32b757621a286104fa0b045ebf2ebd34b495a5be,722.5
0x27e12c5f1d315a75337190e23fc85d1590156d30,935
0x57800362a0f50d36604a55b360c33635c7a744a1,935
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,1105
0x0b3181786fe6ee88f2d27ee3a9ebd51c1318abfa,1147.5
0x821101f0704cedf3a32194fddd1a9c401495d59b,1445
0x8db196e246de3137d5c02bd2018709b1f3b8e123,1997.5
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,2337.5
0xb989d5b95a4434b77388ea944427ec82adef319a,2422.5
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,2847.5
0x400e2b1817d020094d090feaff754fc49058b173,2932.5
0xac1b2469d1b46b6290dcad11b7f0d57bca55e18c,3060
0xdac1cf9297125413358b6e58e82ea966ec1549fb,3400
0xff51e940d457387a7acf5aecfb04e1e33f69e869,3612.5
0xcfad591ff4b9f2c6e10376128eda7028c6e6535a,3697.5
0x49f47d08ccff91010bfe5978b011c21472b4aee9,3910
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,4512.5
0x2968a9e909946c79c9d9967dc05d22548d06efef,5185
0x87f94e1fda93758a4523f53e76f04117500e4464,5185
0x68e9496f98652a2fcfca5a81b44a03d177567844,5312.5
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,6247.5
0x972978353e8054e4cff24dd7348ea2b2ec768d55,7310
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,8372.5
0x7b11897546936824ce912cc6002129c8137f1b43,9775
0x1db01626210c100f460e372b2f9bbf303dbbe5b5,42.5
0x612e86e40ac3e40a2c0d33808aeb2cc28251b61f,46.75
0xca68fdd7b5ab9d9c2bba2f72f6b45e451f15b8e4,59.5
0x999eaa01cb8c0f468bf1288370752900645e538f,110.5
0x38939e3af5a536672470d8bd4a1f8705f040e21b,110.5
0x7c843cb4f3800348c2c6e39509895d24c4831254,127.5
0x8c3596c8d91db6b11f18d1b8407d092560187a49,161.5
0x13d2a02530e987f68b9df14aacef417525547410,161.5
0x44d7fd3d7496ac4bb9447947a10c33358519c988,212.5
0x2426d96495f0c2a139aac7b1f8ac9bd6266fb67b,246.5
0x471f97a4729bba55393487e8e8ad71a3b640483e,314.5
0x137ceb7e3e8b719a55c73cde4d4048613c81e587,465.5
0x27e12c5f1d315a75337190e23fc85d1590156d30,467.5
0x2b0d59607e3c48c815e26be70a6a756d0f871945,467.5
0x0b3181786fe6ee88f2d27ee3a9ebd51c1318abfa,552.5
0xc5eda879df93e0dbe671b1e4db8f503def7ba06c,561
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,722.5
0x5768a7efcd49d65cd489bc7bb39122c2e550ca3b,875.5
0x68e9496f98652a2fcfca5a81b44a03d177567844,1028.5
0xef1c6d6ae70e48030b0a0b0d97346105e94d41f7,1317.5
0x99aa6af7ae317ea81ce9132c1e94e8ca45392795,1572.5
0xdf65d5d0e5b91d1c56d3ee57c9d2d6de5601f4cf,1742.5
0x590cb961aff1c2fa489467e81af2bb08b802a402,1980.5
0x63488191e2229a61f1f44803ff1e02fcf92fa1c7,1997.5
0x35b5676573c398fcf59a90bc2ff817b27ad14e97,2232.5
0x433320ec655a5c8caa811d24006c1ffc80a23b87,2327.5
0xb2a92b4898be5ecae0d62d3792574d327ed7c873,2082.5
0x5fbd58baf8a396b5709f115e3b694cb5738f5fce,3030.5
0x404935e6b798f82ef4e4c0c7d435a5e75c4618d6,3638.5
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,3695.5
0x04dc948863fe21b097b8752b115a1318a2a1952c,4132.5
0x7c5089f094b4019e39ac03a0fe57505c21809623,3697.5
0xbb3ed2a0eb60eee8c0dbf6d1b74e8b0a21fab056,3697.5
0xf3195d42c7d8297a97451c97530d7b59ab855bb0,3697.5
0x26a74e056eb4e3607792dcd87070e468878d14e9,3782.5
0x7049d10d42847397b0e52408f8f8c6c23f619b47,5185
0x561bbbbfc0fb061ee03507334fc178ecdb478d31,5771.5
0xc941b4bd79886898f93d679facf56d5fe2a43a61,5822.5
0xb7dce1b36b8e57b9c9160cdb9daad16a9935319c,5992.5
0xffb07a20e5e38bf1492651780484620aa868e895,6757.5
0x37e5a6bbf566768307fb5aa20cae095906e205f7,17935
0xd3e4d8afe7b910fd51c7ae85e92ca75fa59be605,29197.5
0x3b14316fd4da78f6b40ea245480bfec8449f2c61,70082.5
