address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,120
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,16
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,120
0xa7568a767cc138114341a454dac6e03e2ff968fc,144
0xc6ab45541006d53d31e25b41c7d245c5ad99bf71,50
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,305
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,240
0x52332ec46bbd2d600dc00825583576b9483eaae9,6
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,120
0x64d6e0774917bcc18bba2b3051283aad4e20afea,150
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,120
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,50
0x7624cd50dcbc3df045066ab578188a765324d61e,152
0x329f4435e0f22899b733756c71aa12c1004146b1,120
0x066fb187404feee6ee7f6cde21697cea1a89ec23,50
0x814e01213eea3e30322995746c89e1bfaa3a38ac,68
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,120
0x5e2c20cee241f76d471ff2e1ec014a3bf76b399c,122
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,17
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,120
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,120
0xa2b4be559db08800b988932b88b27d026bb8aa30,120
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,120
0xef39460c379407888a0d7eefc17a8930a5ebee18,150
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,122
0x4b3be748c7e6eb66e62edc3905522ec63fcf9c67,164
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,138
0xedaf1a6f518a5554697ffa8481dcbada1cbaaf26,8
0x5bef45489a03462d199612c5cd992f114f398ea8,400
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,100
0x0dbddae8ba17f005eed7bde70caeca5f7194895d,50
0x549b9489ca6146e4143b069ea6292905d411e325,8
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,10
0x5a398d52f412d97ac5852fa327ccd425737d3633,120
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,36
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,46
0x37ef79efaeb515efc1fecca00d998ded73092141,120
0xef4491e9047c039eba2c82d1389e14a184352b78,120
0xa3a5df7a23a2d17dc5fde6bba4f1f4a62a7b156b,212
0x22a291ca29dd1e854eaab9bd3dfb5322d39ed9da,41
0x97d3890c40b09bdf86f74de4c87411c454e81868,8
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,289
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,6
0x21e70fee23868b5c84e3cfa093990ccc1eb5d02f,6
0x295aca7dda69533ca78410da4fcc5ee2bafd1545,56
0xce99e81912fee351b1058e822b1aa41745aa55f5,6
0x05ca3e948b36db4e9d26b8f8f7273759437eba7e,16
0xc38e638025e22a046c7fce29e56f628906f9d040,384
0x8acd65afacd8f326f65479515f7e015dfa04d904,50
0x8b9b0d1bc97c7b9101af27150fa43268c109dab1,100
0x562b29a342b7bc75887f7fdfecef0ee528dc4111,222
0xe1b8f05cb08f23f8143eff88a980249fe1d8ed86,3170
0x5696f797c5d61aef743cf4c876fac361e2b69601,97
0xf5f27a5a4b47b9b1d165f1f2b0edfb8896f59391,17
0x970b359b647b311e22733a0abca43a4299dc7c8c,120
0x942b6e0ff58cf04f51078d7ed7d96b0d9f585d31,39
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,6
0x514e373522587814d9400d7179245256dc9f3b0d,40
0x7df618c193bffd172b2194a0b66f1c726f069d1e,48
0x551ec9b5d484ec5407edc4731060b980a8839ac7,6
0x24a5721c67c3803a97fccc55f1433ffd462de5bb,152
0xdf7deabfb7bdbc5b71e42e3ebbdd7cf2b07c273d,120
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,714
0x77313d02f74bc4ee5fb5d1127d56cbfd071b2485,270
0xf7c2c7e5e14b381e810d87f87638432c3f1393ec,80
0x65a5b7ecd90044a9a325c2cd6cce6d3241a3c2c6,8
0x821101f0704cedf3a32194fddd1a9c401495d59b,120
0x8b4c31f0f123725f89700ca5bf4c8fa00453514b,10
0x742a34ceefabed24dd43e8f1226769cc4185fff5,6
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,120
