address,amount
0x28f85e4d52979103e6d9dabd25cbe0bf54c1234f,2888.81
0x7241c18533acf5f786c5a0b5f9c2c370620c5c6f,240.73
0x7078943ba34c0064f8e7ea40c368520e002a4575,3626.01
0x6f6b9a91a78c2e23ea086e45a53111ffa61195ad,1218.67
0xc5291f7c8a44ca0198028f9739916d230edf747b,48.15
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,96.29
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,1218.67
0x380a5234ec8a93be1d91fb9301d46ce53949602d,13553.53
0x2b3d820cab9970dcadbbbb667e012b927608d17c,16036.30
0x5ac80a5ae8cdd0b28f82fc004fff502ce1287b8b,1355.35
0x4f0b06adf758b8022ff80dcbeaa5523205fd690e,1218.67
0x78659d49ec5a08beecff7304f818da68c7b50c90,11314.49
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,1218.67
0xdef3bc8f3d8765c06c1c32da27ab8a1c6efa11f2,1218.67
0xdc61e516d02204e27509fc8cbb135da2439a3967,6408.84
0x63024c26854517257ff15e58c7b4cf5b4482b026,2768.44
0xa92a40457e419c5ec245a646da09112cdcc6cfb6,1218.67
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,2326.05
0x2d5d79e54986dcaccaa1e79c0f9a37e78e8c7dbd,1218.67
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,12264.60
0xb4c91ab467c137e9d7c18e2a349b2f8555e95754,4935.04
0x491cf7629a2397eb738a120fb13fa44bdbdc0e44,2046.24
0x9b488714b50e3881e00d8456656555826ecb098b,2768.44
0x590cb961aff1c2fa489467e81af2bb08b802a402,18633.20
0x62b418aaabaa132a7ccae2a43e5653c6331c7b8b,3746.38
0xfa65e65a6321c37486972d71b3f50400bd43f974,1218.67
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,1218.67
0xd8e4d6891e85df486edf66a8274e9f5019d336ad,1218.67
0xb94bb90dc822405481cfb083da7f9c194fd90a30,120.37
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,835.94
0x52332ec46bbd2d600dc00825583576b9483eaae9,8080.71
0x3cdc11454201357bde77e94a9279a0cffd15d4ee,1218.67
0x27e12c5f1d315a75337190e23fc85d1590156d30,6794.75
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,4814.68
0x184923a184108680efe7ef3cf3a9b4892f141e18,6153.72
0xf3cd0ca00717b1158f2e57d3fe09146780a36c24,1218.67
0x1a889073ca7011b05ff4a701f5e4f512f3ed88c1,240.73
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,1218.67
0x6fa6a4fa64918a070204a5549e5717c7b63dcf67,2407.34
0x47d6e897f14dfd660ed478e7e50746ff91d22108,1218.67
0x048054f6e13bb29c6453a12337999faaf8ebd72f,1324.04
0xbf5dd50ecce6104a6f9587ef17237aa22a1bdfdb,1218.67
0xdda4ac0d5a21371f6ca7935a8991cb9010f62118,1218.67
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,1499.79
0x4c5aceafecb3e251b744dcfcf62a62ac0cb29d69,1218.67
0x40138f184a62667989f258f425e40f95846c4c66,4092.48
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,2648.07
0x38c271c9fc3a0e244a752b25a31d93a63767d567,9578.03
0x615d5ba85aa09c408501e1519bf18a0e72092c86,1218.67
0x847dc0fe626150137b588fe0e3f889fa0bd2462c,2648.07
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,1218.67
0x728e3d647eda829e20d61dda5b7e32b05eacab14,13553.53
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,1218.67
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,3177.69
0x329f4435e0f22899b733756c71aa12c1004146b1,1218.67
0x9cdb491354086ab189dbb17360c33970b7298d3f,2084.83
0xa45a2f41b32d8208708aff1e0494524be0d7c29e,1218.67
0x066fb187404feee6ee7f6cde21697cea1a89ec23,2061.24
0xffd6334c0a068a752cb62798fecad141ed56e3fa,3626.01
0xca70f8da989c70388298ccfa37aeba380c7ef583,1218.67
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,1218.67
0x145f3dfeb18cb20b8ce4a33fe38a2be532d40ae9,1218.67
0x814e01213eea3e30322995746c89e1bfaa3a38ac,278.65
0xe4e01e5f6a9c306ad7ebca53beb943cf6b181045,2118.46
0x56b4bb41f248f2fecace8c56df3878216b5536d4,11073.76
0x73e775335bddaac0b95211441fefb7fcce13db08,144.44
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,1218.67
0xf5c2fb46451ac9f261015322a52aeb2288705279,25292.06
0xd26504da3899835dfac224ea92757b1fdd0ea1da,2648.07
0x363c3116d796ed45871f2855111cafa44788ba0b,8907.15
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,278.65
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,6985.39
0xc941b4bd79886898f93d679facf56d5fe2a43a61,8358.67
0xe9237b25b212a9235b091da148b40deaf4b7363c,798.02
0xd8465846f159dff03fe66280596a1ccf91acbcc7,1218.67
0xe62540bef9b4a4ec3f156d25bedc95686ac5af16,1218.67
0xe94d7d617d8188222dd500d2607c215a3c77b3a1,3249.91
0x721c7d9caf422101813cb1e554de2564c6a63685,1218.67
0x30fcf822642d9dc8275fada3d4974d6c55ccd5dd,1218.67
0x8204efcdb13a20fb3657c102aafa7caef2324da7,1218.67
0xbe14fe7706ff387848d42c9d63ed580f4272f338,1218.67
0x75fb57291d1c90398ed85d37de829f06aacc7587,1218.67
0x805cd8308385b3594fdede0ed774d04072d049b2,1218.67
0x8c3f23958ec039813d6c0c4fc660484b36a015bf,433.32
0x55be777df5aeeb9375516e6a28a723034e09f399,1218.67
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,1218.67
0xc2933176a9be2116721a2681e042111ad22f8266,14710.29
0xfc87d596f9d4b32dbdf9b7d494903061f33c39b5,3129.54
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,1114.58
0x3780634b2fa723edda37e5dd672a6437c857710c,10631.94
0x7dd385432be1c700b3455ec00d3c1c288cb99687,1218.67
0x2663797b2856a0b1a8ebd282b24437473d931b84,12570.42
0xb857028de18d6c959b59d940a3a1a540df98c6f9,2648.07
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,3281.22
0x91ed38c92d51d1d18c9f68e6d8abb49f40b4c2e3,5296.15
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,1805.50
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,16347.39
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,2181.61
0x313fda29134cfbba6682dfeba13778a871aa588a,26875.85
0x7b370171964beb5a97dd8a24bf35e46287daaef2,1218.67
0xf757a0f9ec7692645d61e1e52787f716fd7cdf5b,13553.53
0x7f65f8e92535deb207b42574f56d71e8c1bba51d,2359.19
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,2596.93
0xe7c4a1532fc07d2f55e09621f0f7f53c23abbe5e,2768.44
0x112da725292b17bcd41fb2d716e98588c903ca1e,1218.67
0x5c216d7f402b3f41eab91df35732c8994348536f,1218.67
0x2d7a811a8ab6e58f843cd1355d4514ce9039598c,2046.24
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,1218.67
0xd8519ea62dd53867094b5fd8c3c6dbf559682072,1218.67
0x737e5f0fbbafa9b98eb0251e9293c51221bb97c7,1218.67
0x0d49b835b11865c85ff0b1293144fefad82ad961,36918.67
0xd78576e1f671d1add3545b7ccf85f808a03a34de,1009.00
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,1218.67
0x7aa7cac133cd9def789c3b53a712072e1fbed26f,1399.86
0x32a4ed9e16edeed37667ef8bacee7ce7ca3fcce5,23180.46
0x49ff3cae1cc3a3408f95d6773d5a60950fafc24b,1218.67
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,22199.28
0xa7aa0bbca3a242b56c086ddc6de2edefad0bb4ab,2190.68
0xa4581de2b18f2e8247db66140995a36a98515906,3065.10
0xbe3259a615284a34271de569c43540afe8d8a731,48.15
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,1829.58
0xfccad6ef893eb630e25d41b0f9e74e8ccf7e9108,2768.44
0x66c8bef6b19f0c34a7d7ce2d8855ad3a87661b25,3009.17
0x8417ba4ae10899c74000dd0de87ba83b52d929ab,288.88
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,18027.38
0x48690281582e7bd576d8a41f527e0b5427dd8711,240.73
0xc493bf47f6624aad016c5110f37ffc77d34b30f0,2748.54
0x8c9fb695c3336ed9507d738d7b229c34c29a84ff,1218.67
0xe50ae072cc919280500e193b6cbe5f1cc2843fec,1671.87
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,11690.60
0x65c4ea52f2e6c33560b53794e23a824df4dc283c,1772.36
0xeae66818cc2d0e09b1bb557121aed10d635f3013,2407.34
