address,amount
0x5e6616c3411d7674cf5f8e79650c44c4672d0b8c,510.00
0x49f356c16365dbdb9729993a2e9b2e84c379f668,2550.00
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,8500.00
0x009f6b54d8b44d84ab63f09ca5f2ab27b2ed0ed1,510.00
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,510.00
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,28500.00
0xb859a2edf382ee65b7e2fbf92a91513f3adf8743,935.00
0x5547e93858325b7f1635187246761df3fb7c5ca6,510.00
0x38abfbb94263000355ac94895ac1cbe67a9f018a,425.00
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,29325.00
0xc2c3f13246a6e04bd4c1e0cf58bcc31e0bcef12b,510.00
0x96e95a1f40cf5a50178053740ade18046815362d,510.00
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,1275.00
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,15300.00
0x13d2a02530e987f68b9df14aacef417525547410,33250.00
0x1e4c331d8dc510622f997b55520d877349741256,1500.00
0xda5dfd4557cb05ba8ada631adc44e40217f22ff3,510.00
0x98ec15a3f43f5304243e841898345bade65bf050,510.00
0x2b3d820cab9970dcadbbbb667e012b927608d17c,1275.00
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,475.00
0x7678b2401073f5e8f911cd4dfb2f09ff3f40b26b,8000.00
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,510.00
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,510.00
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,43775.00
0x7e9d8a0be535173a18515bb463963e5c8272eb04,510.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,105796.75
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,510.00
0xe9f659172d39c54ecae31c5f2161115c95a557d9,510.00
0xa39f29ea0933c9016994c2a31d10b572b466df0b,8500.00
0xfe6c17e467329740a12db926a2bcca732f1cad7f,510.00
0xe7a97a841876c9ec8c38fee297680aacefd121a2,510.00
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,510.00
0x6967f0b127f51afb3493a37823b9e87e4a05a906,510.00
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,510.00
0x58bbe0580b4834504027f27a2c36d83cba53fa40,3825.00
0x8f3e2a9ac8f31ab17a493a6fe5951d0864f8dd66,510.00
0xa6311ddf73a94780e2b6bb5dfef516719877588c,255.00
0x56b63533b5cb700876e8f15838e514bf995d7424,510.00
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,510.00
0x52faa46ef2b180bb63558270f556284a5c8eeb5e,8000.00
0x522a57a9267b6a54dde2f9a89863304cd0391827,7600.00
0x4fcf8116d11ea928ff07f738c0030236ab97a5ca,510.00
0xa885c5ced05658736659a7e525dce52975a8d62b,20825.00
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,17850.00
0x60f6d449f05d5f54471c90a5331345ca2d0c9ba9,22865.00
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,26605.00
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,510.00
0x1744b94fcc98f514dcf242e7b03a719aa162e246,510.00
0x9964a001f3fd643d51244f305f425d2f85e6d06b,16720.00
0xdc61e516d02204e27509fc8cbb135da2439a3967,1275.00
0x909c592080a8ee273f5c6648d874e78c7ea94a56,7820.00
0xd50ae9846769731c418655ecda7cda6bf0f3ba5b,255.00
0xb12431bfc7b475359b733cf7f29d542de7ddb048,510.00
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,510.00
0xa7f24da84f5e3a08449f273c418e7ad604d1f27b,510.00
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,9010.00
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,510.00
0x1607c4dd0ac36bf7759553f07af76bec44976247,510.00
0x0c70a54bcfd25c6e335cab5603fe931121d3cb20,510.00
0xf878f2874ae784b79e8977b3878267d7b5613e96,11560.00
0x0cc91fadb1a6f30e8c27f2d386dc44671a7e7618,510.00
0x1c5f052a19502b8e7fceced31e8213dc4d779efc,510.00
0x3ed13073d328b58feadf2e5ed172b8e647a76cdc,1275.00
0x8e203f2cc647e3da61070b79136b0fee0300f61f,510.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,6035.00
0x290ddfe8b67d74d9e787cb2657222b1d61e3155a,850.00
0x23d5d2223e741206aa0778585dcddcf29852fdb1,510.00
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,510.00
0x8df5dff804faf108aaf4baf97cc3c1d60a5162d6,510.00
0xe6fa027868ac1b4dd2780b0027769b0d8feec41e,510.00
0x4d4791e9dd3f58d767c3d4c43510a4ed0bab143c,510.00
0x3f67688ebf07286f03eea4594b365baf63d4f00c,510.00
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,510.00
0x25631a17411d1cfd620e3ca58bcec0fb98e7ad7d,510.00
0x119a5e7b1ae24c8586865e139ed9a4af6e9e845f,510.00
0xc4baa22875102821bd01f572d63679f5f1cd8046,8500.00
0x2abaa959113c0f59f9e6071e3182ca9148ebe239,855.00
0x608fe5dd6ee360ede7d4e5d9d0859e0327af82fe,20910.00
0x590cb961aff1c2fa489467e81af2bb08b802a402,1700.00
0x60c4c2a46979c6aa8d3b6a34a27f95516ef4e353,20400.00
0xdf225f0720f23e3c2773915ad3182bfc5346a32e,8500.00
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,25925.00
0xced9d737989f82902a2ad61b66575af23f7345ac,510.00
0x3e4909ef77f6eb49b2cab7303bf45dd7f264c1e9,510.00
0xdb3f27b3bc27b33296ba15d46b55ad01cfed8f48,510.00
0xcca385be21b94fa1254c8b5d7045cc568a520586,28500.00
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,8550.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,7315.00
0x8081059d13f15e49a01616d4ec75098123883b77,510.00
0xae32adc07bacba04b356d8063fd0ee0dd2caf94b,9350.00
0x52332ec46bbd2d600dc00825583576b9483eaae9,1275.00
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,5950.00
0x038f6259a47b3870e1d9a156836e104117f32e04,2975.00
0x103ff482a1ea96bd4bf979073bddf26ea2306421,1785.00
0x087e1ea3cc208df6c72f727a015a18255e45927b,510.00
0x28b460e553ce81ea5ea5407ece30bba3903af23d,3800.00
0x2068d8a1dec30d6a06d01ca0e19823de77b3b6e8,255.00
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,7650.00
0xc518b077ac4fd41bcd85c4564ab79db2f0d417ea,23885.00
0x42ab6a8813a00af942714870327b4bcb71c3d871,510.00
0x5e870b8c04f2bc246c71340bb3f7dc3ae95becfa,510.00
0x011305a6fb1e6cc7c9f5b0ec1bd13308445c23bb,510.00
0xaff57447178d280423ecfa8e13e6a26674a5e063,510.00
0x213d9c4fb38329af0d63d8982a7c54258df727aa,510.00
0x629a229309a35b166a5f3557995d957ee7f1a100,10450.00
0xc48becff3510e20b9f2b74350ec0fd54b33f42ef,21250.00
0xb403106cd3f6852a87769e32890680ca615e351a,2380.00
0x8c582af92d80e7da919f02e2ace7e805d64206e0,850.00
0xc8a4e7379168d19d76aefe081714f3605c8dbc9c,510.00
0x93cf58d7c486898da4538cb9058772d92d43b1aa,16530.00
0x1b9a3eeff7e82e7d37415738c681b7d48259f2db,510.00
0x9184e8cd603daaa3452a0dc82242edfaff943d28,255.00
0x048054f6e13bb29c6453a12337999faaf8ebd72f,883.50
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,58905.00
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,510.00
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,510.00
0x1647e39548ab5e36aa7749af7c4071b73d2326e4,1700.00
0x13c07804a8fb2b9270af54cf6c3e8b9f9da57ae2,510.00
0x00f33c3bce1b479bc7ffacc986badced8b2d7cad,510.00
0x6995480bb8144c5e59c3b8c45bcf6fcb8a2eb5ce,510.00
0x25e31dd80eb4775a2e12d3be3d772808f2f89f84,20400.00
0xb8371f766eb9c93e046c349d33cb45a9c5e80c8c,8500.00
0xd894b25119f39aea58d786329619f0f564a99a5a,4000.00
0x48cb83ca304a049f6192873e7782fe418a167f3f,510.00
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,510.00
0x8da0583ebcdf983d34ed49568a836f134607a263,510.00
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,22185.00
0x2fe2b21e1fd83947baaef67dd4e8716f6882c93a,510.00
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,8500.00
0x38c271c9fc3a0e244a752b25a31d93a63767d567,14730.50
