address,amount
0x06001c77A65B861249D4d6A2BFCEa6Dc8325376C,10
0x2B3D820CaB9970dCaDbbBB667E012B927608D17C,10
0xb2028881f9586F8B7Fe8B7a7d0cf5fdC3abA053c,10
0x82A3529f832aCB41e51F27a0E9e109E42e243AA4,10
0x590Cb961aff1c2FA489467e81AF2Bb08b802A402,10
0x184923a184108680EFE7Ef3cF3a9b4892F141E18,10
0x18301aC19CD1b9390400c6D0a6D800bdd68240ec,10
0x4Bcf75211f31be86AA1a8C5Daf41c009fEae9303,10
0xC2933176a9be2116721A2681e042111Ad22F8266,10
0xDC922b6B33Ce36B02C44f3B09cf7EA6b613Ac939,10
0xe204F2Fc6f5aA2BB968f1ecE326F59be4b514B0F,10
0x1fE71469db264c5d49574D7D90d1E900a0d9F12e,10
0x8c9FB695C3336ED9507d738D7B229C34c29a84ff,10
0xEae66818Cc2D0E09b1bB557121aeD10D635f3013,10
0xd025f432F3694C54036EED5C7D5B4a22210dF4fc,10
0x1A5d8EAaEF4515C50e9C98243F9578086B2Fd8Cd,10
0xb3397A6FeEdff2b9fCe9Ca1086CB1Bdd617c16Bf,10
0x9cbbC3a2D333ed26d5eDACDf737434A412375e85,10
0x782B805f789d3596f2Ca9a45D8f005FACaD79FA2,10
0xF71754DAAaf2d74291362a101Cc0ff5B53bFaeDC,10
0xe6494Bac41e5Ee1665874331FD2c82215C5b3A45,10
0x825f8fb45D9Cb890888604ff6dAdee50A9a55CCc,10
0x3e7f0d9032d93603f829497b82151841cd8fe60e,10
0x2EAa93F62Af2b2e27270d5199F8987fD0dca925f,10
0xb1D1E2CA111550EE7b5261E47092ce094EDD2986,10
0x8BaF1Bb6D6E52B6E81a9d780C2F36FE507DbF6a2,10
0x404935E6b798F82eF4e4C0c7d435A5E75C4618d6,10
0xF3D861BD80C3b56AF43702224515404cb8908D17,10
0x33c368Fe3f02f3Dbbb45A9777741d4955daa33fd,10
0x9A8Bc9c6d9698471e284bFE2FdAeD484D16BeE5b,10
0xF49545D736a8bD0C2856C1d7F523F1C24b849AcC,10
0xb98431e3989850A5588Eea7282C1D57CC3bF01CE,10
0xB84B3850EaBF40264c45FF1A5B5Ee3bd64F9983B,10
0x532610395522e19C39c1F4717A9d9f69be920c18,10
0x9ec4B42208280f28f823C7DA207618D7b9652348,10
0xaAB0224011fAa96E4E6fB888B6A954Ca8962c431,10
0x774e2F5c083830e9b6C56fD10396E8b5F8Bd5EBc,10
0x51E4aae33514Af854591Bc68d0052b670AD54698,10
0xF393da239d8bCd9Ee132e113EF4753cBFA411c11,10
0x0d61CA6C13D90D714D45E44C6E48D65ddf549AF7,10
0x68E9496F98652a2FcFcA5a81B44A03D177567844,10
0x3bA17bB92522b0f2d1Ea7dbf413745EFafe9632E,10
0x71237980814936f72B2b8BDa79aADb9E068839BF,10
0x7F5f050d45a8EA62eCFA6bD595ec18a75644d3c9,10
0x8CA81dc4327b368F0C913CC29728EED9d779199d,10
0xA942E6909aFCa03398f9a91c8CD5e42BDa9903dF,10
0xB329B33f1cDA7F341B06D8E4F68495EE62b3Cb30,10
0x7aa62Bb8fBb9cAfEcF20c9982C248F0CB392A585,10
0xdEDb8b3A8a89c7a8B5057bdDB6cEd46f1ccBa669,10
0x6647dCCCc1cDe997429C07C8D617347153B4B1A9,6996.8
