address,amount
0xd75ce0ab93f469bd458312786500e65d2d5aa002,263.5
0x465a084c713e7d0b3dac7f9a503378fa5fe2ab9a,680
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,947.75
0x2b3d820cab9970dcadbbbb667e012b927608d17c,429.25
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,425
0x6a12bcf76cec6307ccea6b97aceb9b8eb34e4f5e,233.75
0xc15dbd1021f75ded5818fd4ec40b44514e7f7df0,89.25
0xdc61e516d02204e27509fc8cbb135da2439a3967,4.25
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,85
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,892.5
0xb4bb4a094338bc566e4bb0355c9de525f7c1f1b4,42.5
0x9d83c58297b6307a4c62830efe16da9470990f7a,255
0x3f67688ebf07286f03eea4594b365baf63d4f00c,8.5
0x68eaec20871a7825539432f9447b9a341ee1d21b,4.25
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,531.25
0x0f2ad0c13cfa726b126df47bd138988089fa3923,55.25
0xc4baa22875102821bd01f572d63679f5f1cd8046,4.25
0xa5135394d563e323e83b5c1b097acdd7a053b40c,323
0x52332ec46bbd2d600dc00825583576b9483eaae9,4.25
0x7ec77972e1fc05e42a1b825bb67f04a756990ff9,425
0x28b460e553ce81ea5ea5407ece30bba3903af23d,340
0x21ea2c330f1feec12aa8564793b3ebbbececaa72,127.5
0x081979b27b6622c5cf4327b51b057c470413705d,42.5
0xf9c8a4fdc836e5b0d7f611004253510aa9e2a2f3,425
0x4db3ed2e9204c89f3c1010d89cc206fec6fe9905,1232.5
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,106.25
0x64d335a7df04fdc3981a063c4d315be92bd25904,21.25
0x64d6e0774917bcc18bba2b3051283aad4e20afea,871.25
0xc5576e7c082271c761762966c90ac2ab0ee35f25,255
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,42.5
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,425
0xd1c62c22c078a0c6b1e42f7200f0b082ee81a64a,425
0x004982a89f818e8606d423eece3a4a280e605527,4.25
0xbc57b338d28fe76a06fc9879a69477edae192a0f,4.25
0x40be7bee703ccc2a1dc0546db599f37eff0ab8c4,425
0x9dc9597a419bb3d7c727f57a53a45c39937ee61f,42.5
0xce9731d91d735c7feebc3dadb44e22e17ae3f56e,42.5
0x329f4435e0f22899b733756c71aa12c1004146b1,365.5
0x066fb187404feee6ee7f6cde21697cea1a89ec23,131.75
0x2434a3896ce832932672e9c0f7c35f0f34e04206,425
0xca70f8da989c70388298ccfa37aeba380c7ef583,8.5
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,42.5
0x31acb68955d2e93a53c871711f115bce53f8cc33,1445
0x814e01213eea3e30322995746c89e1bfaa3a38ac,4.25
0xdb6a07682ccc75a52199240c7e517ba148af043b,4.25
0x56b4bb41f248f2fecace8c56df3878216b5536d4,255
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,382.5
0xf5c2fb46451ac9f261015322a52aeb2288705279,2222.75
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,1485
0x29fca5052da9b93b2b25809135022ec367355995,1105
0x7a52f357732da1265067120d3de0795be1ee1bc7,4675
0x24c71e79405c68c3a9bd5e4a633106af11c96bbf,38.25
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,42.5
0x6f6d80cfb1f84a34066dfbc0b5f4eec9c7b9d4a8,4.25
0x3780634b2fa723edda37e5dd672a6437c857710c,922.25
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,255
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,89.25
0x7f65f8e92535deb207b42574f56d71e8c1bba51d,297.5
0x905ccb9a8d8a8c460d68dbda8b25643567c35768,658.75
0xe2492ed22a58737579ccb1ee6951161e3bfcc48a,42.5
0x682d8374c11916620c11af61e134806b8c17965a,42.5
0x10bfee19a33c1bfe9c546eb39aa1dd6375e2d447,981.75
0x10716aaffd2097228c78fb8a7d844eabc85497f5,3166.25
0xaddd7272d178c1597902a9148b29c29e27d8ba13,17
0x49cf5ed314d8e557c11a742f7ed6d841617fcd12,1105
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,425
0xced123f817ab90bc686ded1619b1766c7e9174bb,425
0x5917444504dc488b1c498533ef465f1bd8383022,93.5
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,170
0x5769cb1ed566d63530c10637db1f2f5c8017c982,85
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,85
0x6a786ea88e28d6b754e04ba2214c25932daade2a,255
0xc493bf47f6624aad016c5110f37ffc77d34b30f0,170
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,212.5
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,500
0xb780d1b3f2acbfbb2a7ba19722c1da120e8a53fb,170
0x8a54cf8f811f5595089727559526d66d4d489f67,1181.5
0x67b271e10dc48754863723981cc97afa3a034170,425
0x9ae7251d85e6e55c35847893a45a4d2040f63593,42.5
0x3eb4b506a839b33a4e5d8719a4150e478083d550,85
0xcf84b9df16b92f1a596ec7eb7294884c0270eb59,4.25
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,892.5
0xb0941450b1f61d48abddd7fc2e2178ca028579cb,106.25
0x5a398d52f412d97ac5852fa327ccd425737d3633,425
0x9782456eff61dba70415247f334b05b13dd355c2,29.75
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,170
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,425
0x34e1baf5cd316de8f497021850a3a6ece5a69e1e,21.25
0x893aacacaef1cb4e14e7f27eb7bdf2299569a6ef,46.75
0x87577e9004052dd82ac00c243651eba4d646c7b6,425
0xf2f0f4401805f8ad619d20ceb096f61149458abb,29.75
0x0f2512feb37c0765a8847f46e0018db30a79e746,425
0xd9498dd534b9d43ae8dcad86c59419596ffe266c,425
0xade1683f0466c4d748a22cbcd4b5443a504400cf,548.25
0x093d3165a091240faf79b26f71a76aab9ed7b893,2091
0xc7238807f9d1d99aa23540af6935baf6bd95d0bb,85
0x92faafcf75fee7800f7d2715466b134d8cc47a7c,42.5
0x9a7032e4518d12b296d8ab1efb6b44098de890f6,127.5
0x92bfd9a019c5b21c7acb3391fa60dd24d85ff1b2,255
0xbb0868dd2909b450612cc2b64986bd868d018749,425
0x113d4e608475b910b4e87feef51741fbd75176b0,17
0xdb534cb1856c6756fb87cf90b0e1294e060ed192,4.25
0xf93400f2196771ad6c22a3e4dbcf736b2e9753f2,212.5
0x6222f97aca47d12a5a3b3117d556c98a75c1ef25,85
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,382.5
0xe2c76937416e68ae3a0e84d752811b2f3ae0a48d,4.25
0x1330355f5181e5a865b35063427648a5aba9096e,93.5
0x2a991c330be3052230db5ff7b2c6a7b05333a639,425
0x2d22e095b05c5c87947f1d8fe258238fc43bc14c,425
0x1f235a06d30d30f59a17fb0244937158e9ed721e,46.75
0x7886dbcc7df67665c4a89807d8794d91dc5d59aa,306
0xb6c9c406112c1bb7977193dac83d5b6fd9d0ca60,425
0x1f59c2b92161711616b4418153923f14d55d2d4c,85
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,4.25
0x21e70fee23868b5c84e3cfa093990ccc1eb5d02f,21.25
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,170
0xe635514dd1befbd66607702a511b483ebf362681,255
0x8f541bfb400a9a3e3bd6a8cf45fe0e9c5450582e,1360
0xce99e81912fee351b1058e822b1aa41745aa55f5,4.25
0x8bd7fc8852c3cc72f23484139350f7fb1d284a15,4.25
0xbe0e1facfba18c0981779021d4fecf26f9a86cc9,2214.25
