address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,255
0x465a084c713e7d0b3dac7f9a503378fa5fe2ab9a,170
0xc5291f7c8a44ca0198028f9739916d230edf747b,170
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,2720
0x13d2a02530e987f68b9df14aacef417525547410,340
0xda5dfd4557cb05ba8ada631adc44e40217f22ff3,170
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,170
0x5863878063b862166b7bfe17dc3eb8a15852fb45,170
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,170
0x2b3d820cab9970dcadbbbb667e012b927608d17c,170
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,170
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,765
0x5bc920e9e7ac4060763e32c92d43e68c667b039e,170
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,340
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,340
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,170
0x9d83c58297b6307a4c62830efe16da9470990f7a,170
0xc9089ca4b31ad4a978aa7ef8884d19eec084711f,170
0x34ba228704864d4627b290edf32486d2da367fd1,170
0x5a861e63f9b5246cee2375b601e9f091ae07db31,170
0xf77a57965093dfdbbf333892c41f8a06ecabcf8b,170
0xfa7182a6ec853a48f0719162c33cdab951ec7d5a,170
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,170
0xa5135394d563e323e83b5c1b097acdd7a053b40c,170
0x753aecc7c84e56c8ac0345635ca01c1c0f5fa645,170
0x39660eec3fbf0982ae11a1a0d4e69f4aa79fcc31,170
0x0db3e237901e162f9df93a5d726926857d7e9501,170
0x2f92c213566c9f308ecec52cfc8224312106aab3,170
0xd28cec4c91533fc8e70debf9cfa1ff2b6822d9fa,2550
0x64d335a7df04fdc3981a063c4d315be92bd25904,170
0x048054f6e13bb29c6453a12337999faaf8ebd72f,170
0xc5576e7c082271c761762966c90ac2ab0ee35f25,170
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,425
0xd894b25119f39aea58d786329619f0f564a99a5a,255
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,255
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,170
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,170
0x004982a89f818e8606d423eece3a4a280e605527,170
0xbc57b338d28fe76a06fc9879a69477edae192a0f,425
0x1341c112e5ea249213c73f1c60f2d4ca099926c9,170
0xbf0c76ee0f726de3174dc40bc2fa39dc6260122e,2040
0xc748ca9d0f39d94686fcd9fc3d8257462ebcc5bd,170
0x09f213953d92f865b949b3e39b9dcfae687d4966,170
