address,amount
0x522A57A9267b6A54ddE2f9a89863304CD0391827,1000
0xa981E5dA41492aFA1A22151ab19789C310cDAe21,1000
0x18301aC19CD1b9390400c6D0a6D800bdd68240ec,1000
0x4Bcf75211f31be86AA1a8C5Daf41c009fEae9303,100
0xC2933176a9be2116721A2681e042111Ad22F8266,300
0xe204F2Fc6f5aA2BB968f1ecE326F59be4b514B0F,1000
0xC58D3876a94DdF168A9D5E470dE3C34d79B5Af09,1000
0x65C4eA52F2e6c33560B53794E23A824dF4Dc283c,1100
0xd025f432F3694C54036EED5C7D5B4a22210dF4fc,1000
0xF68CD0FaF47d562a762Cd65F6A72CF1da1cc1C1E,100
0x7915d1e69b2436dC172a7266b40835643F7AB02D,100
0x26a74e056EB4E3607792DCd87070E468878d14E9,1100
0xe5e94C1Da023A82aA2C584F1891c7B4BDa061351,1000
0x94554A6BF342A9CB1d8825eD92Ec246a203C4B9a,1100
0xd0A6Af3e77B5979EF192421a5cD2889604fDb750,1200
0xe857a766811d24843a96ca419ba9491a1ed637ec,1100
0xBBCD2921E31295F2A6e191440697064A67D8953B,1000
0xBc99A6D7d1a0756F85E343092f6DF70344400fd9,1000
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,100
0x8BaF1Bb6D6E52B6E81a9d780C2F36FE507DbF6a2,100
0x3790656f07d0Ca0D0d8662f0B3Fc2A456882e90C,100
0x069CC32DedeEf743176FE906C55C035C954Bd22f,1000
0x17e071372ba2c7ec0D21030e27Db41E9Ab74b2Eb,1000
0xcf7BE6fd41f1E6cbD1EcD39c1F2eA442320e4EF3,1100
0x6bFfea65431a73a4cC9b5f85AC9e5Fd28D38AbDd,1000
0x05c3eE3C1a8aeA63B0D6A9eFeAf5c0e60c4aC3Ba,1000
0xe589DfB5D6C782eB1781B372dE8957F5595aD462,100
0xC7850eB9d8F3fDde9A6AD675733b2abd22446e61,100
0x7254543573AF637AaF19Cc4ABcA46153236C5569,1000
0x1baE0351078f71097fb6501c6C2969527b508482,200
0xBfC8f876c3Cc0f4f512CAFC6169eb11D46D49C97,1000
0x93019d42Bf00826fb40b5724e4bbc495678C70f4,100
0x5b22816D2324f7C538Bf6eaf382A0d2F9003F1f1,100
0xebaf22EaAA7D24685AFB821d1972605265e31323,100
0xbda12563a964a731B306B1BfD947F6b30271Fe11,1000
0xe2b368371012D069198c76727Bbc877F80B3D363,1000
0xF393da239d8bCd9Ee132e113EF4753cBFA411c11,500
0x3bd568cfbD2d4e16017570fAC8816Da10a31fc79,100
0x0d61CA6C13D90D714D45E44C6E48D65ddf549AF7,1000
0xc50f347be48527eb2687a9f4f5b3dafcb9944b20,1000
0x3bA17bB92522b0f2d1Ea7dbf413745EFafe9632E,1000
0x7F5f050d45a8EA62eCFA6bD595ec18a75644d3c9,100
0xb24Af58F4e675C5AD9656e3b86C4d0bc723389a1,100
0x57BAEBEaB86f3279522F2e343bbF86540eB3EFd9,100
0x7aa62Bb8fBb9cAfEcF20c9982C248F0CB392A585,100
0x818255104e6453A48816cf81F8e9C8Ce5055f7a9,100
0x6647dCCCc1cDe997429C07C8D617347153B4B1A9,294
0x2D3e6CD796A05E9861137Bf158b39738f8380961,294
