address,amount
0x1cadbe9ff0dd496a3d3f858c31d755a53342475c,7018.442625
0x3ba17bb92522b0f2d1ea7dbf413745efafe9632e,40201.63935
0x2fb8fbdfda724931525f96cace0d435d8cd9c4a0,5614.7541
0x37f66a9a7880d86f590f9b6a3334ced37e657841,2807.37705
0xc6d4d5e48898f2e67b225c2083a82051ad98d053,7018.442625
0xf93563bc5ea33778f3c93b17e739d3430a4f5a85,7018.442625
0x558fe7d8131e0e8a630d5536373655fe1c562760,14036.88525
0xb9271ea92efaee8c0980a3cfb52d9c08e99f995f,6165
0x3101d6a23f212c64a7a3492d343000e713206791,8321.065575
0x291f6f3aba5439f049ae437dee99aaa67ca9b835,1403.688525
0xc0ab654928969b611d5734725491ed0487e20bae,20550
0xbfbd777fba1ebf1382b60d4ad6691cd15b693bb1,1403.688525
0xfbfc2f84339c7aee0ef5ca83fe9014fc79b728e7,14036.88525
0x58fde9484303ad05752520424b29371557e4a4a5,4862.37705
0x06420081ed0bb4b6a5339d7896a873739166c51f,12464.7541
0xa942e6909afca03398f9a91c8cd5e42bda9903df,20550
0x856d02de9e072339d005bf6d056375b79ad55b5b,20550
0x7aa93db6d6834e449baaf88bb04f740aa00450b4,14036.88525
0x34754820e7c6da7bb0861f074bfe591b26981e8a,2055
0x8c36c3a94cef183be4f0d837e8b0c52cf189879a,4211.065575
0x49a9b6071117102ca99d3de96f5d59bd08255acf,701.8442625
0x4301333c0b74bdc95fe6db56934a7284a82f51e3,45344.7541
0xe76e786aedc3f6b81fb14a1a81a9a89e21c656c2,2055
0x7e147cefe13fbe103421e2f2fd9d58ff3b878e1b,20550
0x729bd6b37ba7ef1b6f21b3c9e5c53aa9ac50e96d,14036.88525
0x71f55e13fddd53dcbe0e4dde61ec20e3f4338fa8,14036.88525
0xb62283ba550e5dd623d06dca24817bdf4ccf052e,7018.442625
0x2bfbea421018a8b0174d843503f67b28a8599d43,20550
0x95808d01267589a5be9df38653797c95fe17805c,20550
0x88b8135796bdc2d807f034e0633222da17f6b151,9623.688525
0x8fb63d96d2eb10be06b7ce97f09f1c10b871b334,20550
0x9404f1ffcef8972b8a3ea2d757499a4fc2c24b32,7018.442625
0xdec2ea8fbf7e05ca2826161962664656cef4e52b,8422.13115
0x33823986a5c7892298bd794d4cee5f77e7676b38,5614.7541
0xbe996e9cd5886add200861f4b57ae955a6a47636,11229.5082
0x2D3e6CD796A05E9861137Bf158b39738f8380961,137890.5
0x5936243909E906De3f92E600BdbDA0eCE048B649,103417.875
0x6eF22CaA22d08D09082fFAFFa3cD051296a78a17,34472.625
