address,amount
0x45291103Ee841992f23031f305d66ADccdFb486D,11889
0x7241c18533acf5f786c5a0b5f9c2c370620c5c6f,680
0x16e70864f9f80a94ee367427f61028deb2b55f81,680
0xa9246678855b64be286a36c37fba1198a97cc82e,680
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,680
0xEb42994c18DC36FFB529Fd849C94441Da3832c08,24480
0x150c0b05d1a799efe8f959fc3494e2894c471b7f,680
0xd08f451b3442f2e106ad387d97b1183bd7afd431,8500
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,680
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,680
0x2b3d820cab9970dcadbbbb667e012b927608d17c,680
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,1183
0xdf506e98fa069a324fe1b80ecb3f29035ca0d3cb,680
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,680
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,680
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,3655
0xe7a97a841876c9ec8c38fee297680aacefd121a2,680
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,680
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,680
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,680
0x50deacde18e4dff71956519ce426471cc35a6059,1105
0xaf96945491497dc74cbe46a8239931c79bde3bbb,680
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,680
0x3458de0096ffd750eef057347d02cc695dde2673,680
0x1744b94fcc98f514dcf242e7b03a719aa162e246,680
0xdc61e516d02204e27509fc8cbb135da2439a3967,680
0x0b23260ab68ac0cd8095ffd93243e0571b192b3d,680
0x283cd542b2e636fdd8696bcc3d8fc18cf76a0172,680
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,680
0x901be73c1197a761fd8394486df4e9da30786a56,680
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,680
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,680
0xa1bd817e13ed6bb524ed491cff76c83afec773ac,680
0xe4924a63c14d89c61c2c3f53756655fbeb050acb,680
0xacb35943f9cfc5a170017cd7fbe67799eb568c0e,680
0xfa65e65a6321c37486972d71b3f50400bd43f974,680
0xa5135394d563e323e83b5c1b097acdd7a053b40c,425
0x52332ec46bbd2d600dc00825583576b9483eaae9,680
0xfa6fd86b42ce2ec5e00c1cd35fb0c78bd88c0417,680
0x41dd7269b0d2ef33b4e4a0c20de0a3b12a0e345c,680
0x28b460e553ce81ea5ea5407ece30bba3903af23d,425
0x14456194ae93e6ee45b7bb69c46c32d7a4358faa,680
0xd41baee497423d54204cb0e8f65ee581b513b153,680
0xb65934bc345c5372d1dfddfc67b1206cf11bfbdd,680
0x679eabf28e6189a153c85f358cb1df254e1c443d,680
0xc0fbaeac9d799a47577bcfab80bcd1b54142a13e,680
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,8500
0x3603576f910ac545006eadbfee5798202ed07a45,680
0x97ab1eed00c745bc4c182bd21ea0e380438d72c3,680
0x0f48f968372c5f081b97c1d7b5e85b4d4b74a33e,680
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,1530
0x11129c98a269742177141de456733e9f977f81d4,680
0x60b822f7e074bc3d6f94f30b8ef9999dc8b60158,680
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,680
0x84214a000ba9a1da76cd424d267e67bb861893d6,680
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,680
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,680
0x64d6e0774917bcc18bba2b3051283aad4e20afea,680
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,680
0x943fba84e1d109c66ab2e2059ef00da3a75b2512,680
0x9e2c3ba5e045e49669b21ed1735bbf7a2e422d82,680
0x3dc899e8f576417321cd61d2cb563eaee43793e2,680
0x80166ef38a42a3c5d565778b5178eb4cc134db21,680
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,680
0xbc9a23e2db6a7448d213670e31e50d7b032d1d29,1105
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,680
0x2fe2b21e1fd83947baaef67dd4e8716f6882c93a,680
0x38c271c9fc3a0e244a752b25a31d93a63767d567,1530
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,680
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,680
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,680
0xad8073ae3aeda481468143ca12257b9c6ed3d9d9,680
0xf92735fbf19aee90b89e4df028341f02b2fd71f9,680
0x99aa6af7ae317ea81ce9132c1e94e8ca45392795,680
0x09f213953d92f865b949b3e39b9dcfae687d4966,1105
0xde59dde7c5428ba29c7461338f4a6f45637c792d,680
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,21250
0x153421a5ec98702238c5baa8a18b4a53fc059d41,680
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,680
0x73e775335bddaac0b95211441fefb7fcce13db08,680
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,680
0x64a53d7a2c6785ccaac349fb172c0f85c50bc0bd,680
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,680
0xdebdb6d731d9e4bc3aead5358ea09ffeea2fdba4,680
0xa30ff788ebac2878dc36ec379e55deb02c44049a,1105
0x1b4d07c5388129ece609e69a701ae4007ec0d660,680
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,680
0x5dca83ae634bf6a34e4e232928477cf25f6addb3,680
0x4429683073214868138506ff716cc05b9151aa01,680
0x7a52f357732da1265067120d3de0795be1ee1bc7,680
0x3c96cf8efe0a1ffd23a369409c2ab53ed7673138,680
0x34555c94e5c68efcba909ab58ea5147d671f4b38,680
0xf2d4f5cf6f6ff104be61ee6b4cbb1ac662131751,680
0x3a20cf3ef8ac682ab077e7f4aefc10af6d0c3477,680
0xda6064f99d76b75ad29d9d03251884ded8320f85,680
0x68cfeb54dfc57f6418fbd862a3164a5e63a1a4ad,680
0xc2933176a9be2116721a2681e042111ad22f8266,1105
0xaaba0a49d178e9cb53068f2df10a961b222af43c,425
0x70ae78e5d4c4fa2eca26753aeedc19a0da211885,680
0x9ebf66df497230c64847a38d51bbc921efa6bdf6,680
0x769c9d334b37c6e9207c3dfa912fd0f4731f21e3,680
0x5d437063ab4d1f6014832dc17c5166bc8baeffb5,680
0x0b0756add59743f7587b5c30ef5ac1f4b97508ab,680
0x6dbc8be00eec9cce07ef04096c9cffe39e8d8bcc,680
0xa27a5c0ef8054c74bd754df940b2eac1e2bbc352,680
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,1105
0xd1743ffe7be923a1236de03c40e26ad51d6c2762,680
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,680
0x5b6374158552480655ca082e4ea1135f87d3bf47,680
0x17218be4de40c4c10feb21f1ce456f7c88e58a5b,8500
0x334f03ebaa3b292b4caba803f10e515c5165725b,680
0x514533011d165c0f503815fb684fe73005cba7d7,680
0x92caa9016b6bae7a6cd5db082d5297a3feef8517,680
0x60324ce537ae426503e832e174a0deb3db06e330,9605
0x2479478c31a50de37fda3596f92ed557f28451a0,1530
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,8500
0x011f7c667b94d5e2b3e420a43ef397a8751aa3c8,680
0x4abbc8e0a12e36eff26d8a1afb71520297145a9f,680
0xee155bfc2aed35102d51a9d656bf6bac1683f3a3,425
0x94d1879566ec4ec338e34aa151fe250545068519,680
0x6f390a56b2c5c1364faacb60ba53ed318adeaf2c,680
0xb4c18dd1a1d7862c05f9264ddd40ab810f73ce02,680
0x9404411bbada0c2ddd9d855cb54e4921897c93fc,680
0x456fceabffaad465b819ada49e394202e1681a02,680
0x4dc65f1f485d88d99a2fd37141c782b6491896eb,680
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,1105
0x6a72a8476e9b44a52963bff7cbd87badf375b739,680
0xfb40932271fc9db9dbf048e80697e2da4aa57250,1105
0x3e5f4ac0946ef11775835ada6d6bf7966677b7db,680
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,680
0xb18a0b69124c0ec398674778850f21d86bfd94d1,680
0xa0350d547d28f88e443fc835816d6a58a5199b2e,680
0x7d0d21587bbbbb401d9c972690d1c3726ac2b495,680
0xe0d5c6ddc8cd4a98879475a5a987c2f6e6eeb28c,680
0x0e79c15e77dee37072d33ac73c0ca18d0949fbcf,680
0x350621aef0ebe79fb476691d1170d71ba9372734,680
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,680
0xff14ce4c9e8e2b9c30abb7da622a793f8eccbec8,680
0x323aa4efe67c868134f3bab5f9eaffede0803a18,8500
0x23d344a3fe9450753324523425eac8bb6754eb8e,680
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,680
0xe20254111032f19fff333fc59faf2b0d4dd79d41,680
0xb257b8260a31c2cca3c37a086098804d8c9ce4c3,680
0xa7d9ebbbd4726d5150cee21614f0da56a5851901,680
0x83f12a8dbbf4886c97741c1de9e09f7a16d30a3a,680
0x7c2522aa35ee6cf7dafc6312bdd8b64f72744509,680
0xd586faa55f787518b0feeff12788f40ca7d01f74,680
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,680
0x797d13e3c2ec89caac0248f4a373b86eac8a8dd3,680
0x7d92ba41abb9f200256e16ce4c14d58776cf20a7,680
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,680
0x4f4407a4c08d027c8a4fa272c614e1c1d81f891b,680
0x3eb4b506a839b33a4e5d8719a4150e478083d550,680
0x9f77f69848852c1a2fc529d2663b05af30559ad3,1105
0x2760022ffcd35133962f0aaa71fbf1c5d58edf92,680
0x49a545e6ddf6fdac01f1ae60d8476a7928850ce2,680
0x23ebc41209a057a41b0d7e975885f203d1899505,680
0xf4262e5eee6d424915dfa9df4a15ba8a0a4f653e,680
0xa13a83fc3384d4c694168503541d268b4377931f,680
0x548d500e7d1584aff5c4e51d49bc52cbe35dc80f,680
0xa9740c509f10bdb4908507345cace1288875a7de,850
