address,amount
0x66fc17b2a83108e920bed6aa91459f5ca9222a1c,1500
0x367c19613790c1d0174c20cdf5bf7a7adc9820c8,2500
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,1375
0xd08f451b3442f2e106ad387d97b1183bd7afd431,700
0x13d2a02530e987f68b9df14aacef417525547410,1175
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,4000
0x8331b95e050690240743b53830eb30fc3b2ba647,100
0x522a57a9267b6a54dde2f9a89863304cd0391827,550
0x03dcac48325951dab6aaf6f8e8d25df266aec55a,100
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,375
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,825
0x8f1ebb7142bc87e7b6137b5e8efac34033d63aee,1000
0x2c3d7ed55979077a046666cb846e7435ec7d49d2,100
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,325
0xc4baa22875102821bd01f572d63679f5f1cd8046,100
0x1fc75e24b4df1d00f6139977122c973415abe967,150
0xa5135394d563e323e83b5c1b097acdd7a053b40c,100
0x28b460e553ce81ea5ea5407ece30bba3903af23d,675
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,450
0x8c60b40a297f9d5b1cb2de6bb8bc6b9b2cd08357,100
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,250
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,300
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,100
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,750
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,250
0x329f4435e0f22899b733756c71aa12c1004146b1,975
0x9cdb491354086ab189dbb17360c33970b7298d3f,150
0x066fb187404feee6ee7f6cde21697cea1a89ec23,325
0x3e6ce7a597a53bb9a15940d93c67f7405f49ae98,525
0x09f213953d92f865b949b3e39b9dcfae687d4966,100
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,2000
0xd3f45e20cb8ec2d65aac5797ceabf989798f58fa,400
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,825
0x3780634b2fa723edda37e5dd672a6437c857710c,3900
0x7f5730d68ef0a5fa99150610deff08a29d9b5339,750
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,475
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,775
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,375
0x1a4d6f98c28fb3c37cb3a50951fb1fca36614cf5,250
0xd7cce685b65f55b629224a21817f92853ee6998f,100
0x5c216d7f402b3f41eab91df35732c8994348536f,100
0x4647191eea8e075443e1a3aeb51a35603a3dbf29,100
0x4390626b4667b440ea632f814ae3b8bca20e1705,375
0x000a44a3b9a40c28fa85d4863f1b978df9314501,100
0x42cbd9387651f3b8bd61837e70a128b6b75b9ff1,375
0x5917444504dc488b1c498533ef465f1bd8383022,825
0xb9bea0554b3ca76660712d6b525cbfbc101fec1d,100
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,150
0x9e06f6f85ff4b491ac3972a194f5d2f9d11acd19,1300
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,150
0xa993ad31ef46873c0193448dbb2f04c0d3854731,100
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,150
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,75
0x0dbddae8ba17f005eed7bde70caeca5f7194895d,225
0x3eb4b506a839b33a4e5d8719a4150e478083d550,700
0x663717dc1c9548225585098793cfd3329ec96119,100
0x2d60a5714fca4aee015478b5d3774843b415377c,100
