address,amount
0x53d87dddc150c90d7687aedcbaf072ee97fafd95,13.3
0x4b7c8b4413a9ffc40a7b97fb931ef88cb0bb21f9,11.9
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,140
0xe1e44fa739f9620ae45a8817845ff5e20cfca906,11.9
0x52186ae68c278f79860095aed518046094fd2f41,7.65
0xbf13252f3e7d0c38ae2337c1cb3bc71f1883ed8c,11.9
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,71
0x029b6466eed1144278c907e00d106410a64553bc,7.65
0x7d6c47310f083693108ba342d76f0abbb7ae95e7,7.65
0x96e95a1f40cf5a50178053740ade18046815362d,14
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,11.9
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,193.8
0x13d2a02530e987f68b9df14aacef417525547410,584
0x1e4c331d8dc510622f997b55520d877349741256,299
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,14
0x65f417d77305cd6c2285508268e92145d88fbe06,11.9
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,14
0xca918d0ab86bab37c2cb691d69b0dcca6e8abb17,7.65
0x2b3d820cab9970dcadbbbb667e012b927608d17c,14
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,711
0x7678b2401073f5e8f911cd4dfb2f09ff3f40b26b,290.7
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,11.9
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,14
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,14
0x7e9d8a0be535173a18515bb463963e5c8272eb04,14
0x3a86e924c68c8156178330fb73b50759c7222943,8.55
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,14
0xe9f659172d39c54ecae31c5f2161115c95a557d9,11.9
0xe2cfd5ff51aa7f820783d054e35c828e7b282a57,120.7
0x554c3689d9ff54b2fb53a00720e68816932f381b,302.6
0xa7568a767cc138114341a454dac6e03e2ff968fc,608.95
0x8d85ada666325e3d657d4355df4c7066edbd7ab2,14
0xfe6c17e467329740a12db926a2bcca732f1cad7f,14
0xe7a97a841876c9ec8c38fee297680aacefd121a2,14
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,14
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,14
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,492.15
0x8f3e2a9ac8f31ab17a493a6fe5951d0864f8dd66,11.9
0x62240ed3da5a4eaf22d1ae84472634f247474551,9
0x36aa8fc360172a26ea732f06f858263d7ee438f6,7.65
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,14
0xa885c5ced05658736659a7e525dce52975a8d62b,191
0x93fc3a77a2a7877b7f39acfb9640be332e7b2edc,11.9
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,202.3
0xcd6ac4c8d7682648bf47b1ae097c01909562117a,11.9
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,14
0x1744b94fcc98f514dcf242e7b03a719aa162e246,14
0x60b77bcddd7d9cd49f25c387fb0c65ed8b39de94,14
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,14
0x9964a001f3fd643d51244f305f425d2f85e6d06b,107
0xdc61e516d02204e27509fc8cbb135da2439a3967,14
