address,amount
0x15ec28d784903d43f8218137a81fe78558ddb12c,6.06
0x5C10C47B2D848e06a5DffA45B3bc10860797cDAd,35.37
0x522A57A9267b6A54ddE2f9a89863304CD0391827,90.96
0xA833C785bF752C52cE06b74e4D93bf52531539Cf,18.19
0x26DBd303F4B3CedF7D979989277d4C87FC112974,33.35
0x69276Fada1552f650Cd18BD9388287E22f16126c,2.02
0x491cF7629a2397Eb738A120fB13FA44BDBDc0E44,10.11
0x6cafb3c66d678c80383bf3bd11728208d89956e0,143.52
0xC0331edFE6f139d3FB36eC25a62c64c5394C77E7,2.02
0x4AAAa64B4D95Bc85E9782dE57EeF1EcC0886cc47,2.02
0xfB5430dfAE3EbFdBBa9217f1f91737f37047930D,4.04
0x89177d0318D3935d487d9fb9d1Bc5e91E0F00dAB,2.02
0x184923a184108680EFE7Ef3cF3a9b4892F141E18,2.02
0x2D812F34B6a421e9aC8fB75b5132FbA9db65351c,4.04
0xA028a3560458840F22428126e20AC088725E1D0C,4.04
0xa000C909C7ffadFA11E8761c2160A4c35602900e,6.06
0x0d0B7d8396AcA528D51A9aD85a5aE0E2903f1c94,109.16
0xAdACA3Be3CD853A3180eEa351Cf22576bEA0B5A9,2.02
0xa1670a8DB2F568228b3c1721d03Eddb3c2A48987,4.04
0x2Cbc78b7DB97576674cC4e442d3F4d792b43A3a9,4.04
0x4296afE4799f62f83Ef00dB325d4B18b0AC182bF,202.14
0xf083Da7Eb1a9200Ced04d0367786e4b1319C58b6,4.04
0xd938b623Ba89DdB2e17D8C673ea48939ad7Dd7dE,8.09
0xdC67de8277d966bB26d8f5465006Ba7cbF7B52a1,20.21
0x753b6384Ef3Cd4295Eb3e915919aA5f06b5b3FD8,161.71
0x9D3afA524B87Ba0a3b0907d3dF879d4b8F044A73,82.88
0x5386E7c0509b3d75BC96c46a3288AC0cf706DE82,2.02
0xDC922b6B33Ce36B02C44f3B09cf7EA6b613Ac939,113.20
0x313FDA29134Cfbba6682dFEbA13778a871aA588a,2.02
0xA2b4Be559db08800B988932B88b27D026bb8AA30,4.04
0xe204F2Fc6f5aA2BB968f1ecE326F59be4b514B0F,2.02
0x1fBD53696Adc9d8f39CcAb49aE5ccF297B9E4Adb,4.04
0x75CdB5d1EA94c79D77a8aeF3A2c67FEf80941Fe1,52.56
0x060899856Dd3c883A358d9F0432727369bA75BeA,2.02
0x552DCdFe814e661662dE4Dab67a63E9213f2BAf7,6.06
0x4F26669AF0Eb4cB31dF55Aa32c84DD55558904f1,5.05
0xC58D3876a94DdF168A9D5E470dE3C34d79B5Af09,107.14
0x5769CB1ED566d63530c10637Db1f2f5C8017C982,2.02
0x1655E0B5c0BD4a1C6B6Aec104d2A7549143F65b1,2.02
0xbE7CD41E060CDb07c548D6C65F1d786E43f1c392,30.32
0x9a849A108764a5cE2Ab4CD3208071B304a9Ac99A,12.13
0x6b5E8a38DEBb1C02E9fe852c2986D78b52877EAb,2.02
0x0095B77ceB0178AAa38DC14a13C95a902d021BED,2.02
0xCa52dAC830A96488AB73038b8eF5bCc43440dEf3,4.04
0x7163599C3fCd35537fdcB43c53afc1AdA20Ee088,4.04
0x319112568BeC6aF88d43c258F36D94319BF1Ac23,5.05
0x238c832e4D1FFBE65941a62D47CF44f7FBdf895A,14.15
0xDE32B2932F2Eb6C2126D4434352FE14Df083b5af,183.95
0xa39266F3Ef382cDE31d6F81fcd78E8e38eF0542E,2.02
0x22518d74f5Ff866548fb04EBeFF16303754f22D6,2.02
0xd025f432F3694C54036EED5C7D5B4a22210dF4fc,4.04
0x1A5d8EAaEF4515C50e9C98243F9578086B2Fd8Cd,6.06
0x5d6970e910255D89c1AaF51737A958595dC2d360,63.67
0x1d18dd07eca4b643c23d82fc134d0190bc4c428c,2.02
0x09C2dAf764D124E4154c61d350CC9a5E841584db,2.02
0xc7238807F9D1d99aa23540AF6935BaF6Bd95d0Bb,2.02
0x37ef79efaeb515efc1fecca00d998ded73092141,80.86
0x88C2C55FD079e8447ac8BC0B3bfae4fbcfa1EC51,4.04
0x6c9b488ADb261f16CF8eF5b445b7fF3fa31668da,60.64
0xef4491E9047c039eBA2C82D1389e14a184352B78,8.09
0x47BB70a7dBF575256e5A47b2267F5104A1143910,2.02
0xBD250C4A15692118e017709b80Ddf5ed037899f6,90.96
0xD68561fAb1e913E128eDCfddAC8B45337E0821a8,2.02
0xE35BCdD3984D62520F30141bd5f436a0e8B26C4D,2.02
0x0c44078CF63BEF378b23B9e988cF04488552eBd9,2.02
0x9Db8a9ecBA982A7bB61494f27dAb0B558ef4Fbde,4.04
0x460AfEA78A398F78476593D0bE4E95faD3795FbE,175.86
0x2FBa30393D3ce59A499ad9cB07E467541DF5B0bd,28.30
0x8837FB0fce8ce3fd4C5f3562b708a682fdb4FB3e,2.02
0x13E526a37BebD3CF011b0A11547BB3037815f56a,4.04
0x831DeA9E5D38F4CcD4dc5998E94009f9FB818362,2.02
0x10b9AcEae8cd6485A9593a270A5D78fc3Dcd86D4,2.02
0x06Dc0CBF44EED256C5975210095be703504a4541,25.27
0x783430fb446ef10e9e808837cbfc33e246c7f1b3,4.04
0xAa37610a859b574cF98534d4479A2e923EDccC3A,18.19
0x7049d10d42847397b0E52408F8F8c6C23f619b47,297.15
0x4d23CC74702A455D59CbeC5599868181964CA866,2.02
