address,amount
0x5547e93858325b7f1635187246761df3fb7c5ca6,12.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,12.5
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,12.5
0x3c34169effe7d8e238ba68bbdb3244290f914676,12.5
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,12.5
0x048054f6e13bb29c6453a12337999faaf8ebd72f,12.5
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,12.5
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,12.5
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,25
0xc2933176a9be2116721a2681e042111ad22f8266,12.5
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,12.5
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,12.5
0x9a849a108764a5ce2ab4cd3208071b304a9ac99a,12.5
0x36d10badd98b60119c2c240aca947535ef489c4f,12.5
0xa833ca78fea03d05e57e2e1bd449fb1f5c4893c6,12.5
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,12.5
0xad8eae37db38b716be099fd74556e9c61c9699c9,12.5
0x37ef79efaeb515efc1fecca00d998ded73092141,12.5
0x2568e6f373854aed031d9a7e562d98d93e8a80dc,12.5
0xb380dd81c3abd4b570b29fe728f985266bee751c,12.5
0x06dc0cbf44eed256c5975210095be703504a4541,12.5
0x7049d10d42847397b0e52408f8f8c6c23f619b47,12.5
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,12.5
0x0e37ca68f849818df0ab00d3eb73d72e72fa7ed4,25
0x13917942d857a1c06b0d56beb6616d3c3780c9f3,12.5
0xba6566814d7864cf6dfbc32c9a51d7869a32d9d8,12.5
0xa39df82b607abf79652e5fa6aba691cd7e129535,12.5
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,12.5
0xcac6e1becfe3217183eaf7ff85626a5a7ff80b4e,25
0x979ec4ffa550f15ca9e75b5100c907c28190cb74,12.5
0xb5421eae7fd3164197fa67ef906a7bb597cb0acc,12.5
0xbbcd2921e31295f2a6e191440697064a67d8953b,12.5
0x74cdab8c825898e7a15c9d5f83b93128646946ef,12.5
0xae9fe253ba3a5b6a416e478e0cee7c4416d0c963,12.5
0xea8106d2ae7a3dd3d40c742ae7267c4869f0ec1c,12.5
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,12.5
0x3f73561dbed168d1760920e6191fa2aa2b563269,12.5
0xd79df9dfdaafb194d4a9f1536af5a7a3b37ed8f8,25
0x4e470bedfb9543d67ca40da62795a6179a375595,12.5
0x3c53d93feae8ed0ef563b6c3c7885fedf39aa39b,12.5
0x44151c9e0549c7ab796e5d40124738fa11d5ceaa,12.5
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,12.5
0xb89bfe33458c2b739e4e7eee87d29db3199cc33d,12.5
0x724f852edc247de2e4def8b8ef4581e84e14c141,12.5
0xb5f0851f68b1ab9ec8701cc86a7b9e2f2461ac48,12.5
0x4ecbd895856551c9d1a61e6a109f184770ffd79e,12.5
0xaab0224011faa96e4e6fb888b6a954ca8962c431,12.5
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,12.5
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,12.5
0x772461ae4847ee00492910a20fa971b09b69844a,12.5
0x343a5c0d966e3f8ea004efb8939c7d71a60ae795,12.5
0xade7e113cd57b8a34f9f9fac24e6fe8ead718a7e,12.5
0x5b22816d2324f7c538bf6eaf382a0d2f9003f1f1,12.5
0x87f94e1fda93758a4523f53e76f04117500e4464,12.5
0xebaf22eaaa7d24685afb821d1972605265e31323,12.5
0x51e4aae33514af854591bc68d0052b670ad54698,12.5
0xeab4b7a41fedaf05ae29c6ce8b3ccb8122295e70,12.5
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,12.5
0xd07f900e995a01f519309f69aad87a4bac1a5117,12.5
0x0d61ca6c13d90d714d45e44c6e48d65ddf549af7,12.5
0x561bbbbfc0fb061ee03507334fc178ecdb478d31,12.5
0x3a550bfce7ec1c5e688f5255424da6f7407dedee,12.5
0x5a0f4eaac17c09bf59454f241d69282ac1a35e2c,12.5
0x3ba17bb92522b0f2d1ea7dbf413745efafe9632e,12.5
0x7f5f050d45a8ea62ecfa6bd595ec18a75644d3c9,12.5
0x209f15c4aff4a55ce722b14c49b9adb59244e4c7,25
0x8ca81dc4327b368f0c913cc29728eed9d779199d,12.5
0xa942e6909afca03398f9a91c8cd5e42bda9903df,12.5
0x4654c8ea28e94ae76f9e2b92f4180c84d27a7817,12.5
0x5239a0e729cc66c79a968f7b55d5e7328e0d9881,12.5
0x7aa62bb8fbb9cafecf20c9982c248f0cb392a585,12.5
0xb719d88063c799d1f5588e8cb462153601235ece,12.5
0x818255104e6453a48816cf81f8e9c8ce5055f7a9,12.5
0x8b319ce60c359a1482b03644d530faa4b9706102,12.5
0xdedb8b3a8a89c7a8b5057bddb6ced46f1ccba669,12.5
0x9305f2c1bfce7127c8d69894d12252dbdaa748ac,12.5
0x5936243909E906De3f92E600BdbDA0eCE048B649,30.75
0x45291103Ee841992f23031f305d66ADccdFb486D,15.375
0x2D3e6CD796A05E9861137Bf158b39738f8380961,15.375
