address,amount
0x5547e93858325b7f1635187246761df3fb7c5ca6,20
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,20
0xafdf0d2db709ca94d876284654843e862a7b003c,20
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,20
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,20
0x6647136a9b70b274b042e484846580343ebe8421,20
0x62b418aaabaa132a7ccae2a43e5653c6331c7b8b,20
0x1abd49d4781e4cc5520f4c5b3bdc15ea6fd91d34,3000
0x72c2644b668dd68d5e17c1b909ede7d6983ccb0d,1500
0x7323782438d68e885918c0f5d31cb26d148b8acd,1500
0xf3cd0ca00717b1158f2e57d3fe09146780a36c24,20
0x18118ec4a59fd35d3946fd92728c091f8723996b,20
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,20
0x8062e69af89430d0749697cede9614cda80325e0,20
0xfa4d6a4a9fd6d1822d57cc56be1d64e24cfd8f0b,20
0x09a48427a3063cd57d00c2c62f78b08aee654755,20
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,20
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,20
0x5c216d7f402b3f41eab91df35732c8994348536f,20
0xb2d2bcd1dcc8e86009bff5b8a165f3699b8bce9d,20
0xb4c36a777dc390fdd14f7272dee7fe4100085bf7,20
0x4c94a2c3b47c66207f8da083e70ffdf544191dd0,20
0x66c8bef6b19f0c34a7d7ce2d8855ad3a87661b25,20
0x4e2c3ef488a49d973c15e5bc4bbacea896fcd747,20
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,20
0x883e070f649c962b130f0e1aeb06b77a4aee2720,20
0x165d1dbc3c1f64cbbeedd79c262bb3b34d26d534,20
0xeb3b11851751d5ff679300062652ea16489acefb,20
0xe0a7ec9dff01c69200ffb76294c7e725f128bc79,20
0xb046c5db96924ca5ac4222b8acd50b427374a24b,20
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,2500
0x006e29f89849b619f21f5facaade10be3919dc9f,20
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,20
0xaa2f706b40a17878423f996c596f592582aaa61b,20
0xcd00e7a8db8cedd10b8e7a5f62c0a013555c2235,2500
0x7b899d1b3a155570882fd7c48f632db665f14250,20
0xe12b33c00da18e5c6fdfd83c06f4f999b3decc4f,20
0xbb0868dd2909b450612cc2b64986bd868d018749,2500
0x31ff43d8bde35e98510ab82ce0017f0f5ff2c271,2500
0xa8e29e32c57ec9288a8501814fea4c45a85d285d,20
0x6081172243ba9bbe33b88aae1a46a0ef2305a044,20
0xd3e4d8afe7b910fd51c7ae85e92ca75fa59be605,3000
0x138df0faa90859a6b6051c536fab3854bd64196d,20
0xd520d01a6d2820464d8b2a19f54011b05237d44a,1500
0x3169f86536e378110a8583e9f3834ef08e458ebc,2500
0x536debdd68283d7d911f71e1f79c44408854c146,20
0xf2634ce0dea17c428aa8e5a26a857e554e762368,20
0x67d03e55f3057dc0917caa986beffece0b79e9af,3000
0x0282b3f662625f2e74d93c6759fe9f031261330e,20
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,1500
0x97d3890c40b09bdf86f74de4c87411c454e81868,2500
0xd382c8f5cfdfd9fd0246b1b6b4eb57249a567a74,20
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,3000
0x7012817796b8c91e572f78e6892de6f9d2e4c055,20
0xb9344fa4a0b21e572534c3e3c2923d9b39060ad8,3000
0xefc5f301aab5764485dd3d7f0386355e2d296629,20
0xc04df29424ee49395e962858eb0babd29b2c14e9,40
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,2500
0xa31844ff9b1518d2bddc1611aac1c3d636f689ff,20
0x9002466da0a690ac4118262fd9f7bf096177c03c,20
0x13707522372ce29decb5a10b73a4bc8dfbe758f4,20
0xb32842f73c26ad9837f2e4bc7871e0d8e6db80f5,20
0x92cf90790805981bd59215b22e5570156751b1c6,20
0x6b7c1a1622d2d477db788b081061c34776824eab,20
0x06dc0cbf44eed256c5975210095be703504a4541,20
0xc38e638025e22a046c7fce29e56f628906f9d040,3000
0x7049d10d42847397b0e52408f8f8c6c23f619b47,20
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,20
0x3eeb3310604c4e4c6b2493dd0b526f8056550eb1,20
0x26a74e056eb4e3607792dcd87070e468878d14e9,1500
0x0e37ca68f849818df0ab00d3eb73d72e72fa7ed4,20
0x804c2b259494dd8d21ad367a87b20cf57de33e13,20
0xecf9d05a427b0f0e14e79001268afe00821bbe99,2500
0xd7eb4348672bb83aa3ff9fe2e4cd5b81f2f02a78,20
0xf964b013c1e96061ae29a601472a45bfe46fcb39,20
0x77fb6e328d317b5e199ba489cbc5e0ce199ee0c5,20
0x16eb79624cc2edd7ab6798ccd1936ef3ccc65c42,20
0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,5500
0xa29245f2b6df1de1330dee55a0fe17704c07e17d,20
0x8308223f29964f5a76cc1bc920e93143c3332695,20
0x2209fff9b18b7c284ed9a9a918e5eafe02717234,20
0x13917942d857a1c06b0d56beb6616d3c3780c9f3,20
0x55dcc5fc3fbcc90ea95999c41268d8910c6606bc,20
0xe5e94c1da023a82aa2c584f1891c7b4bda061351,20
0x30f499a20e8e6e2d72467d4753e1bb465b3c5895,20
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,20
0x66c2984a37dce51631d2ee36c093a40561e732e0,3000
0xf4daf58edb82454109aebbe086b4c242a3c219b9,20
0xb1e302b3a3b0de2173c1a1c2de19d2868b7c446d,20
0x88a9df668312ce650fd4a98d84ca83c9bd95d8f2,20
0x27988b701d7124eb5bf5ddceb6d31a24a706f093,20
0x92f60ff851b3fd7b1fbb1378480019dd575b1106,20
0x69e071f8455591fae6996e98bf1db7660b76264e,20
0xc29490f69fd2c2f8df1bced7db5bc95d3010ac04,20
0xd2374dd3ec4287907df11e293796cfed8c5a066a,20
0x4f9cb6376e790fd1b3cb93ae5e46c99bfa85c994,20
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,150
0x979ec4ffa550f15ca9e75b5100c907c28190cb74,20
0xe857a766811d24843a96ca419ba9491a1ed637ec,20
0xc00cee5d4243bc67edc9779bc787b4dfbe70b9e5,1500
0x49936f86152164bf3e97b4f2ce377a8f2c64280a,20
0x7f6a08619956ce15041c1e5485dae09a14831021,20
0xfcea915eb6129c2a2189508d48a9372b9299cccb,1500
0xc449c807e13a95f30487b790a9dc51e20ad836b5,20
0x633854231775bc63750a6b117dea1a30237fdd0c,20
0x74cdab8c825898e7a15c9d5f83b93128646946ef,40
0x03e67cfaf0c107844a02fa4233052afad4bd9272,3000
0x0bc407b8a67c2d7189363930797658719f9b461a,20
0xef1c6d6ae70e48030b0a0b0d97346105e94d41f7,20
0xbc99a6d7d1a0756f85e343092f6df70344400fd9,20
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,170
0x59ab465a843d3cdf5949a266fa18bf9518972ac5,20
0x3790656f07d0ca0d0d8662f0b3fc2a456882e90c,20
0xc865e3d7fe65dfc42c776e56099c955ef27a5b82,20
0x76296e9d2c782adfa7a8a570b161f3428066159c,150
0x2bb2768453fab788086a14e62848e2c440d59ab8,20
0x404935e6b798f82ef4e4c0c7d435a5e75c4618d6,20
0x8b71019b2438320bf98ab9b534fa59aff5f96c9c,20
0xac53987c4607d9e5d89b4e7eaf3451da3c42ab47,20
