address,amount
0x5547e93858325b7F1635187246761Df3FB7c5cA6,20
0x5C10C47B2D848e06a5DffA45B3bc10860797cDAd,20
0xAfdf0d2Db709ca94d876284654843e862A7B003c,20
0xb3a3598cF265F1BceC212fF901b22b1841f13FA0,20
0xC20c9688e2334796c420cfe9fb6297Eb0B9AC80D,20
0x6647136A9b70B274B042e484846580343eBe8421,20
0x62B418aAaBAA132a7cCaE2A43e5653c6331C7b8B,20
0x1abd49d4781E4cc5520F4C5B3BDc15ea6FD91D34,3000
0x72c2644b668dD68D5e17C1b909EdE7D6983ccB0d,1500
0x7323782438d68e885918c0f5D31Cb26d148B8ACd,1500
0xF3cD0CA00717B1158F2E57d3Fe09146780A36C24,20
0x18118EC4a59fd35d3946FD92728c091f8723996b,20
0x18301aC19CD1b9390400c6D0a6D800bdd68240ec,20
0x8062E69aF89430d0749697ceDE9614Cda80325e0,20
0xfa4D6a4A9FD6d1822D57CC56Be1D64e24CFD8F0B,20
0x09A48427a3063CD57D00C2C62f78b08Aee654755,20
0x4Bcf75211f31be86AA1a8C5Daf41c009fEae9303,20
0xC2933176a9be2116721A2681e042111Ad22F8266,20
0xDC922b6B33Ce36B02C44f3B09cf7EA6b613Ac939,20
0x5c216d7f402B3F41eAB91Df35732C8994348536f,20
0xb2d2bcd1dcc8e86009Bff5B8A165F3699B8bCE9d,20
0xb4C36A777dC390FdD14F7272deE7FE4100085bf7,20
0x4C94a2C3B47C66207f8Da083e70ffdF544191dd0,20
0x66C8bEf6B19f0c34A7d7CE2D8855ad3A87661b25,20
0x4E2C3EF488a49d973c15e5bC4BbacEa896FCD747,20
0x7681Ed0Bbbcd36b55d98D911F97ccc0AD2EB2174,20
0x883E070F649c962b130F0E1aeB06b77A4aEe2720,20
0x165D1dBC3C1f64CBbEedd79c262BB3b34d26D534,20
0xEb3b11851751d5FF679300062652ea16489acEFB,20
0xE0A7Ec9Dff01C69200Ffb76294c7e725f128bC79,20
0xB046C5Db96924Ca5Ac4222B8ACD50b427374A24B,20
0x1e58f9F9296B934d1012cD6cb81c08BAe83457d0,2500
0x006E29f89849b619F21F5facAadE10be3919dC9f,20
0xd025f432F3694C54036EED5C7D5B4a22210dF4fc,20
0xaA2F706b40A17878423F996c596f592582aAA61b,20
0xCd00e7A8DB8CedD10B8e7A5F62c0A013555C2235,2500
0x7b899d1b3A155570882Fd7C48F632dB665F14250,20
0xE12B33C00Da18e5c6fDFd83c06f4F999B3DEcC4f,20
0xBB0868Dd2909b450612Cc2b64986BD868d018749,2500
0x1185e92D82Ba54495baFE5516ddF19d88B6b11E1,2500
0xA8E29E32C57EC9288A8501814FEA4c45a85d285d,20
0x6081172243ba9bbe33b88aae1a46a0ef2305a044,20
0xD3e4D8afe7b910Fd51C7Ae85e92cA75FA59BE605,3000
0x138DF0FaA90859a6b6051C536fAb3854bd64196D,20
0xD520D01a6D2820464D8B2a19F54011b05237D44A,1500
0x3169F86536e378110A8583e9F3834Ef08E458EbC,2500
0x536dEbdD68283D7d911F71E1f79C44408854c146,20
0xf2634cE0dea17c428AA8e5a26a857e554e762368,20
0x67D03E55F3057dc0917CAA986BEffEce0B79E9AF,3000
0x0282b3F662625f2E74d93c6759fE9F031261330E,20
0x449F8C1E777C7feDC4f5Fd26ED8AC515aBD3f855,1500
0x97d3890c40B09BdF86f74De4C87411C454e81868,2500
0xD382c8F5CFdfD9fd0246B1B6b4eb57249A567a74,20
0x7fe7fe8663794cA6Cc3b6BB4680bCE03c026Aa3a,3000
0x7012817796B8C91E572f78e6892dE6f9d2E4c055,20
0xB9344FA4a0b21E572534c3E3c2923d9b39060ad8,3000
0xefc5F301Aab5764485dd3D7F0386355E2d296629,20
0xC04Df29424eE49395E962858eB0babd29b2C14e9,20
0xd84cD30cCEeA61e6D14D97BdAf22E0a8C55fcF1A,2500
0xa31844fF9B1518D2Bddc1611AAc1c3d636f689fF,20
0x9002466DA0A690ac4118262FD9f7bf096177c03c,20
0x13707522372cE29Decb5a10b73a4BC8dfBe758f4,20
0xe7b7f5622c00fe6856b618f693c8eee261e7fa9f,20
0x92cf90790805981Bd59215B22E5570156751B1C6,20
0x6b7C1a1622d2D477dB788B081061c34776824EAb,20
0x06Dc0CBF44EED256C5975210095be703504a4541,20
0xC38e638025e22A046c7FCe29e56F628906f9d040,3000
0x7049d10d42847397b0E52408F8F8c6C23f619b47,20
0x6a80c5b68d4d058218EB26d33c454828aa4e3766,20
0x3EeB3310604C4e4c6b2493dD0b526F8056550eb1,20
0x26a74e056EB4E3607792DCd87070E468878d14E9,1500
0x0E37CA68f849818DF0AB00d3Eb73d72E72fA7eD4,20
0x804C2b259494Dd8D21ad367a87b20cF57De33E13,20
0xEcf9d05a427B0f0e14E79001268AFe00821BbE99,2500
0xd7Eb4348672Bb83aa3Ff9Fe2e4CD5b81F2f02a78,20
0xF964B013C1E96061AE29A601472A45bFE46FCb39,20
0x77fb6e328d317b5E199bA489cbc5e0Ce199EE0c5,20
0x16eb79624cc2edd7ab6798ccd1936ef3ccc65c42,20
0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,5500
0xA29245f2b6DF1De1330DEE55a0fE17704c07e17d,20
0x8308223F29964F5a76cc1Bc920E93143c3332695,20
0x2209fff9b18b7c284ed9a9a918e5eafe02717234,20
0x13917942D857A1C06b0d56bEB6616D3c3780C9f3,20
0x55DCc5Fc3fBCc90eA95999C41268d8910C6606bc,20
0xe5e94C1Da023A82aA2C584F1891c7B4BDa061351,20
0x30F499a20e8E6E2D72467d4753E1BB465B3c5895,20
0xF3E6f86Beb14875Ee52838D55A6a9c685f546cA4,20
0x66c2984A37Dce51631d2ee36c093a40561e732e0,3000
0xf4dAF58EDB82454109AebbE086b4c242A3C219b9,20
0xB1e302B3a3b0DE2173c1A1c2De19d2868B7C446D,20
0x88a9dF668312cE650fD4a98d84CA83c9Bd95d8F2,20
0x27988B701d7124EB5BF5DdcEb6D31a24a706f093,20
0x92F60FF851B3FD7B1fbb1378480019dD575B1106,20
0x69E071f8455591fae6996E98BF1dB7660b76264E,20
0xC29490f69FD2c2F8DF1BCED7Db5bc95d3010ac04,20
0xd2374dD3Ec4287907Df11E293796cfED8C5a066a,20
0x4f9cB6376e790fD1b3cb93Ae5E46C99bFa85C994,20
0x6671219099eA6CCC75Eb3f4f4200D46A97b09a19,150
0x979ec4ffa550f15ca9e75B5100c907c28190cB74,20
0xe857a766811d24843a96ca419ba9491a1ed637ec,20
0xC00Cee5D4243bc67edc9779bC787b4dfBe70B9E5,1500
0x49936f86152164bf3e97B4f2ce377A8f2C64280a,20
0x7F6a08619956ce15041c1e5485DAe09A14831021,20
0xFCEa915eB6129c2a2189508d48A9372b9299CCcb,1500
0xc449C807e13a95F30487B790a9dC51e20AD836b5,20
0x633854231775Bc63750A6B117deA1A30237fdD0c,20
0x74CDAB8c825898e7a15C9d5F83B93128646946EF,20
0x03e67cfaf0c107844a02fa4233052afad4bd9272,3000
0x0bC407b8A67c2d7189363930797658719f9b461a,20
0xC2f1485677c9805ad1Db8d8375CC58daED9073da,20
0xEA7c1aADCE0fC411562dD219f1D12ee062cB376B,20
0xEF1c6d6AE70E48030B0a0b0D97346105e94d41f7,20
0xBc99A6D7d1a0756F85E343092f6DF70344400fd9,20
0x8BaF1Bb6D6E52B6E81a9d780C2F36FE507DbF6a2,150
0x8BaF1Bb6D6E52B6E81a9d780C2F36FE507DbF6a2,20
