address,amount
0x13d2a02530e987f68b9df14aacef417525547410,170
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,85
0xd05d24efe9b9ba97a2b03a017d2c034eb6f63d62,85
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,85
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,85
0x8f1ebb7142bc87e7b6137b5e8efac34033d63aee,85
0xb87783f3f82c126d3dab6873ace6878d60d15d5c,85
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,85
0xa5135394d563e323e83b5c1b097acdd7a053b40c,85
0xd360e264197ad44d61d4852416c1a831f167089d,85
0x3689ce974118ef6bc7a692b420240840995f2b08,85
0x27e12c5f1d315a75337190e23fc85d1590156d30,85
0xc46559d8775552d6a6f64224a69e7d598b82a11c,85
0xd36597c4c67eb713c96457d3d6a32002db4d9609,85
0xcf87536d261f5e34930311fedef7dcaad0415c37,85
0x64d6e0774917bcc18bba2b3051283aad4e20afea,850
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,85
0x62db1661ad765167ab28a2bdaef785f049ac9498,85
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,85
0x6bae68188d83f01ad5e2e5b4744a2ebb4f68db2f,85
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,85
0xdcb6279c0a606d0483322cbec442a98e566c347c,85
0x0b98a5dc716c9a41a0e8cd9b1e5bbec607018493,85
0x75fb57291d1c90398ed85d37de829f06aacc7587,85
0x3780634b2fa723edda37e5dd672a6437c857710c,85
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,85
0x47fe1d33cc44133b48709ce5b5dfe87c381a4cd4,85
0x701844ae6e8bce61254a434caac62097ef08505c,85
0xa5b177f6afc463a14d6bf40bd81f3b35810a3aea,170
0x2d60a5714fca4aee015478b5d3774843b415377c,85
0x893aacacaef1cb4e14e7f27eb7bdf2299569a6ef,85
0xc61a5372666267eef5a2d59789c9b1eb1a0565a6,85
0xade1683f0466c4d748a22cbcd4b5443a504400cf,85
0xc92c6aa14e3dc1d644003b8b98837cd2db294ed6,85
0x90d05705ef23bbabb676ffc161a251c3cae9c966,85
0xa4ec20c0751d78777274606d0d71304d1c191f96,85
0xc88924eda18b61e8ccb76e2888bd5575a8844d8d,85
0x5d505d77be8a936e0ce2f1b1a05843ed7f563735,4250
0x372c4d929939fe133b98ed9f56533eac7c73014f,4250
0x0105364237048d296bf72bc2b2aeca3792ff537a,85
0x9a66f5f0e88fb1b91710bde2b73d537e55f620ec,85
0x52cdce12cd12034c28d05dabff07fd23dfffb2fd,85
0xb9344fa4a0b21e572534c3e3c2923d9b39060ad8,1700
0x573f19f34578611e621f1a83ae3555143f4d6522,85
0x3c9f94a51bf53236fba6d2a615e6a71a5e93ba5b,85
0x656aa8109cc0135d2d6f46cadd499ba9c6610de8,85
