addess,admount
0x16e70864f9f80a94ee367427f61028deb2b55f81,297.5
0xa9246678855b64be286a36c37fba1198a97cc82e,595
0x2b3d820cab9970dcadbbbb667e012b927608d17c,297.5
0xdf506e98fa069a324fe1b80ecb3f29035ca0d3cb,297.5
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,5652.5
0x3a86e924c68c8156178330fb73b50759c7222943,332.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,332.5
0x9964a001f3fd643d51244f305f425d2f85e6d06b,1140
0x6100d6420a80b4f73cdf9460350e07f2e13f0d72,297.5
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,2805
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,297.5
0x9df7b698115832857df445d2da8ca936fb399fb9,297.5
0x9da0832f96bb1b91467e2ba37fb7b19f71c7eaa7,85
0xacb35943f9cfc5a170017cd7fbe67799eb568c0e,595
0xf85bf6aad638077c9f2a1827ab0c69beb9cd6fa4,297.5
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,1190
0xa5135394d563e323e83b5c1b097acdd7a053b40c,332.5
0x52332ec46bbd2d600dc00825583576b9483eaae9,297.5
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,637.5
0x28b460e553ce81ea5ea5407ece30bba3903af23d,332.5
0x60b822f7e074bc3d6f94f30b8ef9999dc8b60158,297.5
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,595
0x84214a000ba9a1da76cd424d267e67bb861893d6,297.5
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,297.5
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,297.5
0x9e2c3ba5e045e49669b21ed1735bbf7a2e422d82,297.5
0x3dc899e8f576417321cd61d2cb563eaee43793e2,297.5
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,297.5
0x63a2640b79098f5d5d457611c22d380f0ff5b101,892.5
0x9ebdc1767b0c33878fcdd20db734b28e9bab9e28,297.5
0xad8073ae3aeda481468143ca12257b9c6ed3d9d9,595
0xf92735fbf19aee90b89e4df028341f02b2fd71f9,595
0x09f213953d92f865b949b3e39b9dcfae687d4966,332.5
0x153421a5ec98702238c5baa8a18b4a53fc059d41,297.5
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,595
0x64a53d7a2c6785ccaac349fb172c0f85c50bc0bd,595
0xa30ff788ebac2878dc36ec379e55deb02c44049a,1487.5
0xcf088dec99ff0953eb95f65488fdf9953ad83d3a,85
0xdd8804e408a21dc344e2a480dd207dea38f325ce,2185
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,297.5
0x693a2d6ffce4c09cd8532e5f54548a7872841f77,297.5
0x7f92c5420b4a4029ebcf1a02bbf47dd2cf707312,297.5
0xcf49ab9f2838921530c294c943050cde54ebc016,297.5
0xa73ffed36bc22ba6ed70bd3878baf54db8ad767b,595
0x4429683073214868138506ff716cc05b9151aa01,297.5
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,595
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,1020
0x8af76bcb6dddafc088c239eb118355feffcce0b2,297.5
0x485cca2b19af0fbb53a79af3314a3f82a367396b,297.5
0x50d1f2a1767d6adc6801ce7f303944eaa7321af3,297.5
0xe01bb9ff9216739934e3d79881b3bc5caa4464fa,595
0x268e01352811aafbe0e9f5e7e779479f4eebc926,892.5
0xc2933176a9be2116721a2681e042111ad22f8266,8372.5
0x9ebf66df497230c64847a38d51bbc921efa6bdf6,297.5
0x769c9d334b37c6e9207c3dfa912fd0f4731f21e3,297.5
0x6dbc8be00eec9cce07ef04096c9cffe39e8d8bcc,297.5
0x8b540d1aa24b9ca303563c1e95042aad91730787,297.5
0xb870f75ecef5dc08da432dde71c4691617f3d7ba,595
0xd1743ffe7be923a1236de03c40e26ad51d6c2762,297.5
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,297.5
0x5b6374158552480655ca082e4ea1135f87d3bf47,297.5
