address,amount
0xb04c0fcc4d67f4dca1aca0ef6afdbb6e467f8600,700
0x16e70864f9f80a94ee367427f61028deb2b55f81,350
0x16d83eb82900070fe81eb034a4873653218f1e73,2800
0xa9246678855b64be286a36c37fba1198a97cc82e,350
0x47785c5533f1009c7ae117fe488d5b3d2df6caf0,26800
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,55050
0x2b3d820cab9970dcadbbbb667e012b927608d17c,1050
0xdf506e98fa069a324fe1b80ecb3f29035ca0d3cb,350
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,60300
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,350
0xe7a97a841876c9ec8c38fee297680aacefd121a2,350
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,350
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,60616
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,350
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,350
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,53950
0x59297f10bad6919d66c7da787d0bcdc542575c17,46900
0x06575fdc938114069e22c31e2125520b036a9a0f,13750
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,350
0xc4baa22875102821bd01f572d63679f5f1cd8046,400
0x69c9eb173cb4b5d9bfacdf242fc393e7a4839e9f,33500
0x05eb7d7e30b05264ee79fc9015e27216c4f06f34,350
0xacb35943f9cfc5a170017cd7fbe67799eb568c0e,350
0x5136d9d074a180def91b118d954eb950419ae1ba,3150
0x088bd1fc55dec0199167ba564cae6293cb6629f8,350
0xa5135394d563e323e83b5c1b097acdd7a053b40c,600
0x52332ec46bbd2d600dc00825583576b9483eaae9,350
0x18b701e6c2d3cb64025196716e4055ee09033bf8,26800
0x5e7b2225b27fc722005329b032bdd65f8354b1aa,26800
0xc0fbaeac9d799a47577bcfab80bcd1b54142a13e,350
0xd28cec4c91533fc8e70debf9cfa1ff2b6822d9fa,33500
0x93cf58d7c486898da4538cb9058772d92d43b1aa,400
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,47700
0x81a7627fff5bc3ebe7a43cf7a1ee7271f248370f,350
0x048054f6e13bb29c6453a12337999faaf8ebd72f,750
0x11129c98a269742177141de456733e9f977f81d4,350
0x60b822f7e074bc3d6f94f30b8ef9999dc8b60158,350
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,350
0x84214a000ba9a1da76cd424d267e67bb861893d6,350
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,350
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,350
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,350
0x943fba84e1d109c66ab2e2059ef00da3a75b2512,350
0x9e2c3ba5e045e49669b21ed1735bbf7a2e422d82,350
0x3dc899e8f576417321cd61d2cb563eaee43793e2,350
0x80166ef38a42a3c5d565778b5178eb4cc134db21,350
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,700
0xd894b25119f39aea58d786329619f0f564a99a5a,20450
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,350
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,350
0x48b908196a9c9dcf80316f5229cbbdfd35feb31b,350
0xf92735fbf19aee90b89e4df028341f02b2fd71f9,350
0x066fb187404feee6ee7f6cde21697cea1a89ec23,7000
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,27500
0xd938b623ba89ddb2e17d8c673ea48939ad7dd7de,400
0x153421a5ec98702238c5baa8a18b4a53fc059d41,350
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,350
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,350
0x64a53d7a2c6785ccaac349fb172c0f85c50bc0bd,350
0xce18d9ddfd5708251313bff5e88f929aabc8c53e,700
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,350
0x9f7373ac91a3b16afb5c5609f51d6de7864951ad,350
0xdd8804e408a21dc344e2a480dd207dea38f325ce,8400
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,350
0xe17a29bd77368dd1a182fc90a863c3d1e46fab6c,350
0x5dca83ae634bf6a34e4e232928477cf25f6addb3,350
0x4429683073214868138506ff716cc05b9151aa01,350
0x3c96cf8efe0a1ffd23a369409c2ab53ed7673138,350
