address,amount
0xa5135394d563e323e83b5c1b097acdd7a053b40c,41230.00
0xa85ad2e68e677868becb28462e5665d7c9e2d7a3,3187.50
0x7df4115afeb88550ae0cee6866c7702119dccb49,3187.50
0x4d31a06c67c67d59f02f5877ba13c57577654f70,3187.50
0xe31c8859fbef63c223df0d0c4e5632fdb72dda64,1593.75
0xca938eb26fcee9eca1a113ecf71c31ca6d1ea9e9,3187.50
0x781b7f72ce148148a97563e2b17e211a84cb92b8,3187.50
0x3de3e42840ef8ac43541f82654789de2500f34f8,3187.50
0x380bfc0d6e492cddd5b7f537dcfa58fa2ce419ce,3187.50
0xc4f3d71d40e4bb23cb26bb96598b6d78829fa82c,3187.50
0x40f42868dd5c89347417a7916902251e7c7891db,3187.50
0xbe2bf94ac6ba0dd368fe6cfbc7ff07f64d59b127,3187.50
0xee468eb3dc0a5b88a9ed0d7c2149bedb5908920e,3187.50
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,34000.00
0x3b7c03af409bbc327f8ee1d507a718de0f3e2c2f,3187.50
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,53437.50
0xa426e724260f01c6cae176c5ad5c46077b16e0d4,297.50
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,34000.00
0x3a0d7a44f17173c379c1436d43c2ef9ad495a593,3187.50
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,34000.00
0x9AC2f04FcdBfc8033cfAE0abFeDa793995959A07,297.50
0x334f03ebaa3b292b4caba803f10e515c5165725b,4250.00
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,31875.00
0x173edb144dd9f156c419751a1d4eb2346915cdcc,3187.50
0xfb40932271fc9db9dbf048e80697e2da4aa57250,18062.50
0x5fb5e0bb3d45e0b532c414adb54e22ca87530cc3,3187.50
0xf09f18ab187a0c559d60ed2852a2f7018dcbc2e0,3187.50
0x8028e1230aa686bef019558fdadba0ed3608a6c2,3187.50
0x1187265a256e75c938f212ac0c2cc9028bad4990,3187.50
0x2e4727d277b2aa345d5d10bb9738b1f625a0afe8,3187.50
0x5eada99777f4b3df0d5b499c7912a480cf66e7d4,4250.00
0xb994b9caf6f81453b02b1626b5ba6b28d733bbf9,31875.00
0xb6fea65c7a5f2e1686f356eab179b77b4f1d0468,3187.50
0xf2325e101eaCA833670AB75D846406dD482e3078,75437.50
0x2002db5efdc6e30ac611bc0303a5b6e4a3cfb2cc,892.50
0xd869d9d3357f3302afe1c11c9db9e7518613ea9b,17000.00
0x2e480c494d92e40b1296ecdf331a190f42a9daa6,3187.50
0x527e5c08d360f2b2a1c426245297dd2876c53a8b,34000.00
0x8cddbbf2a1517bd263ae9d9ad47b3c94753d1bf8,3187.50
0xa5ec0fe36ff49727ada0b1b365be8f91a6b9bdfb,39781.25
0x2aee7e9bf7e37fefe748a6ab667af81fbf64ee0d,3187.50
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,5312.50
0xd5af1f64d3dda90ad0e1c29821b49fa2656cfb85,21250.00
0xc04df29424ee49395e962858eb0babd29b2c14e9,34000.00
0xbb088b60f8acbd24051cd982584e3af06b58596b,15640.00
0xbb287b63978370776321e2280bf072b4b8a59f90,35625.00
0xd9300ea9da28140a4cc47dbab8545dd3aed42521,3187.50
0xcdc53504411fbbabe0a882ae35c5e43982e5752d,3187.50
0x58ba9a3b4b5a7b57603f034adae23e963f3d594b,31875.00
0x40174a3c92a7ad071ed290df18d732e95411b29d,892.50
0x8343c1f21360a660caa2816c4f90a7186a9dd74a,3187.50
0x646f820c56ee5ac290c000c2fedec462f7d367ce,3187.50
0xb1343ac919431a36a5c129bfb4abb52a2eee4584,3187.50
0x0a09c00d336dd20c105ff11c0e3a1f96f0f2b4a2,1190.00
0x2bfdddc57f37c08d35e3e7828d7d3819486233cf,3187.50
0x38df7c721fff7ca5234d0306fb2b1c3a6d423ecb,3187.50
0x969182504dd6506ef431983a19b34897cd5f136b,1781.25
0xa5442966da959820058b0c1952b0b5746b65d318,2975.00
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,77187.50
0x0026542fdee6120b1ca0407ce6087369a198467a,31875.00
0x5bbe2e7091bac2422ee79d205896c33477f682b8,297.50
0x821b5726b9fb18dc1f07ce83898131f57a9c500f,3187.50
0x0ff7ace04d469dbff7c2a22d23eecb58c1e4cc83,3187.50
0x7a25a0d5698d9716bc90b24f6e9726d4c904ecf3,3187.50
0xf1fc7fa77ff1d6d9bbf9c3d0fe3896aa662e7d94,3187.50
0xd9dce5a1c20c60663cfe97ce32c28eb4065d90a7,31875.00
0x3cc46a0a6a9061f9cf5494043418b8c3ac290fbe,3187.50
0xe7649f0800dd38cbc1261fe912304d4f0808bffb,3187.50
0xd51677f0d646f061f1e8ed47066a1ec6ab29868b,1593.75
0x13c5450ef1b82d2f5af323763c0583103febe25d,1593.75
0x60131e161a22984d31e22b059133e001027b4661,3187.50
0xcee7aca884a9a917ad7d965e9a29163c42e9ef1b,3187.50
0x282eabb9f8ae93566fe42229ab7873ee5a7b6640,3187.50
0x862ffd3d0194b2c3bdc22750c27a2d63b6869035,1593.75
0x0faebe044d88f3dfa0ca30ff41591dbb7d6a0498,3187.50
0xd7b3a81b0a1af9699186ac4f5ed6a7570d1569d7,3187.50
0x2e224921f0eb93417c574a6c41fbcc4c0e34a9c3,3187.50
0x6fc4cdd665e174cf19a3e4cb1d4843e5fbe294f0,3187.50
0xfa8fec24da4ea11124692092d78f4c7d075b40e8,3187.50
0x4d7866752e94b225e58423ec29ddf7925a2ab40d,3187.50
0x2d4982d5c2d3eaaf3fcdb57896b70bd34b99350b,3187.50
0xbee64dd5ab47f877b2935a11412c269d91877fc4,3187.50
0x75c4722295a69a35f4a3fe45a71081eb9ad050e2,3187.50
0x655adf966ef416c81d3948cd63553cfd07dd3bc6,3187.50
0x3615ec1dd9deaaef5e555c518aaee0fee71904d6,3187.50
0x4a81bf97e4d5caf430840b4cc5813a9b5837fd3f,3187.50
0x215f79e1a48f2fbd3c2b233dcdd5d8c1254ccc52,3187.50
0xf715338c6648962a61aa4699816a261b7bd7c136,3187.50
0x3f690648b23cc519a9fd7d946c4be4fddae0c308,3187.50
0x4c2da189be960f05746e9294213cef6cf7957006,3187.50
0xcd72076abb0a178444a5f0d43743e7ff22bd846c,3187.50
0x0e9ce4384cccc8e387cb922703446de46149aab0,3187.50
0xf11f561c89a53f3c06a61822837ad9bbd4452dff,3187.50
0x7f26956e4ed1e0ece8ac8501e1f2b4373aad1a6c,892.50
0xcaa53fa3c33da82bad0ddd0ac56b040700cbcbbe,26562.50
0xafd55eb54cab90e42aba7886a4f54d9a512c8c55,34000.00
0xd3dae942d5bef46d6984a9cdea19012dd7b8b11f,34000.00
0xa9205b0b3aac5e27929acd1e284f4768c2231274,3187.50
0x44271b331ccbc0a38c6a69b68433ab5e2e3bc717,297.50
0x02709df42141d7dcb3e63423ef147b494382aeda,31875.00
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,35625.00
0x05b109cdce4f374406d8b5fa9761e3f99e9ebdf7,2210.00
0xe0f9856a45603563fb6816f0d343053aee09530e,31875.00
0xc96f70172d16326395525e154c7c868f98e00e5c,26562.50
0xdb3aba66da08c1bc770b9b764048f7fd9c3dcdba,68875.00
0xc1ca380e88585781e981782b3654f1092eab3311,3187.50
0x498559b0d953d52c658d9f91c96e921b2153d29f,31875.00
0x27dcdfda6e6deb81f8e3e7337b664bf937fe89b0,3187.50
0x0c0d3668fc89e5f4f743e211e18b0cf29576e2b2,3187.50
0x1147d080a27da74258d977e6f515a6d4aef00450,26562.50
0x8f962a44c8e972bcca73a1d648c52fe0f58e7c94,3187.50
0x9f5cfdb271da1100df86caa10243f3120ba4c6d9,5312.50
0xb23848a0058a4b77cc20eb5ff93aa4c5c8081849,31875.00
0x67d878d3a1c04a8fc581867f82efd148134f2196,31875.00
0x692794fa619484cb783d4890af4d928dcda1bffd,3187.50
0x8e49cc5b460664f9a922836482e2f873354192d7,3187.50
0x67d6c6ed6138a62086ea47e3f0f3952bdc7adff8,3187.50
0x5b3b01e21c9cbe8c6574365a2445668b5eccb45e,34000.00
0x9d7aa2ebce91028813a84804390be7bc2eea877e,3187.50
0xe3fc0a0ad9b45baf3edab7f842291a7726ca4057,3187.50
