address,amount
0x93cf58d7c486898da4538cb9058772d92d43b1aa,200.00
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,63.75
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,1912.50
0x13d2a02530e987f68b9df14aacef417525547410,760.00
0x2b3d820cab9970dcadbbbb667e012b927608d17c,935.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,1068.75
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,892.50
0x9964a001f3fd643d51244f305f425d2f85e6d06b,356.25
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,765.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,212.50
0xc4baa22875102821bd01f572d63679f5f1cd8046,510.00
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,1020.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,71.25
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,63.75
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,1912.50
0xd894b25119f39aea58d786329619f0f564a99a5a,356.25
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,1785.00
0x38c271c9fc3a0e244a752b25a31d93a63767d567,956.25
0xf811c7cda02d03012577d45d9cbfad4358d5390d,85.00
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,1710.00
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,1190.00
0x83aefe167d325682f8f02fc9b96a5df4c39ec840,170.00
0x105ae383f4003f634f8d4a479a61454f0765cc1a,21.25
0xf918e2c7b8d363de8491d193a32af6654b2cfcea,255.00
0x066fb187404feee6ee7f6cde21697cea1a89ec23,701.25
0x2434a3896ce832932672e9c0f7c35f0f34e04206,765.00
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,570.00
0x42962a2ed76d952ddf11ad6bcfe0006e491c7ce7,1425.00
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,637.50
0xa458e89dd8d057308283bd9c4a6ebd596e302287,892.50
0xdd8804e408a21dc344e2a480dd207dea38f325ce,2196.88
0x7a52f357732da1265067120d3de0795be1ee1bc7,850.00
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,1190.00
0xb4628a78ddb02c2255add70f94b77e97631bb26f,478.13
0xc2933176a9be2116721a2681e042111ad22f8266,510.00
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,478.13
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,892.50
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,142.50
0xa2b4be559db08800b988932b88b27d026bb8aa30,850.00
0xdddfba98691e31ca04c2d7e0ca44d4118639086a,637.50
0x10716aaffd2097228c78fb8a7d844eabc85497f5,1710.00
0x2282ecc111b7acabe470053d4a09472bc07b8d00,765.00
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,510.00
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,956.25
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,1275.00
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,637.50
0xfb40932271fc9db9dbf048e80697e2da4aa57250,701.25
0x04cb973558c83c37fbecd78b6e1b6b835cc4dc4e,956.25
0x67b271e10dc48754863723981cc97afa3a034170,1275.00
0x23d344a3fe9450753324523425eac8bb6754eb8e,1168.75
0xe20254111032f19fff333fc59faf2b0d4dd79d41,786.25
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,510.00
0xd586faa55f787518b0feeff12788f40ca7d01f74,510.00
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,1912.50
0x9f77f69848852c1a2fc529d2663b05af30559ad3,956.25
0xa9740c509f10bdb4908507345cace1288875a7de,1179.38
0x0d61f0a2b168d38292a6e10d85a2f04b34d65a3a,2709.38
0xb994b9caf6f81453b02b1626b5ba6b28d733bbf9,701.25
0x699cd19b47c1dd51da37c5c001136d65af008e91,42.50
0xfb5959e3f9401033273ce1009099df6f0f972030,855.00
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,765.00
