address,amount
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,2137.50
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,956.25
0x81dd61b00484ef2d0ba10f839bb3137ef577fe8d,2137.50
0x3c0c93148c17a06251dbd7568e81dadb4dd88722,63.75
0x2a6904524b9559f9bdd162f4ab481d64c70687cf,956.25
0x53d3b926bba22f37d27082a9b56a4b6d7f2cc8ae,478.13
0x32b757621a286104fa0b045ebf2ebd34b495a5be,956.25
0x4817e02efc9131a8d01f4745721d1e5048b9eb45,1275.00
0x376296316a8cc6d5d62dbeaa39787fe9acd6e891,446.25
0xe4123f89c79dc32d1ed698c060f99b9e3d29eec1,42.50
0x521905d31bd460b4543a24cab151e90f3bd916b2,1147.50
0xc5b2b20944923986885ae33c3517e59885fb5246,42.50
0x23e015c60b98df74ce55b9883a1e02bc8b0533ff,191.25
0x7cea6612d62d82f9558355133e9a648f09234d1c,892.50
0xa03bb69f2a9bad04e028d2d4ab62c5fcb520cb36,1147.50
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,4275.00
0x9b448cf7dc9e69509cf9e7066cd97060568c68dd,1377.50
0x81c3c19bfa93c8a28f84538268dadb01d4af3f6e,127.50
0xe3833cef090b3cdd39c7cdd6a0ebfef39aab9ce0,63.75
0x9f2eafaad26804af467165058926cbf756c73580,956.25
0x59cb74bf4d08ca18710a193812a62abfcefcfbeb,4987.50
0x87716cab3fcc7b5c5a8d0aff06cdae0a716f4e7c,1912.50
0xdccf5c4b65fecc4c236b0cd2d455838d2d526806,42.50
0xfdda0edc48dcad9964ad7c3e070979210913390e,1020.00
0xc434e27ac8385f79156a9798f305484fd821bcca,2231.25
0x0b46727a870a86c6ebb34a814389f5da8bfed665,1852.50
0x3a663169d2f7fdb3594e8faa1afca38047abc262,3027.65
0xd3ec9cf3f43a8d975fd02f0a1c2ba1a8ae90740b,1126.25
0x71070f336bf45a0193137a8a501914b4fd54230c,425.00
0xc7962b984bd27fcc98885a3f937b16ddd0bd3ab7,42.50
0x1430d679b872a94dab5e4e0f1049675e471cd02e,1567.50
0x8b190a162e643760d91a02fb35dcec858c4e51dc,1068.75
0x6169ae7075c96a59533318c91b67009450e4a7f8,2137.50
0xbb3ed2a0eb60eee8c0dbf6d1b74e8b0a21fab056,1068.75
0x390c6a2157358890377066da91804a3774cb2fcd,1785.00
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,1330.00
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,1912.50
0x87f94e1fda93758a4523f53e76f04117500e4464,255.00
0x8307bdd87540ba4ba3265fb7779e839569b6d9ec,63.75
0x3744baa47228b390c79a8a06df241e48308dd680,892.50
0x7b234f98ababd152aec3bcadfd5c005997917a1e,956.25
0xca818fff663e3623033cfb0c4d2fa47869bd7c2e,127.50
0x7ce4acbf73f1df0b1a5c0bee6efe38595d6db358,1700.00
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,1068.75
0x0a70f98b11ca31ee7d4f7899a7e09b28c9d7fca5,1275.00
0x2d79b193877391ef4856c0c7cecc7dd54435c44e,127.50
0x6bae45e600572c29751becc6c56bd315de2f5b78,42.50
0xc70fdce789d59d3edba8c3efb5da283ff2f54eaf,127.50
0xc05ef673dfbb15b0e02f58971b2dd9088b43fe99,71.25
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,2137.50
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,701.25
0x5a0f4eaac17c09bf59454f241d69282ac1a35e2c,3562.50
0x68e9496f98652a2fcfca5a81b44a03d177567844,2550.00
0xc216667246da6f31d2dd052ad90895e5d20423fc,510.00
0x31e056d79185d7cca5f97634ae96347d0572c991,2137.50
0xa5254e3e5c3dec8ee1e3fc983716b17139b3cf55,191.25
0x494f205fd1a250888c714d99b48db56bde9881ab,127.50
0x2fb8fbdfda724931525f96cace0d435d8cd9c4a0,100.00
0x2390507ce0ee6d75a063221315cb1a83a6799f70,1275.00
0x3685ff77f8e4deec9abe29cea15e33209863d4cd,828.75
0x8717e32e2bdafd91c0f1821bae3869ca79ae9dc9,127.50
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,743.75
0xdac1cf9297125413358b6e58e82ea966ec1549fb,1068.75
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,1657.50
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,85.00
0x302809f7d6cd34d737df352c798e24699d2048be,95.00
0x7d33d403fea03505a76f1e06ec9b36e36ca390bf,783.75
0xe212ed91564f151b0da47f4858d2dc1fc56b2575,2137.50
0x6d4793ecab20bc68e13f776fa2add2f0dc69d8c1,2137.50
0x192513387b1bc31597ebf9f858e19bcb410ead6b,522.50
0xe7ae9834f1a506a9ed3b627e5ed515756a45614f,42.50
0xb8e3b0948009e77df382499f94a255dc8df22336,1700.00
0x4dd2d6c6fe4659ba469cd4b7587fb520087fc4cf,255.00
0xc46547ec383b5f348956068ff06a6d23dc52afc9,403.75
0x5a071eda081d7eb37b96c3bbbd3c582f47d324e4,701.25
0x235459272603282667d29d85461db52825e8d19b,1190.00
0x6a8ba907725743d298ed148e9c5f008e3fae070a,1530.00
0xd907d10c79cfee4caf60602ee75cdd23eabc0df9,807.50
0x2c11464dca0149a64516dc1986d1c4a2058782e5,63.75
0xb67d81bd489a1974b0010d48c81e47a7d7e4db0c,1020.00
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,1083.75
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,1852.50
0x2a2eac60f657cf295ca97523c49f578ca61183dd,318.75
0xa70daea5c2cbdd9b14a85a707e2c74ccca6896fd,1912.50
0xf2b6623fecb00d42a6da8ef2a772a4bcbf99e38d,318.75
0x8168cdbeb26874b668cc73a15294868ccf6a8d02,85.00
0x9ad6a4d4655c393e592d5bb81ff0beab54ef74dd,570.00
0x9d09d934cf88694650dd335879a7e33114d78013,318.75
0xdc81f78c4cb90a8b0caed4536a3f4c65d3aef1f9,85.00
0x9b9977d825bdb0db5e1e31e897d3839a6aeaa5a6,1530.00
0xdb630687349206932e066b4c9df15c6542add5ac,478.13
0x656e3755f8ec52e35dabc2f60594b00f8e1d7624,956.25
0xd9ccb46e59d9c9dd44fffbb7188817e15ebde543,1912.50
0x5553e5322461addb15551a39b786ca5d5d3dcd3f,318.75
0x81a6865c1fe14de669af737e1efc329e44d6c6fa,127.50
0x83b1556667e1a776db4eb9e9373c5ea1f3308a24,42.50
0xfa4e7035b34294407e5df1603215983d65e5a773,892.50
0xcd2ba98fa75b629302b3e919a49ef744eb639d59,212.50
0x33823986a5c7892298bd794d4cee5f77e7676b38,765.00
0xbe996e9cd5886add200861f4b57ae955a6a47636,926.25
0xeb319f877a1f5a70ab273aad63d0a9da8c36491d,510.00
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,7212.72
0x45291103Ee841992f23031f305d66ADccdFb486D,3688.15
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,66.00
0x34aa402530aedc9b846ca903e7e379313f0d727e,32.00
0xab47675fdb7ae6e47431bd2d4bd9cd7bac7fde61,62.00
0xecd9653829ac3908a73fb43d3a51e0f9b8c27193,26.00
0xdac1cf9297125413358b6e58e82ea966ec1549fb,24.00
0x84ebd583467044f91a7a39ca2ac88897cb6ea537,42.00
0xefcc005e810dfb5f6f5b3ffbd43b4e93721aafb3,4.00
