address,amount
0x96e95a1f40cf5a50178053740ade18046815362d,5100
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,1700
0x554c3689d9ff54b2fb53a00720e68816932f381b,850
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,1700
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,425
0xf8a263a1c05a8692c15bfc2f6713cd8487d4b083,170
0xc4baa22875102821bd01f572d63679f5f1cd8046,340
0x5136d9d074a180def91b118d954eb950419ae1ba,340
0x93cf58d7c486898da4538cb9058772d92d43b1aa,340
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,5100
0x048054f6e13bb29c6453a12337999faaf8ebd72f,850
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,6800
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,765
0x22326ca40911e2f5638c2c71be73cbdbc4077fbf,4250
0x02d84a866f6ad6f8db78617e16da76c401e59d37,4250
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,5100
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,4250
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,1700
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,1700
0x10716aaffd2097228c78fb8a7d844eabc85497f5,3230
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,5100
0x5f21fd55e498c6e4ff49f584b218c1a7ef9537a3,1700
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,1700
0xfb40932271fc9db9dbf048e80697e2da4aa57250,85
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,850
0x23d344a3fe9450753324523425eac8bb6754eb8e,425
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,850
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,1700
0x9f77f69848852c1a2fc529d2663b05af30559ad3,850
0x278b4f3aafc3d731613db41c9de0e43d57ea0143,1700
0x5a398d52f412d97ac5852fa327ccd425737d3633,5100
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,1700
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,5355
0x2249c7eed5cf914d391916e2736774bfb5db4905,5100
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,176
0xa25f4884b4fff5a8fe9048b2f1334551acfa6ed9,1700
0xb8426f7ae6fec58e4cf06bc269420c9bdd800e49,850
0x04befa0087536e99fb1a9bde00c4a6f9289eb6fb,2125
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,170
0xba0f56f913640cbc2f00a1e99eebc4d0b7a392b3,1700
0x84d98d6d6775e7c5c52ed3fbb81ad2133d596bdf,85
0x9fe977dd0309cb30920a77c9a6d5f7b8a4b0a293,42.5
0xc04df29424ee49395e962858eb0babd29b2c14e9,85
0x5a6d489c1f9af9da07f6414b87ee969645419375,85
0x85a0282e76cf7012b15f8d51965f486cd344687b,170
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,5100
0xbb088b60f8acbd24051cd982584e3af06b58596b,1700
0x6a0d36928b9c22024c7601cea83269235cb3bd60,510
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,4750
0x216cb84fea07eb219c27ae40d7049fd627344abc,340
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,340
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,2058.7
0xb989d5b95a4434b77388ea944427ec82adef319a,85
0x0f1107048442f098387870939687778a1fcf937b,1700
0xb689d496ebcd3c21590a2e7cbbde33564887aa63,850
0x7cc804e1ac313ac66a9c77d949e7ac6f2e7d1cf4,1700
0xcff253930778f3cfc606a79565b46a79b215f7e4,765
0x54804cbd6db2362656f743e4c4306dd4f98e6580,85
0x215828ba3eaf86e28c7836c66406d78f7e5edda7,850
0x9a02710019646974d4cd261836090281dddb1e1f,1700
0x39b1af573c8bfd0da8aa25b38eb1e6e5aa6a9773,85
0x78e49c1984ac904dadad3d5943b45816f931f1a5,1700
0x8a15e42672c1161479939ec6c1299ab1e481055f,1190
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,850
0x74cc8a3d6e635ed26feaef4e47c3796e4c16d13e,510
0x2c3d3b094e5d35b3b4d400def72931a1274ffdb0,595
0x8b4c795d64a79f355432518b81e3c6544324352c,510
0x04e605e4da11ec4fac05085780857b8d93a7065d,1700
0xc6a265dfde65d5cab98375e75c5881354cd6566f,170
0x95ddc55f740e6c7cebab638f7e8748c7826b56c8,5100
