address,amount
0x13d2a02530e987f68b9df14aacef417525547410,0.05388
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,0.02564
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,0.03592
0x708234b5bb01dc4b35cf27db981b3b83462e0149,0.03592
0xa5135394d563e323e83b5c1b097acdd7a053b40c,0.03592
0x28b460e553ce81ea5ea5407ece30bba3903af23d,0.02993
0xbc9a23e2db6a7448d213670e31e50d7b032d1d29,0.02993
0xc2933176a9be2116721a2681e042111ad22f8266,0.02993
0xfb40932271fc9db9dbf048e80697e2da4aa57250,0.02993
0xd586faa55f787518b0feeff12788f40ca7d01f74,0.03592
0xfb5959e3f9401033273ce1009099df6f0f972030,0.01197
0x69da8d3d02d4fd51cb2d436b5d00268a2157416b,0.05388
0x1c452b10df490f2548a1389fb74961f1ed655e7d,0.02395
0xda35a3ed2564aac7735a0a6ef3c17cef8cdf3d81,0.02993
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,0.03592
0xb989d5b95a4434b77388ea944427ec82adef319a,0.02395
0x79b1f53fac3ed548b0a21a69b60d964ef38a855f,0.06585
0x40abb9a7c808cf32d259873f3edfc7cfbb2b2dfb,0.02395
0x3b1d9af9fbe4de15e4c320304204c623e6726358,0.02993
0xb6a101a1a827141deb9090c2fae24d62a8acc6c1,0.01796
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,0.03592
0x241545a2e94a9890917e88c3ee4c0b3fac0d27f3,0.03592
0x32cb0f8db60389fdd8a3c4d7e4048a6901d5a86f,0.01796
0xac24ca3f6efebe161396a02c8aca576b38a12f54,0.01796
0x3d37dc6cfd4e64dbb772557fb02e468eb948dd19,0.00599
0xf63120d1f587b5ff28a63acf2c89041bdd86221d,0.03592
0xcfad591ff4b9f2c6e10376128eda7028c6e6535a,0.04014
0x110ae93934bf9c0ba3e3cce99c8861dd4130954e,0.03592
0xfbede12ee9f4f58ac0d47ec2fab53d8771c9c71a,0.03592
0xb2c92bc929c28e6812e7e74da3dda6b529bfbcfc,0.02993
0xb6862da798bd1b24c7c2baea4f51d9547cd29420,0.03592
0x15c3c2b63b098a31a4a50e27ace26dbc0f9fe3f4,0.03592
0xe37e187347465d37963db4c9b4026ec9a3e0a8f1,0.02993
0x71b1f4f132b65e515062cb0237a9d795b930ff54,0.01796
0x588b612d6bc01c6e04ea3eaaf62a4558c3bf087c,0.02395
0xa325ac2d571e4b490bacf13264c285ed6da61a85,0.06585
0xc39a66d503fe0e9955521a3acf6a7dd67cc5906a,0.03592
0x2d375a25a80747de74ae9aae665b2d647cfa4884,0.02993
0xd45a7d7a9c7bb2e5c26a682a398af16ca6be4d95,0.02993
0x14b51dbaeb36bab0465fb45cfca569eb41802735,0.02395
0xf6ab67297f2a593d01e51bd72b5781a5fee96e1b,0.03592
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,0.03592
0x32b757621a286104fa0b045ebf2ebd34b495a5be,0.01796
0x376296316a8cc6d5d62dbeaa39787fe9acd6e891,0.00599
0x7cea6612d62d82f9558355133e9a648f09234d1c,0.00599
0x4940b7c65afd46b5dee4d3edbd14947f2d2d55fe,0.00599
0xa87a6017687f5d7607a4dde37624fa8eec9b0d45,0.01796
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,0.02993
0x87f94e1fda93758a4523f53e76f04117500e4464,0.02395
0x632104fef637b2d9179af7ee0eba85c243578f61,0.01796
0x438803eb5d199c283aadab6d0db8cd3968fbf6ad,0.02993
0x3685ff77f8e4deec9abe29cea15e33209863d4cd,0.03592
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,0.03719
0xdac1cf9297125413358b6e58e82ea966ec1549fb,0.03592
0xd27c855be090e331b8ebe50197d54ea7b615f413,0.03592
0x192513387b1bc31597ebf9f858e19bcb410ead6b,0.03592
0xc81e6915daa5b6f5ea6cf1c24b5ac9dc2d375316,0.00599
0x0b36256143261f6cc826ab9578e0c510c602987a,0.03592
0x8ea28df1858d905dc25918357c5654301489f285,0.03592
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,0.03592
0x9b3f0c19943fea998b329cfc51f24c3b61e4ad72,0.01796
0x8c67d1e6fdda4b572b82a2aef6c37ffcaa27c168,0.02395
0x33823986a5c7892298bd794d4cee5f77e7676b38,0.05986
0x6eF22CaA22d08D09082fFAFFa3cD051296a78a17,0.04916
