address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,148.75
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,76.5
0x7e69f8d973fe183ef76d83ad49259c14abef3651,8.5
0x009f6b54d8b44d84ab63f09ca5f2ab27b2ed0ed1,8.5
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,8.5
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,722.5
0x96e95a1f40cf5a50178053740ade18046815362d,382.5
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,23.8
0x1e4c331d8dc510622f997b55520d877349741256,425
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,8.5
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,8.5
0x2b3d820cab9970dcadbbbb667e012b927608d17c,57.8
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,175.75
0xc334cae02cd1cfa088f04fc74387c3c7d6fb6bfd,786.25
0x58ffcd1d192314613727938450bd8850e12728fe,382.5
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,8.5
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,8.5
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,8.5
0xe3105a515459ae8c79c2f001f68f02e4d96e6ea0,297.5
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,627.95
0x3a86e924c68c8156178330fb73b50759c7222943,104.5
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,8.5
0xe9f659172d39c54ecae31c5f2161115c95a557d9,8.5
0xa7568a767cc138114341a454dac6e03e2ff968fc,1719.5
0xe7a97a841876c9ec8c38fee297680aacefd121a2,8.5
0xe596f45d86c834a1f3d8c9514b95e652a53c52ea,8.5
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,8.5
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,8.5
0x66488e395ddffc29e7c7eb81dd14c6d5ab0222a1,42.5
0x3f835936265224b2179861df1b98b10707910c96,212.5
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,8.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,55.1
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,255
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,8.5
0x1744b94fcc98f514dcf242e7b03a719aa162e246,8.5
0x560c1a7dd6dcd97855f9cc4ead8f0c74ddceea7e,425
0x9964a001f3fd643d51244f305f425d2f85e6d06b,19
0xdc61e516d02204e27509fc8cbb135da2439a3967,47.6
0x909c592080a8ee273f5c6648d874e78c7ea94a56,27.2
0x7a6e64e49b02ff6b57ed63d28917c0e0d43778ab,8.5
0x4167467495029969b11df590198f052e75bc244f,400.35
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,8.5
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,85
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,8.5
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,8.5
