address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,200
0x2b8d0b811415b307ee3daadfca654d39127f40ed,20
0xc411161a8b24eddc670a0064faf2d88a64d73d91,350
0x898c393b9d634d606ba491fdc4c923593e763142,20
0xace100a90e8b7a0be9fbf4fe3713ebbb015dc18c,20
0x6f6b9a91a78c2e23ea086e45a53111ffa61195ad,20
0xeea498052a14a38cebf107d0f0f0ef30cc674f7b,20
0xe937471c9024cd5627d1777ca18b65ea1a32cd78,20
0xaa6d995fe028fae955133b7416fb8ba22c8e6018,20
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,370
0x4998828209c6eeb5991e2664c8007a765d0ecbb7,20
0xa0ed53f726f9374275287e57144317764eafef54,20
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,500
0xd05d24efe9b9ba97a2b03a017d2c034eb6f63d62,200
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,200
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,20
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,20
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,300
0x70b02d35d731bb8db768053e1f40c3036afdfaba,1520
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,20
0x332bf9a3cfe7d67da15cc774e69697b71d01fa66,20
0x8d203aa15ac7ff8950b4cadc7c91fc1ea9fd1c60,20
0x8ed479b0f19763b5006515c9cd405c8401d9ec05,350
0xecd54be30cda9ca1f2dbd18e1ffb2331cd534e92,20
0x2d5d79e54986dcaccaa1e79c0f9a37e78e8c7dbd,20
0x2c3d7ed55979077a046666cb846e7435ec7d49d2,20
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,720
0xb4c91ab467c137e9d7c18e2a349b2f8555e95754,220
0x491cf7629a2397eb738a120fb13fa44bdbdc0e44,175
0xe7adaab00320ac43e035160f7b125f8619fe0e00,720
0x590cb961aff1c2fa489467e81af2bb08b802a402,350
0x52d0fc347560cc997f87984200f4a9344ecdc597,20
0xfa65e65a6321c37486972d71b3f50400bd43f974,20
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,20
0xc0ac4e63b86c0bd484e652ea7fd6d6a4953e2fc0,20
0xd99369b63c02c3e6021aeb5ca657d3e05d13ea9c,350
0x1ffe0843adc04bb0fd17d42e91e244c85fc09edc,20
0x92d24484df40bdd14b9743aa49360a858f144345,200
0xf527e4fc7d90dd8266d980d9acc8b3f0d712911a,220
0xd6c37b8abeeccc43d866588daee293b9ae90d7d5,20
0x3ba654f6324b972ca042d785eb66997355411785,500
0x123b6dc3708dd7027149a29a6315f17f048e9444,20
0x523f996c1f845608c84e630c46f4d8b088050123,350
0xeb6cb17d2a560c5ebbcdae74dcde117e97bcbea4,350
0x00bebdaee03b3f4cb6a324e51add42a1c9601269,20
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,20
0xdd6f6b8fcf31ad777d4546e8940daa22c14a64f1,20
0x8062e69af89430d0749697cede9614cda80325e0,20
0xfaee18fee79d7a7ec81ecd367fb999e5481afe66,1500
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,200
0x1d9df24553dde4c8fc0baa59d96d6b036dee7bbf,20
0x615d5ba85aa09c408501e1519bf18a0e72092c86,20
0x8eefae59353a1787a62e8db7c9679d974ebddf14,20
0x20c3b2cee7368f32924276590b82174527f2521c,175
0xe06ed6e02edb39161a72fa00ea984d219d589008,20
0x9cdb491354086ab189dbb17360c33970b7298d3f,350
0x066fb187404feee6ee7f6cde21697cea1a89ec23,20
0xffd6334c0a068a752cb62798fecad141ed56e3fa,20
0xca70f8da989c70388298ccfa37aeba380c7ef583,20
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,200
0x6bae68188d83f01ad5e2e5b4744a2ebb4f68db2f,20
0xc0e31e9712024fa2205e414b94d2846a27116f40,20
0x4a04ee323e9e4e4b485d840ec38b7ec5cacc1ca4,20
0x363c3116d796ed45871f2855111cafa44788ba0b,220
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,1500
0xaa4e9ca01011ea77a70560633dc8a10b147367ca,20
0x29fca5052da9b93b2b25809135022ec367355995,350
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,870
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,20
0x0b98a5dc716c9a41a0e8cd9b1e5bbec607018493,20
0x9d5f70daa4ac96ad2c9c3ebcd65a1a550c93689b,20
0x75fb57291d1c90398ed85d37de829f06aacc7587,20
0xf7d05c5113f3d54f295d6db139a71d618e3a48b5,20
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,20
0xc2933176a9be2116721a2681e042111ad22f8266,1700
0x3780634b2fa723edda37e5dd672a6437c857710c,20
0xfe4961ae99a557deca2fd041a600210b2cd6feca,20
0xb7c2fc9d44db04ff888037037aadfd10d7564d95,20
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,20
0xf9f2d4643d1dd151fa71a88bb41241b588e7ce5e,20
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,20
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,20
0x313fda29134cfbba6682dfeba13778a871aa588a,370
0x7b370171964beb5a97dd8a24bf35e46287daaef2,20
0xa2b4be559db08800b988932b88b27d026bb8aa30,370
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,370
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,20
0xb6f5c43db66dab7d561bc37cba03712419874152,20
0x8caac1cd3de19fd5b1acaa79e5b157df30f7fc0d,20
0x737e5f0fbbafa9b98eb0251e9293c51221bb97c7,20
0x97a9ce4d13c9974ef485c4d0ffe96e12eff9b27e,20
0x11975e743c096eb71abc425c8fffd65509b36fda,20
0xb3ac6493fc3e9e404be189b8f65dcf8bb22dfd1f,500
0xf78ed7acd14b54c36d6849f5ddcf9f044f7606c0,20
0xced952e0dbecef7e0b75713e9872de76b93f098f,20
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,1250
0xc9f07f1ce72c938626d0c45ade4ea31abb76f738,100
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,20
0x47fe1d33cc44133b48709ce5b5dfe87c381a4cd4,20
0x25977da0749df96370178bbec55b1fa57acd491c,20
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,370
0x5769cb1ed566d63530c10637db1f2f5c8017c982,200
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,220
0xb9bea0554b3ca76660712d6b525cbfbc101fec1d,20
0x4e2c3ef488a49d973c15e5bc4bbacea896fcd747,5500
0xa7f559350b376428711cbcec7c7f4a557be46335,20
0x80f3c0ababdb3e1100cb79539c41c86578437f7d,20
0x6406d4ac5d86612f53014fd46243d2442ccc2093,20
0xb4b15741a2152d1c8135bd947996b613a8cb584b,20
0x97317bc70d2a744cd38cffad6a7e3aee3961fa5c,20
0x8c9fb695c3336ed9507d738d7b229c34c29a84ff,20
0x7dc1b3fc20a5160fbd9a3e5ef399f45cac4e1334,20
0xf15d7a48df5395eba4b274124b50b34d57b96d3e,520
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,20
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,20
0x8f3a3c4046f3eda540f76dd5f7b825e394c16842,20
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,2307
0x85488513dcc04565b30e711bbb876f9ef9152e82,20
0x03bbd77bb122959007a5133c13f41d87d319bde2,20
0xab31fa20460b3d20f69444c398bd80ef3e21a844,20
0xf00ac43bb131767c6cd5cff236273ce53b0d81fe,20
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,220
0x48d2b77582a04690581e22a8eaa6c02fe5c27676,20
0x36d10badd98b60119c2c240aca947535ef489c4f,20
0x66a8872ef451120c4a693f5a8e9ac520abcc4551,20
0x5e4ec9238c2bc79c139e21c926cc424aa1caac80,20
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,2120
0xe500dda06570bd9cd6fee326a5ee820561d041b2,500
0x3eb4b506a839b33a4e5d8719a4150e478083d550,20
0x005c1ed2e9512a07bc83e0122c86d599f2384b8d,20
0xdf7d8e7f0556820593aba352fa860fe8711f0c9f,20
0x902a559e7512a541b5137f447dd7a43857c40695,120
0x61baf136e34d80b48eec37e17066846cb485c3f4,20
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,370
0x5a398d52f412d97ac5852fa327ccd425737d3633,20
0x5511385e4d273e597652340f8291e240b6091ccf,20
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,500
0x4912957ea0bb4acf8de7d1f31602412c74cf6995,100
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,20
0xb1520ef8a58cea5ec7b88dbe6e05e84477a291ff,350
0xa58b3210b6f9626dfedb9ea232e8efc965873559,20
0x699cd19b47c1dd51da37c5c001136d65af008e91,20
0xc61a5372666267eef5a2d59789c9b1eb1a0565a6,20
0x09c2daf764d124e4154c61d350cc9a5e841584db,350
0xd58cc002f17dcd3926d73ed7575284ee1c6d5d01,1000
0x4fda2569ea0ef094b3a43ef553a8e1c3c1a15252,20
0x9a7032e4518d12b296d8ab1efb6b44098de890f6,200
0xbb0868dd2909b450612cc2b64986bd868d018749,4370
0x53651887259a01dd92381c9a2963696392ba0ddf,20
0x113d4e608475b910b4e87feef51741fbd75176b0,20
0x248994471594c56f844335907f46f9a03e5df54e,8000
0xa5e77f0f89d6f5b3b8d6b65f5b0e9401c6bace21,20
0x5f16121dc89ffa0fbdd8b1313daaf46415f0687c,350
0x54299e19477d005c907a363ee08e878b2a41d7d1,20
0xd520d01a6d2820464d8b2a19f54011b05237d44a,1850
0x3169f86536e378110a8583e9f3834ef08e458ebc,3220
0xa8a71d5fb2d5fbc8f31799c5cdd8ae67722885a5,20
0x061125184d535691b87a9560db30902b12989370,20
0x970be7fcce186bfaed2aad0da213ad587840587d,220
0xd39ec0556b27bea894718c981470a15724278585,20
0x20f666e259a51c38c5deb44aabb628f4fed2e2dc,20
0x461337d4f089adf16455acb785415f6437da0c24,195
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,20
0x1724c35003d1edebd6633be3ad61e9984096e70d,20
0x2df54acb106a358d38d38428b85bb00c676e2b92,1000
0x76dd2f01e1629fb3624f1c32954daae0fcdd46a1,20
0x401e32cf7249f999c47d8fc393c06d904eb1bd3d,20
0xeda594892e13e133921cb0b9618d85eefd7b3e56,20
0xd68561fab1e913e128edcfddac8b45337e0821a8,20
0xfa859717a1324590cc7676b4d627bf8bac2af8b7,20
0x16305f0e02e5111bf736adf7c7f25b3f78d89639,20
0xceccde1c3e7517bc66fc9518b0e5e939520ddcd1,520
0xed9886045ea7604993b47e4d5f9ec4ef8ea1fe79,20
0xea937ae28bef0ceebbeed5ab37ab8aecb6de5309,250
0x40c9caf4bbb3ffdac6492da01c94758edeb8bf3c,20
0x08f6bd7d188c2fe35d90319187407eea0568d334,20
0x247366d165cfc042358657290b20585934009b60,270
0x460afea78a398f78476593d0be4e95fad3795fbe,4900
0xa373197faf926d3e4259ef446962104f984d0535,20
0x9d282f4b19eceae4f7e461cc882d4e374cc85b89,20
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,1850
0x179d9b41b4b70616831a288398822e584d5e2d5b,20
0xff55cd6f28973387d24351da1edf32a9388d416e,20
0x9002466da0a690ac4118262fd9f7bf096177c03c,20
0xb780d96cb5ad587da875b67c0dfbc47934d81177,320
0x61e78141c2a54cd8c7acb5e6bee385464390a085,20
0xccefa6cc02eef6334ade9439d539eee9997a9c37,20
0xe7b7f5622c00fe6856b618f693c8eee261e7fa9f,20
0xe4aea151a40cc8251118e74e1efdcb474ec4bada,20
0x06dc0cbf44eed256c5975210095be703504a4541,520
0x2ffb1b6c38a74990ea2e2fb084446efb33fbef63,20
0x6edd48a255aeec62fa83c3d0922cc90ab9c46d7d,20
0x37dbeaf8a6732af9a690bad1984113b0d5e08a92,20
0xc38e638025e22a046c7fce29e56f628906f9d040,20
0x7049d10d42847397b0e52408f8f8c6c23f619b47,820
0xe0b6db19e4f844aa6d88dac7d77c37b213cda550,20
0xbb3bc930fa631f3c194d02c7ac1175e1d9674f34,20
0x8acd65afacd8f326f65479515f7e015dfa04d904,1500
