address,amount
0xaada8bb8c381567eb7312192b6b663c09dcb2986,0.01360
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,0.02057
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,0.02125
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,0.01501
0xe2cfd5ff51aa7f820783d054e35c828e7b282a57,0.00697
0x0d6f6568dcb6401c4ac076c91971889f1aae3a3e,0.02074
0x8c10d0315dd24214bf4e6d95f8212299c7386beb,0.00705
0xae32adc07bacba04b356d8063fd0ee0dd2caf94b,0.03460
0xa2ef3caa37659d3e0fa9dd7488909a413e33b02d,0.00705
0x4f2e6f68975d5ecf3cad70e776ae8ec324010025,0.00705
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,0.04913
0x334f03ebaa3b292b4caba803f10e515c5165725b,0.02788
0xa6a10f7ebe0ce3b271b87c5c3df3dd9c350b3fa0,0.00697
0xd79db4cd81025005e24f18c752cec020c233832d,0.00663
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,0.02065
0x2002db5efdc6e30ac611bc0303a5b6e4a3cfb2cc,0.04250
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,0.04750
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,0.03895
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,0.02125
0xaf4001c7d71ef304967203006d45f09b6880f7ec,0.00663
0x01fa44972f6b62ce546eb13fc753618a825d69d9,0.05423
0xc6a265dfde65d5cab98375e75c5881354cd6566f,0.04921
0x029efdc06b18a5a03130f493752df4b29a7fc34d,0.01700
0x37cf41a0a641d47d9cc4c45f3b1818903d3510e5,0.04403
0xcf7d780581408eff087521b5ccc4b99301b27d4c,0.00680
0x241545a2e94a9890917e88c3ee4c0b3fac0d27f3,0.02641
0x3898da2d8aa1790d72c8885333af279aacf88e7b,0.02278
0x5ca88895f36ffbd1a5c68d170ceac128765a8e37,0.01700
0xaa78a78F26FfF59cC807C93a6B4dC679EF4662C0,0.02363
0xb6862da798bd1b24c7c2baea4f51d9547cd29420,0.04063
0x447944d8a879152fcf29ab9d96d2d1b772785eb7,0.07378
0x990050bf1c94ceb00cfdd0237181bb1a87456d76,0.02363
0xcde3bd9e291f59d971af7f943c17bcd051e2eafe,0.04132
0x272a2b41ba579b9796fe020b9b7f4ab37a3cc17b,0.01360
0x00233f2efad901baec606313946687e29630545b,0.02057
0xa9aad34949febeeb997f9b0da84e8e076332979a,0.00663
0xc45e58430ef6a1f68e9523a478907a0461da2d83,0.03978
0xc4eae7050f71ab4a3d3ce4768c3a66fc7bf33e0b,0.00680
0xdd6a8bc51f47bbc599e6546c0e3673fb0f49a213,0.04378
0x83ef0061009c960065330080a80d12acfc76a14d,0.03706
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,0.04386
0x9b448cf7dc9e69509cf9e7066cd97060568c68dd,0.02641
0xf30431d4e31e6e54d9338eb8f54da5eceadc4cb4,0.04250
0x3a663169d2f7fdb3594e8faa1afca38047abc262,0.11543
0x2c505107369ed1b822b00836c2a699bd7414d4ba,0.02014
0xb8feb78fb79b4e3bdaba38dbf5a1626765c93b3d,0.00680
0x278dbfa617b7834f36a95d46fa989b6096737532,0.02372
0xad4cf368272de2bccff0c434886fa009d85ec2a6,0.00654
0xdf28bec8c4295ca6ef95f41623e1fdf444ded009,0.00680
0x9c92ada83f63f87b46fd8bdf73231f7818abb62e,0.00680
